First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
David,Brown,david.brown@example.com,+1 (886) 829-5379,Brown Manufacturing,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Manufacturing","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Johnson,william.johnson@example.com,+1 (665) 761-5784,Johnson Hospitality,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Hospitality","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,SOS-IN-46209,2025-10-20,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Martinez,james.martinez@example.com,+1 (371) 825-3567,Martinez Manufacturing,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Manufacturing","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Williams,barbara.williams@example.com,+1 (232) 787-6771,Williams Healthcare,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Healthcare","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Martinez,jennifer.martinez@example.com,+1 (942) 272-1214,Martinez Finance,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Finance","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Jones,john.jones@example.com,+1 (345) 914-2364,Jones Professional Services,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Professional Services","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,SOS-IN-76204,2015-08-19,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Johnson,charles.johnson@example.com,+1 (812) 872-8045,Johnson Technology,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Technology","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,SOS-IN-86202,2025-08-22,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Smith,thomas.smith@example.com,+1 (692) 711-1598,Smith Hospitality,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Hospitality","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,SOS-IN-41667,2010-12-23,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Smith,sarah.smith@example.com,+1 (778) 436-5755,Smith Healthcare,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Healthcare","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Johnson,susan.johnson@example.com,+1 (937) 743-4738,Johnson Real Estate,Indianapolis,Marion County,IN,US,C,Yes,"County_Lead, Real Estate","Pop: 977,000, Seat: Indianapolis",County_Aware_Scraper,,SOS-IN-46935,2016-03-20,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
