First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Barbara,Garcia,barbara.garcia@example.com,+1 (624) 409-7901,Garcia Construction,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Construction","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Brown,joseph.brown@example.com,+1 (228) 919-9243,Brown Finance,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Finance","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Rodriguez,william.rodriguez@example.com,+1 (700) 366-9087,Rodriguez Real Estate,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Real Estate","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Miller,richard.miller@example.com,+1 (205) 542-7233,Miller Construction,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Construction","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Rodriguez,charles.rodriguez@example.com,+1 (728) 567-2296,Rodriguez Manufacturing,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Manufacturing","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Davis,barbara.davis@example.com,+1 (565) 352-2581,Davis Technology,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Technology","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Williams,barbara.williams@example.com,+1 (810) 395-6089,Williams Professional Services,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Professional Services","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Jones,robert.jones@example.com,+1 (623) 975-2366,Jones Finance,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Finance","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Smith,thomas.smith@example.com,+1 (829) 910-1183,Smith Professional Services,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Professional Services","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Miller,barbara.miller@example.com,+1 (471) 577-3320,Miller Hospitality,Olathe,Johnson County,KS,US,C,Yes,"County_Lead, Hospitality","Pop: 613,000, Seat: Olathe",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
