First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
James,Martinez,james.martinez@example.com,+1 (933) 754-9005,Martinez Hospitality,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Hospitality","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Brown,karen.brown@example.com,+1 (395) 290-1479,Brown Technology,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Technology","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Smith,john.smith@example.com,+1 (367) 994-2378,Smith Finance,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Finance","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Williams,michael.williams@example.com,+1 (935) 413-4800,Williams Manufacturing,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Manufacturing","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Johnson,jennifer.johnson@example.com,+1 (794) 324-2947,Johnson Professional Services,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Professional Services","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Brown,richard.brown@example.com,+1 (322) 644-4835,Brown Education,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Education","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Rodriguez,james.rodriguez@example.com,+1 (331) 966-2009,Rodriguez Professional Services,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Professional Services","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Jones,charles.jones@example.com,+1 (502) 897-4075,Jones Manufacturing,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Manufacturing","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Rodriguez,mary.rodriguez@example.com,+1 (618) 748-2029,Rodriguez Finance,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Finance","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jessica,Smith,jessica.smith@example.com,+1 (397) 861-9189,Smith Real Estate,Louisville,Jefferson County,KY,US,C,Yes,"County_Lead, Real Estate","Pop: 782,000, Seat: Louisville",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
