First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Karen,Johnson,karen.johnson@example.com,+1 (598) 513-5065,Johnson Hospitality,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Hospitality","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Davis,jennifer.davis@example.com,+1 (722) 260-3227,Davis Hospitality,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Hospitality","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Rodriguez,richard.rodriguez@example.com,+1 (506) 839-8175,Rodriguez Manufacturing,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Manufacturing","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Jones,linda.jones@example.com,+1 (553) 222-3491,Jones Finance,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Finance","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Miller,john.miller@example.com,+1 (663) 920-6274,Miller Professional Services,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Professional Services","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Jones,sarah.jones@example.com,+1 (838) 698-3434,Jones Education,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Education","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jessica,Martinez,jessica.martinez@example.com,+1 (334) 551-9558,Martinez Construction,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Construction","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Williams,john.williams@example.com,+1 (599) 940-9264,Williams Technology,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Technology","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Martinez,john.martinez@example.com,+1 (479) 446-2275,Martinez Education,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Education","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Jones,jennifer.jones@example.com,+1 (316) 491-3638,Jones Manufacturing,New Orleans,Orleans Parish,LA,US,C,Yes,"County_Lead, Manufacturing","Pop: 384,000, Seat: New Orleans",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jacob,Carter,jacob.carter@exprealty.com,(941) 834-4826,Vylla Home,Baton Rouge,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 19 years, Transactions: 24, Volume: $10,778,755",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Angela,Patel,patel.angela@hotmail.com,(310) 535-5049,Sotheby's,New Orleans,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 29, Volume: $14,208,802",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Emily,Peterson,peterson.emily@compass.com,(903) 426-8353,Nest Seekers,Baton Rouge,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 7 years, Transactions: 20, Volume: $4,239,891",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Justin,Lopez,jlopez@coldwellbanker.com,(832) 531-7772,Weichert,Baton Rouge,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 10 years, Transactions: 24, Volume: $3,193,279",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Edward,Myers,edward.myers@berkshirehathawayhs.com,(270) 787-6570,Ryan Homes,Baton Rouge,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 4, Volume: $244,256",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Larry,Gray,larryg@weichert.com,(602) 614-4444,Pulte Homes,Baton Rouge,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 35, Volume: $1,759,157",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,James,william33@kw.com,(405) 760-9338,Century Communities,New Orleans,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 3 years, Transactions: 6, Volume: $1,004,731",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jonathan,Rogers,jonathan.rogers@redfin.com,(684) 960-7604,D.R. Horton,Baton Rouge,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 23 years, Transactions: 31, Volume: $11,163,613",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Steven,Cox,steven.cox@remax.net,(312) 845-2351,Tri Pointe Homes,Baton Rouge,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 34, Volume: $5,040,298",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Anna,Jackson,anna74@remax.net,(208) 234-1582,Pulte Homes,New Orleans,N/A,LA,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 13 years, Transactions: 35, Volume: $5,570,386",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
