First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Richard,Williams,richard.williams@example.com,+1 (593) 991-8353,Williams Healthcare,Lowell,Middlesex County,MA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,1427,SOS-MA-37447,2019-02-28,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Miller,michael.miller@example.com,+1 (676) 431-7630,Miller Education,Lowell,Middlesex County,MA,US,C,Yes,"County_Lead, Education","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,3398,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Garcia,barbara.garcia@example.com,+1 (226) 165-4559,Garcia Hospitality,Cambridge,Middlesex County,MA,US,C,Yes,"County_Lead, Hospitality","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,5556,SOS-MA-14996,2025-04-17,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Brown,richard.brown@example.com,+1 (567) 856-8997,Brown Real Estate,Cambridge,Middlesex County,MA,US,C,Yes,"County_Lead, Real Estate","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,9235,SOS-MA-25004,2017-09-01,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Williams,david.williams@example.com,+1 (771) 461-6289,Williams Construction,Cambridge,Middlesex County,MA,US,C,Yes,"County_Lead, Construction","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,2100,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Miller,william.miller@example.com,+1 (859) 887-3547,Miller Retail,Cambridge,Middlesex County,MA,US,C,Yes,"County_Lead, Retail","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,9685,SOS-MA-18938,2015-03-20,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Williams,charles.williams@example.com,+1 (796) 644-1716,Williams Healthcare,Cambridge,Middlesex County,MA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,3249,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Smith,robert.smith@example.com,+1 (313) 423-7711,Smith Healthcare,Lowell,Middlesex County,MA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,7352,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Johnson,patricia.johnson@example.com,+1 (747) 587-4834,Johnson Finance,Lowell,Middlesex County,MA,US,C,Yes,"County_Lead, Finance","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,3472,SOS-MA-21683,2012-10-26,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Brown,karen.brown@example.com,+1 (656) 465-6609,Brown Technology,Cambridge,Middlesex County,MA,US,C,Yes,"County_Lead, Technology","Pop: 1,617,000, Seat: Cambridge",County_Aware_Scraper,6625,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Carolyn,Mendoza,carolynm@elliman.com,(612) 549-4958,Sotheby's,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 40, Volume: $3,144,733",CREAM_RealEstate,7687,SOS-MA-87460,2021-02-08,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Amy,Jones,amy.jones@kw.com,(580) 467-1203,HomeSmart,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 15, Volume: $10,025,329",CREAM_RealEstate,6308,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Gary,Thomas,gary42@sothebysrealty.com,(601) 667-1518,United Real Estate,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 45, Volume: $11,376,059",CREAM_RealEstate,3131,SOS-MA-99333,2021-03-25,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Cruz,elizabeth85@compass.com,(562) 399-4449,KB Home,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 14 years, Transactions: 21, Volume: $3,645,020",CREAM_RealEstate,4163,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Ramos,susan83@century21.com,(847) 319-1948,LGI Homes,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 22 years, Transactions: 17, Volume: $4,707,942",CREAM_RealEstate,4668,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Christine,Jackson,jackson.christine@weichert.com,(862) 993-1766,Keller Williams,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 25, Volume: $3,690,898",CREAM_RealEstate,6408,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Pamela,Edwards,pamela55@outlook.com,(662) 764-8144,Douglas Elliman,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 10 years, Transactions: 42, Volume: $10,801,904",CREAM_RealEstate,1529,SOS-MA-31791,2018-05-22,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sandra,Williams,williams.sandra@remax.net,(202) 796-7136,Sotheby's,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 2, Volume: $401,780",CREAM_RealEstate,6613,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Dorothy,Rivera,dorothyr@compass.com,(530) 455-6390,Taylor Morrison,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 15 years, Transactions: 49, Volume: $7,812,433",CREAM_RealEstate,6850,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Kenneth,Torres,kenneth70@realtyonegroup.com,(980) 515-6246,Toll Brothers,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 15 years, Transactions: 44, Volume: $2,569,109",CREAM_RealEstate,1109,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Samuel,Lopez,samuel.lopez@remax.net,(202) 690-5420,Sotheby's,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 14 years, Transactions: 35, Volume: $14,491,282",CREAM_RealEstate,1985,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Shirley,Ruiz,shirleyr@compass.com,(912) 672-9916,United Real Estate,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 9 years, Transactions: 25, Volume: $1,719,745",CREAM_RealEstate,6407,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Morales,jamesm@elliman.com,(864) 273-7190,Sotheby's,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 3 years, Transactions: 15, Volume: $1,636,574",CREAM_RealEstate,2139,SOS-MA-54425,2010-09-24,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Andrew,Bennett,andrew.bennett@weichert.com,(534) 350-4904,Vylla Home,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 9 years, Transactions: 14, Volume: $5,805,099",CREAM_RealEstate,6593,SOS-MA-93977,2014-12-22,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Anthony,Garcia,garcia.anthony@yahoo.com,(479) 566-7190,Weichert,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 25 years, Transactions: 27, Volume: $3,759,783",CREAM_RealEstate,6907,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Debra,King,debrak@compass.com,(812) 681-7580,eXp Realty,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 18, Volume: $6,102,405",CREAM_RealEstate,6983,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Dorothy,Flores,dorothy35@outlook.com,(205) 679-4524,Taylor Morrison,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 44, Volume: $11,365,121",CREAM_RealEstate,10051,SOS-MA-33813,2025-02-23,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jessica,Kelly,jessicak@elliman.com,(603) 939-3675,LGI Homes,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 23, Volume: $1,876,745",CREAM_RealEstate,7831,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Daniel,Lewis,daniel24@kw.com,(430) 740-1144,LGI Homes,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 13, Volume: $3,581,618",CREAM_RealEstate,3035,SOS-MA-29015,2025-01-24,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Nicole,Bennett,nbennett@weichert.com,(210) 308-3201,KB Home,Boston,N/A,MA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 22 years, Transactions: 27, Volume: $8,374,355",CREAM_RealEstate,4152,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
