First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
David,Martinez,david.martinez@example.com,+1 (490) 526-3652,Martinez Hospitality,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Hospitality","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,56273,SOS-MI-25931,2014-10-13,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Miller,jennifer.miller@example.com,+1 (791) 102-6472,Miller Technology,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Technology","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,55377,SOS-MI-19694,2022-12-26,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Williams,karen.williams@example.com,+1 (353) 661-7046,Williams Hospitality,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Hospitality","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,49312,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Brown,elizabeth.brown@example.com,+1 (819) 984-9835,Brown Construction,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Construction","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,53206,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Martinez,robert.martinez@example.com,+1 (757) 246-8974,Martinez Hospitality,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Hospitality","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,53901,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Martinez,james.martinez@example.com,+1 (531) 725-6226,Martinez Healthcare,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Healthcare","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,51871,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Smith,michael.smith@example.com,+1 (743) 344-4422,Smith Healthcare,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Healthcare","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,57631,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Johnson,michael.johnson@example.com,+1 (988) 993-3651,Johnson Professional Services,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Professional Services","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,52102,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jessica,Garcia,jessica.garcia@example.com,+1 (327) 658-4821,Garcia Professional Services,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Professional Services","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,50524,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Martinez,michael.martinez@example.com,+1 (517) 766-9115,Martinez Construction,Detroit,Wayne County,MI,US,C,Yes,"County_Lead, Construction","Pop: 1,769,000, Seat: Detroit",County_Aware_Scraper,54189,SOS-MI-43972,2017-03-14,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
