First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
David,Martinez,david.martinez@example.com,+1 (800) 359-2033,Martinez Healthcare,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Healthcare","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Davis,william.davis@example.com,+1 (932) 522-2554,Davis Construction,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Construction","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Jones,david.jones@example.com,+1 (475) 219-3657,Jones Real Estate,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Real Estate","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Jones,joseph.jones@example.com,+1 (443) 735-6384,Jones Healthcare,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Healthcare","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Miller,robert.miller@example.com,+1 (235) 979-8209,Miller Construction,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Construction","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jessica,Brown,jessica.brown@example.com,+1 (530) 389-3473,Brown Technology,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Technology","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Rodriguez,joseph.rodriguez@example.com,+1 (945) 648-5558,Rodriguez Technology,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Technology","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Jones,charles.jones@example.com,+1 (814) 594-5609,Jones Education,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Education","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Smith,richard.smith@example.com,+1 (344) 826-6319,Smith Retail,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Retail","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Johnson,linda.johnson@example.com,+1 (594) 171-7697,Johnson Construction,Minneapolis,Hennepin County,MN,US,C,Yes,"County_Lead, Construction","Pop: 1,268,000, Seat: Minneapolis",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Nancy,Gray,ngray@hotmail.com,(614) 502-6868,Tri Pointe Homes,Minneapolis,N/A,MN,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 11 years, Transactions: 41, Volume: $14,912,502",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Ryan,Brooks,ryan78@compass.com,(308) 983-6555,The Agency,Minneapolis,N/A,MN,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 4, Volume: $456,161",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Kim,jennifer.kim@realtyonegroup.com,(207) 702-3927,Vylla Home,Minneapolis,N/A,MN,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 42, Volume: $4,541,828",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Ronald,Long,ronaldl@realtor.com,(501) 682-2588,Ryan Homes,Minneapolis,N/A,MN,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 17 years, Transactions: 18, Volume: $5,588,488",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
