First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
John,Jones,john.jones@example.com,+1 (902) 355-5170,Jones Real Estate,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Real Estate","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Miller,patricia.miller@example.com,+1 (487) 271-8782,Miller Real Estate,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Real Estate","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Brown,charles.brown@example.com,+1 (858) 342-4463,Brown Hospitality,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Hospitality","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Williams,david.williams@example.com,+1 (495) 341-2576,Williams Hospitality,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Hospitality","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Garcia,william.garcia@example.com,+1 (238) 738-6792,Garcia Professional Services,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Professional Services","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Davis,susan.davis@example.com,+1 (931) 871-5189,Davis Education,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Education","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Garcia,david.garcia@example.com,+1 (916) 785-4402,Garcia Healthcare,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Healthcare","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Brown,james.brown@example.com,+1 (508) 977-7219,Brown Real Estate,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Real Estate","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Williams,richard.williams@example.com,+1 (565) 194-6296,Williams Technology,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Technology","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Miller,jennifer.miller@example.com,+1 (843) 220-2979,Miller Finance,Jackson,Hinds County,MS,US,C,Yes,"County_Lead, Finance","Pop: 227,000, Seat: Jackson",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
