First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Sarah,Rodriguez,sarah.rodriguez@example.com,+1 (745) 413-7473,Rodriguez Retail,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Retail","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,35192,SOS-NC-37088,2020-07-27,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Brown,sarah.brown@example.com,+1 (772) 322-3512,Brown Professional Services,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Professional Services","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,32574,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Miller,robert.miller@example.com,+1 (835) 731-1536,Miller Construction,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Construction","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,33546,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Smith,barbara.smith@example.com,+1 (855) 985-8236,Smith Manufacturing,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,32851,SOS-NC-40048,2022-07-13,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Miller,mary.miller@example.com,+1 (926) 537-2222,Miller Professional Services,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Professional Services","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,35873,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Rodriguez,patricia.rodriguez@example.com,+1 (639) 575-8652,Rodriguez Construction,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Construction","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,29780,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Brown,joseph.brown@example.com,+1 (534) 883-3720,Brown Technology,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Technology","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,35574,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Miller,william.miller@example.com,+1 (969) 104-4992,Miller Technology,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Technology","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,33864,SOS-NC-17878,2020-07-08,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Smith,karen.smith@example.com,+1 (556) 426-1379,Smith Technology,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Technology","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,33641,SOS-NC-40048,2022-07-13,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Brown,john.brown@example.com,+1 (925) 583-4900,Brown Construction,Charlotte,Mecklenburg County,NC,US,C,Yes,"County_Lead, Construction","Pop: 1,135,000, Seat: Charlotte",County_Aware_Scraper,29637,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Williams,karen.williams@example.com,+1 (462) 658-9983,Williams Finance,Cary,Wake County,NC,US,C,Yes,"County_Lead, Finance","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,34982,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Garcia,david.garcia@example.com,+1 (943) 320-8262,Garcia Healthcare,Cary,Wake County,NC,US,C,Yes,"County_Lead, Healthcare","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,30885,SOS-NC-87008,2024-12-04,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Johnson,sarah.johnson@example.com,+1 (958) 614-9499,Johnson Hospitality,Raleigh,Wake County,NC,US,C,Yes,"County_Lead, Hospitality","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,33558,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Williams,john.williams@example.com,+1 (380) 596-1350,Williams Manufacturing,Cary,Wake County,NC,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,33825,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Davis,jennifer.davis@example.com,+1 (562) 194-3978,Davis Hospitality,Raleigh,Wake County,NC,US,C,Yes,"County_Lead, Hospitality","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,30348,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Davis,david.davis@example.com,+1 (825) 774-6793,Davis Hospitality,Cary,Wake County,NC,US,C,Yes,"County_Lead, Hospitality","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,30348,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Miller,william.miller@example.com,+1 (994) 540-6736,Miller Education,Cary,Wake County,NC,US,C,Yes,"County_Lead, Education","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,36202,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Martinez,mary.martinez@example.com,+1 (541) 201-1900,Martinez Technology,Raleigh,Wake County,NC,US,C,Yes,"County_Lead, Technology","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,34428,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Williams,susan.williams@example.com,+1 (728) 924-5448,Williams Professional Services,Raleigh,Wake County,NC,US,C,Yes,"County_Lead, Professional Services","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,27461,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Martinez,michael.martinez@example.com,+1 (499) 350-4952,Martinez Healthcare,Cary,Wake County,NC,US,C,Yes,"County_Lead, Healthcare","Pop: 1,170,000, Seat: Raleigh",County_Aware_Scraper,33934,SOS-NC-37088,2020-07-27,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Timothy,Sanders,tsanders@homesmart.com,(570) 623-9768,Realty One Group,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 2 years, Transactions: 7, Volume: $1,793,443",CREAM_RealEstate,29909,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Nicholas,Hughes,hughes.nicholas@elliman.com,(970) 797-3962,Toll Brothers,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 11 years, Transactions: 11, Volume: $14,388,408",CREAM_RealEstate,35957,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Hall,roberth@realtyonegroup.com,(901) 398-2590,Ryan Homes,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 24 years, Transactions: 14, Volume: $5,675,144",CREAM_RealEstate,27915,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Rebecca,Howard,rebeccah@remax.net,(409) 661-2052,M/I Homes,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 7 years, Transactions: 14, Volume: $10,903,080",CREAM_RealEstate,29911,SOS-NC-86049,2014-03-22,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Christopher,Perez,christopher.perez@compass.com,(220) 892-5668,Beazer Homes,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 19 years, Transactions: 50, Volume: $13,123,242",CREAM_RealEstate,36157,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Kevin,Wilson,kevin.wilson@remax.net,(626) 648-1638,NVR,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 37, Volume: $8,577,582",CREAM_RealEstate,33137,SOS-NC-74614,2021-08-21,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Ruth,Lopez,rlopez@realtyonegroup.com,(360) 562-4142,Sotheby's,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 3 years, Transactions: 3, Volume: $1,774,281",CREAM_RealEstate,31908,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Nicole,Rivera,nicole.rivera@sothebysrealty.com,(770) 979-6893,Better Homes & Gardens,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 0 years, Transactions: 2, Volume: $91,108",CREAM_RealEstate,29999,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Edward,Clark,edwardc@redfin.com,(724) 256-4390,United Real Estate,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 40, Volume: $3,996,954",CREAM_RealEstate,36278,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Cynthia,Scott,scott.cynthia@outlook.com,(239) 454-2986,Realty One Group,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 23 years, Transactions: 36, Volume: $13,519,100",CREAM_RealEstate,32500,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Christopher,Cruz,cruz.christopher@elliman.com,(572) 379-4244,United Real Estate,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 43, Volume: $3,632,899",CREAM_RealEstate,28358,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Cynthia,Nguyen,cynthia46@realtyonegroup.com,(706) 794-3562,United Real Estate,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 15, Volume: $8,578,185",CREAM_RealEstate,33432,SOS-NC-71139,2018-06-24,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Nancy,Mitchell,mitchell.nancy@remax.net,(402) 453-7667,CalAtlantic Homes,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 11 years, Transactions: 36, Volume: $2,247,811",CREAM_RealEstate,36326,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Kathleen,Ward,kathleenw@realtyonegroup.com,(407) 979-8538,Zillow Premier,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 2 years, Transactions: 7, Volume: $1,854,121",CREAM_RealEstate,31793,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Flores,jennifer95@elliman.com,(727) 310-1899,Realty One Group,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 13, Volume: $6,235,745",CREAM_RealEstate,36300,SOS-NC-46669,2012-02-06,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joshua,Ross,ross.joshua@kw.com,(810) 214-9524,Beazer Homes,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 17 years, Transactions: 28, Volume: $8,243,705",CREAM_RealEstate,27176,SOS-NC-82059,2010-05-26,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Sanders,linda68@homesmart.com,(407) 666-9072,Beazer Homes,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 9 years, Transactions: 13, Volume: $8,187,661",CREAM_RealEstate,32359,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Ronald,Robinson,rrobinson@kw.com,(970) 639-3747,Ryan Homes,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 4 years, Transactions: 13, Volume: $1,389,416",CREAM_RealEstate,28755,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mark,Kim,mkim@weichert.com,(623) 839-8635,Realty One Group,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 18 years, Transactions: 21, Volume: $13,608,317",CREAM_RealEstate,29823,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Brenda,Peterson,brenda.peterson@coldwellbanker.com,(731) 803-7306,Sotheby's,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 5 years, Transactions: 46, Volume: $13,434,048",CREAM_RealEstate,34534,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Cruz,linda9@sothebysrealty.com,(616) 428-4156,KB Home,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 2 years, Transactions: 12, Volume: $1,744,604",CREAM_RealEstate,28370,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Raymond,Turner,raymond.turner@berkshirehathawayhs.com,(716) 549-7760,Sotheby's,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 22 years, Transactions: 42, Volume: $6,552,704",CREAM_RealEstate,33246,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Kimberly,Adams,adams.kimberly@realtor.com,(810) 752-6183,Weichert,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 4 years, Transactions: 7, Volume: $754,114",CREAM_RealEstate,34666,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Debra,Howard,howard.debra@realtyonegroup.com,(274) 630-1025,Zillow Premier,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 22 years, Transactions: 34, Volume: $2,835,974",CREAM_RealEstate,31643,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Diane,Stewart,stewart.diane@hotmail.com,(520) 977-3844,Coldwell Banker,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 24, Volume: $3,985,631",CREAM_RealEstate,28118,SOS-NC-83289,2012-01-08,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Emily,Young,emilyy@elliman.com,(337) 812-7381,Sotheby's,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 10 years, Transactions: 35, Volume: $11,376,352",CREAM_RealEstate,33162,SOS-NC-15503,2015-12-12,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Diaz,robert.diaz@sothebysrealty.com,(303) 687-4336,HomeSmart,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 5, Volume: $73,667",CREAM_RealEstate,35561,SOS-NC-10710,2010-01-21,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Daniel,Adams,adams.daniel@yahoo.com,(413) 844-1436,Sotheby's,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 47, Volume: $14,202,198",CREAM_RealEstate,27817,SOS-NC-15503,2015-12-12,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Margaret,Chavez,chavez.margaret@realtor.com,(818) 227-3025,United Real Estate,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 4 years, Transactions: 8, Volume: $676,779",CREAM_RealEstate,35350,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Morales,charles33@berkshirehathawayhs.com,(585) 293-1943,Century Communities,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 25 years, Transactions: 36, Volume: $3,146,104",CREAM_RealEstate,35758,SOS-NC-83289,2012-01-08,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Brian,Gonzalez,brian91@redfin.com,(405) 342-1779,Nest Seekers,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 19, Volume: $14,458,543",CREAM_RealEstate,30004,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Benjamin,Adams,benjamina@homesmart.com,(210) 773-5627,Century 21,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 19, Volume: $10,390,682",CREAM_RealEstate,30086,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Maria,Robinson,mariar@century21.com,(810) 920-8206,Sotheby's,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 4 years, Transactions: 8, Volume: $1,568,780",CREAM_RealEstate,30998,SOS-NC-55027,2010-01-14,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Ronald,Wright,ronald48@remax.net,(413) 488-5569,D.R. Horton,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 35, Volume: $3,159,863",CREAM_RealEstate,30378,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sharon,Ortiz,ortiz.sharon@coldwellbanker.com,(412) 249-9651,Sotheby's,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 0 years, Transactions: 5, Volume: $388,133",CREAM_RealEstate,31028,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jeffrey,Young,jeffrey9@kw.com,(520) 325-9672,ERA,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 30, Volume: $1,727,905",CREAM_RealEstate,36883,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Raymond,Scott,rscott@remax.net,(806) 719-8063,Nest Seekers,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 23 years, Transactions: 36, Volume: $6,387,052",CREAM_RealEstate,29778,SOS-NC-12045,2024-09-11,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Ramirez,ramirez.karen@gmail.com,(508) 556-2267,Nest Seekers,Charlotte,N/A,NC,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 9 years, Transactions: 38, Volume: $8,282,936",CREAM_RealEstate,33200,SOS-NC-64279,2023-12-26,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Anderson,karena@elliman.com,(220) 989-6100,Century 21,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 14 years, Transactions: 21, Volume: $2,190,498",CREAM_RealEstate,29702,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Katherine,Reed,katheriner@sothebysrealty.com,(812) 728-9581,Pulte Homes,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 31, Volume: $14,512,596",CREAM_RealEstate,34457,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Nicole,Edwards,nicole15@yahoo.com,(970) 809-6317,HomeSmart,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 8 years, Transactions: 10, Volume: $6,967,665",CREAM_RealEstate,27308,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Tyler,Adams,adams.tyler@homesmart.com,(636) 327-6511,The Agency,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 17 years, Transactions: 22, Volume: $5,354,187",CREAM_RealEstate,35359,SOS-NC-27420,2013-05-09,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Amy,Howard,amyh@homesmart.com,(814) 444-1993,Weichert,Raleigh,N/A,NC,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 24 years, Transactions: 33, Volume: $8,238,930",CREAM_RealEstate,33626,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
