First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Karen,Murphy,murphy.karen@outlook.com,(774) 534-6511,D.R. Horton,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 16, Volume: $4,303,644",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Ruth,Rivera,rrivera@hotmail.com,(865) 266-5537,Century 21,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 19 years, Transactions: 36, Volume: $4,031,405",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Justin,Parker,justin.parker@coldwellbanker.com,(330) 751-5114,Compass,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 25 years, Transactions: 26, Volume: $14,567,286",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Green,patriciag@coldwellbanker.com,(657) 668-8710,Lennar,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 4 years, Transactions: 8, Volume: $648,083",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Samantha,Taylor,samantha.taylor@exprealty.com,(702) 904-1494,The Agency,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 0 years, Transactions: 1, Volume: $382,592",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Andrew,Campbell,andrew21@realtor.com,(856) 956-4546,Taylor Morrison,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 5 years, Transactions: 44, Volume: $3,287,006",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Justin,Morales,justin.morales@elliman.com,(975) 286-1630,Redfin,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 38, Volume: $5,015,006",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jacob,Anderson,jacob75@realtor.com,(360) 817-5452,Ryan Homes,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 4 years, Transactions: 13, Volume: $1,757,029",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Steven,Cook,steven2@sothebysrealty.com,(947) 897-9088,Coldwell Banker,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 22 years, Transactions: 16, Volume: $11,829,956",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Andrew,Ramos,ramos.andrew@redfin.com,(909) 295-6298,Tri Pointe Homes,Albuquerque,N/A,NM,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 3 years, Transactions: 15, Volume: $885,005",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
