First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Richard,Martinez,richard.martinez@example.com,+1 (270) 145-3121,Martinez Professional Services,North Las Vegas,Clark County,NV,US,C,Yes,"County_Lead, Professional Services","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Williams,robert.williams@example.com,+1 (369) 516-6590,Williams Retail,Henderson,Clark County,NV,US,C,Yes,"County_Lead, Retail","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Martinez,thomas.martinez@example.com,+1 (246) 140-5523,Martinez Professional Services,Las Vegas,Clark County,NV,US,C,Yes,"County_Lead, Professional Services","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Williams,james.williams@example.com,+1 (836) 861-3074,Williams Construction,Las Vegas,Clark County,NV,US,C,Yes,"County_Lead, Construction","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Martinez,barbara.martinez@example.com,+1 (760) 283-6101,Martinez Education,North Las Vegas,Clark County,NV,US,C,Yes,"County_Lead, Education","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Rodriguez,barbara.rodriguez@example.com,+1 (353) 415-1466,Rodriguez Finance,Henderson,Clark County,NV,US,C,Yes,"County_Lead, Finance","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Garcia,patricia.garcia@example.com,+1 (918) 381-1616,Garcia Manufacturing,Las Vegas,Clark County,NV,US,C,Yes,"County_Lead, Manufacturing","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Rodriguez,robert.rodriguez@example.com,+1 (585) 896-6221,Rodriguez Hospitality,Henderson,Clark County,NV,US,C,Yes,"County_Lead, Hospitality","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Miller,sarah.miller@example.com,+1 (230) 527-9851,Miller Finance,Henderson,Clark County,NV,US,C,Yes,"County_Lead, Finance","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Garcia,sarah.garcia@example.com,+1 (686) 665-2742,Garcia Professional Services,Las Vegas,Clark County,NV,US,C,Yes,"County_Lead, Professional Services","Pop: 2,313,000, Seat: Las Vegas",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Williams,williams.joseph@century21.com,(937) 434-2637,Century Communities,Las Vegas,N/A,NV,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 0, Volume: $56,645",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
