First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Charles,Garcia,charles.garcia@example.com,+1 (449) 429-3692,Garcia Technology,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Technology","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,43005,SOS-OH-17875,2025-10-20,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Johnson,linda.johnson@example.com,+1 (354) 811-6032,Johnson Retail,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Retail","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,47731,SOS-OH-73581,2022-03-18,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Jones,joseph.jones@example.com,+1 (869) 456-6234,Jones Professional Services,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Professional Services","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,47504,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Martinez,thomas.martinez@example.com,+1 (412) 883-8009,Martinez Construction,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Construction","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,51433,SOS-OH-81464,2015-09-05,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Rodriguez,john.rodriguez@example.com,+1 (304) 807-9432,Rodriguez Technology,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Technology","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,48928,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Miller,richard.miller@example.com,+1 (394) 670-7683,Miller Healthcare,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Healthcare","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,44217,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Jones,robert.jones@example.com,+1 (454) 248-7450,Jones Healthcare,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Healthcare","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,46210,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Jones,david.jones@example.com,+1 (323) 217-1097,Jones Education,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Education","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,49928,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Brown,barbara.brown@example.com,+1 (375) 813-7224,Brown Healthcare,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Healthcare","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,46304,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Garcia,patricia.garcia@example.com,+1 (545) 536-7733,Garcia Technology,Cleveland,Cuyahoga County,OH,US,C,Yes,"County_Lead, Technology","Pop: 1,235,000, Seat: Cleveland",County_Aware_Scraper,46232,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Martinez,john.martinez@example.com,+1 (275) 233-8834,Martinez Education,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Education","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,51714,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Jones,sarah.jones@example.com,+1 (838) 533-9764,Jones Education,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Education","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,48691,SOS-OH-41463,2014-12-27,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Miller,robert.miller@example.com,+1 (844) 529-2975,Miller Education,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Education","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,48264,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Williams,jennifer.williams@example.com,+1 (219) 195-6032,Williams Hospitality,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Hospitality","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,48296,SOS-OH-17875,2025-10-20,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Rodriguez,richard.rodriguez@example.com,+1 (449) 209-7422,Rodriguez Healthcare,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Healthcare","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,46181,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Davis,karen.davis@example.com,+1 (942) 345-5364,Davis Technology,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Technology","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,49803,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Martinez,joseph.martinez@example.com,+1 (870) 644-9599,Martinez Healthcare,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Healthcare","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,44420,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Jones,patricia.jones@example.com,+1 (943) 812-9979,Jones Education,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Education","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,46905,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Johnson,sarah.johnson@example.com,+1 (842) 878-4940,Johnson Real Estate,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Real Estate","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,50937,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Rodriguez,linda.rodriguez@example.com,+1 (990) 718-6518,Rodriguez Technology,Columbus,Franklin County,OH,US,C,Yes,"County_Lead, Technology","Pop: 1,316,000, Seat: Columbus",County_Aware_Scraper,52591,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Maria,Rivera,maria.rivera@compass.com,(717) 478-9793,ERA,Cleveland,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 23 years, Transactions: 34, Volume: $12,241,968",CREAM_RealEstate,45730,SOS-OH-69028,2011-06-25,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Timothy,Rogers,trogers@homesmart.com,(575) 987-6966,Pulte Homes,Columbus,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 17 years, Transactions: 18, Volume: $7,030,357",CREAM_RealEstate,51746,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Ryan,Watson,rwatson@exprealty.com,(309) 832-6947,Realty One Group,Cincinnati,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 2 years, Transactions: 10, Volume: $1,675,854",CREAM_RealEstate,52048,SOS-OH-80333,2016-04-06,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Thomas,robert75@homesmart.com,(843) 761-1411,Tri Pointe Homes,Columbus,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 1, Volume: $440,832",CREAM_RealEstate,52141,SOS-OH-84794,2015-04-10,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Anthony,Rivera,anthony.rivera@hotmail.com,(707) 515-1885,Keller Williams,Columbus,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 18 years, Transactions: 43, Volume: $10,918,168",CREAM_RealEstate,47098,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Aaron,Taylor,aaront@realtyonegroup.com,(843) 350-3211,United Real Estate,Cincinnati,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 45, Volume: $5,777,407",CREAM_RealEstate,45746,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jerry,Green,jerry.green@weichert.com,(229) 268-8831,Keller Williams,Columbus,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 15, Volume: $11,324,851",CREAM_RealEstate,45781,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Katherine,Castillo,katherine.castillo@hotmail.com,(248) 751-1280,Zillow Premier,Cincinnati,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 10 years, Transactions: 20, Volume: $4,005,660",CREAM_RealEstate,48991,SOS-OH-82154,2014-09-19,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Gary,Turner,garyt@compass.com,(254) 302-1221,D.R. Horton,Cincinnati,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 0 years, Transactions: 4, Volume: $85,678",CREAM_RealEstate,44702,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Raymond,Ramirez,raymondr@century21.com,(725) 632-2685,Taylor Morrison,Columbus,N/A,OH,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 11 years, Transactions: 42, Volume: $4,163,347",CREAM_RealEstate,48429,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
