First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
James,Davis,james.davis@example.com,+1 (519) 602-8160,Davis Real Estate,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Real Estate","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Johnson,michael.johnson@example.com,+1 (976) 935-9811,Johnson Professional Services,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Professional Services","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Smith,susan.smith@example.com,+1 (671) 182-3218,Smith Professional Services,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Professional Services","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Smith,elizabeth.smith@example.com,+1 (252) 579-7523,Smith Retail,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Retail","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Garcia,susan.garcia@example.com,+1 (757) 145-3161,Garcia Retail,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Retail","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Smith,william.smith@example.com,+1 (557) 998-6491,Smith Retail,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Retail","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Martinez,sarah.martinez@example.com,+1 (522) 413-1113,Martinez Healthcare,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Healthcare","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Williams,joseph.williams@example.com,+1 (814) 641-9631,Williams Professional Services,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Professional Services","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Martinez,jennifer.martinez@example.com,+1 (759) 307-1249,Martinez Finance,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Finance","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Garcia,linda.garcia@example.com,+1 (416) 409-6222,Garcia Construction,Oklahoma City,Oklahoma County,OK,US,C,Yes,"County_Lead, Construction","Pop: 797,000, Seat: Oklahoma City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Nicholas,Jones,jones.nicholas@coldwellbanker.com,(754) 459-7769,Tri Pointe Homes,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 19 years, Transactions: 20, Volume: $5,258,569",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Ryan,Turner,rturner@compass.com,(209) 992-2955,Compass,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 20 years, Transactions: 28, Volume: $11,424,704",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Jones,jennifer.jones@hotmail.com,(214) 378-8309,Ryan Homes,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 3, Volume: $338,877",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Edward,Lewis,edward.lewis@coldwellbanker.com,(314) 359-9063,Taylor Morrison,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 38, Volume: $9,552,937",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Brenda,Bennett,brenda.bennett@yahoo.com,(828) 456-3636,HomeSmart,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 18 years, Transactions: 31, Volume: $2,618,350",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patrick,Williams,patrick.williams@outlook.com,(720) 750-1097,Taylor Morrison,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 13 years, Transactions: 45, Volume: $13,680,596",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Benjamin,Collins,benjamin.collins@kw.com,(684) 943-4259,Better Homes & Gardens,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 23 years, Transactions: 11, Volume: $10,859,658",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Larry,Nguyen,larry93@kw.com,(501) 548-4197,Taylor Morrison,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 19 years, Transactions: 10, Volume: $12,866,484",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jason,Wilson,jwilson@yahoo.com,(667) 222-8956,Berkshire Hathaway,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 39, Volume: $4,081,285",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Tyler,Allen,allen.tyler@gmail.com,(201) 494-6512,Weichert,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 34, Volume: $5,692,005",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Anna,Edwards,anna.edwards@hotmail.com,(646) 790-6252,Pulte Homes,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 9 years, Transactions: 32, Volume: $8,697,033",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Margaret,Jones,margaret.jones@gmail.com,(252) 474-5252,ERA,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 15 years, Transactions: 38, Volume: $13,117,874",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Betty,Myers,myers.betty@redfin.com,(872) 542-8866,CalAtlantic Homes,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 8 years, Transactions: 43, Volume: $14,777,485",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Kevin,Torres,kevin.torres@weichert.com,(409) 762-7575,HomeSmart,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 3 years, Transactions: 6, Volume: $1,074,456",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Nancy,Brown,nancyb@redfin.com,(404) 251-4491,Ryan Homes,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 18 years, Transactions: 32, Volume: $1,647,241",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Brenda,Murphy,bmurphy@sothebysrealty.com,(917) 289-2379,Nest Seekers,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 21 years, Transactions: 47, Volume: $5,770,573",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Aaron,Watson,aaronw@exprealty.com,(484) 205-6660,HomeSmart,Oklahoma City,N/A,OK,,C,Yes,"Priority_C, CREAM, RealEstate, State_Level","Experience: 0 years, Transactions: 1, Volume: $12,807",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
