First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Jessica,Williams,jessica.williams@example.com,+1 (539) 952-7721,Williams Professional Services,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Professional Services","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Jones,linda.jones@example.com,+1 (523) 457-4228,Jones Education,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Education","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Williams,karen.williams@example.com,+1 (290) 681-1775,Williams Healthcare,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Healthcare","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Brown,patricia.brown@example.com,+1 (796) 369-7050,Brown Construction,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Construction","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Brown,barbara.brown@example.com,+1 (262) 606-2800,Brown Real Estate,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Real Estate","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Miller,elizabeth.miller@example.com,+1 (747) 648-4245,Miller Education,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Education","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Brown,james.brown@example.com,+1 (503) 502-7947,Brown Construction,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Construction","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Garcia,patricia.garcia@example.com,+1 (415) 810-5110,Garcia Retail,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Retail","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Rodriguez,charles.rodriguez@example.com,+1 (220) 611-1132,Rodriguez Finance,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Finance","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Johnson,barbara.johnson@example.com,+1 (681) 549-1905,Johnson Real Estate,Portland,Multnomah County,OR,US,C,Yes,"County_Lead, Real Estate","Pop: 812,000, Seat: Portland",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Stephanie,Evans,sevans@homesmart.com,(217) 627-5457,Realty One Group,Portland,N/A,OR,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 32, Volume: $12,226,422",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Wilson,wilson.john@realtor.com,(920) 626-5416,Century Communities,Portland,N/A,OR,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 17, Volume: $3,053,418",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
