First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Charles,Martinez,charles.martinez@example.com,+1 (417) 861-9684,Martinez Construction,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Construction","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,19350,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Davis,michael.davis@example.com,+1 (316) 793-8497,Davis Education,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Education","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,15545,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Rodriguez,susan.rodriguez@example.com,+1 (959) 952-1679,Rodriguez Education,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Education","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,15189,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Smith,robert.smith@example.com,+1 (679) 440-7820,Smith Manufacturing,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,20796,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Davis,robert.davis@example.com,+1 (753) 365-4599,Davis Education,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Education","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,16147,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Charles,Martinez,charles.martinez@example.com,+1 (867) 577-6345,Martinez Retail,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Retail","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,23362,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Davis,jennifer.davis@example.com,+1 (875) 910-1592,Davis Real Estate,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Real Estate","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,19287,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Martinez,patricia.martinez@example.com,+1 (643) 871-7085,Martinez Hospitality,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Hospitality","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,17185,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Martinez,jennifer.martinez@example.com,+1 (789) 535-2431,Martinez Retail,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Retail","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,19184,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Rodriguez,patricia.rodriguez@example.com,+1 (977) 765-2617,Rodriguez Education,Philadelphia,Philadelphia County,PA,US,C,Yes,"County_Lead, Education","Pop: 1,584,000, Seat: Philadelphia",County_Aware_Scraper,16880,SOS-PA-48880,2018-06-20,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Miller,karen.miller@example.com,+1 (918) 241-6657,Miller Education,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Education","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,24885,SOS-PA-44642,2013-07-18,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Davis,michael.davis@example.com,+1 (773) 309-6744,Davis Healthcare,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,18751,SOS-PA-47850,2020-04-04,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Davis,linda.davis@example.com,+1 (497) 337-2615,Davis Real Estate,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Real Estate","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,22773,SOS-PA-99196,2013-01-05,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Davis,patricia.davis@example.com,+1 (400) 661-8181,Davis Hospitality,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Hospitality","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,21281,SOS-PA-76357,2020-12-28,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Johnson,elizabeth.johnson@example.com,+1 (984) 876-9777,Johnson Retail,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Retail","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,24193,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Brown,sarah.brown@example.com,+1 (217) 235-1803,Brown Retail,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Retail","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,18971,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Garcia,jennifer.garcia@example.com,+1 (900) 947-4836,Garcia Professional Services,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Professional Services","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,17394,SOS-PA-25590,2025-08-05,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Miller,mary.miller@example.com,+1 (955) 148-3450,Miller Manufacturing,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,20597,SOS-PA-81803,2013-12-12,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Miller,patricia.miller@example.com,+1 (905) 517-7184,Miller Construction,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Construction","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,18469,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Smith,patricia.smith@example.com,+1 (663) 595-9036,Smith Finance,Pittsburgh,Allegheny County,PA,US,C,Yes,"County_Lead, Finance","Pop: 1,223,000, Seat: Pittsburgh",County_Aware_Scraper,19514,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Reed,karenr@berkshirehathawayhs.com,(225) 476-9418,D.R. Horton,Philadelphia,N/A,PA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 24 years, Transactions: 42, Volume: $6,602,661",CREAM_RealEstate,17073,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Catherine,Morales,cmorales@outlook.com,(262) 987-2217,Pulte Homes,Philadelphia,N/A,PA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 9 years, Transactions: 26, Volume: $11,662,668",CREAM_RealEstate,17899,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Daniel,Price,daniel75@compass.com,(816) 522-8568,Realty One Group,Philadelphia,N/A,PA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 22 years, Transactions: 30, Volume: $10,501,546",CREAM_RealEstate,22886,SOS-PA-69981,2023-04-22,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Shirley,Clark,shirley.clark@hotmail.com,(908) 476-7453,ERA,Philadelphia,N/A,PA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 0 years, Transactions: 1, Volume: $15,678",CREAM_RealEstate,22166,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Scott,Lee,slee@century21.com,(442) 486-8849,LGI Homes,Philadelphia,N/A,PA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 20 years, Transactions: 18, Volume: $9,143,840",CREAM_RealEstate,22080,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Shirley,Rodriguez,shirleyr@homesmart.com,(815) 727-1370,The Agency,Philadelphia,N/A,PA,,C,Yes,"Priority_A, CREAM, RealEstate, State_Level","Experience: 12 years, Transactions: 21, Volume: $1,726,177",CREAM_RealEstate,19466,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
