First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
William,Davis,william.davis@example.com,+1 (620) 981-9492,Davis Retail,Pasadena,Harris County,TX,US,C,Yes,"County_Lead, Retail","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,82558,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jessica,Johnson,jessica.johnson@example.com,+1 (395) 263-1190,Johnson Finance,Baytown,Harris County,TX,US,C,Yes,"County_Lead, Finance","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,78702,SOS-TX-56331,2020-07-24,Inactive,REG-TX-HARRI-2063,Retail,Active,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Davis,thomas.davis@example.com,+1 (418) 434-1205,Davis Healthcare,Houston,Harris County,TX,US,C,Yes,"County_Lead, Healthcare","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,81009,N/A,N/A,N/A,REG-TX-HARRI-5132,Food Service,Active,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Brown,sarah.brown@example.com,+1 (309) 255-5565,Brown Technology,Houston,Harris County,TX,US,C,Yes,"County_Lead, Technology","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,81534,SOS-TX-26564,2022-06-12,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Jones,robert.jones@example.com,+1 (978) 155-5610,Jones Manufacturing,Baytown,Harris County,TX,US,C,Yes,"County_Lead, Manufacturing","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,79973,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Brown,james.brown@example.com,+1 (775) 827-2736,Brown Healthcare,Humble,Harris County,TX,US,C,Yes,"County_Lead, Healthcare","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,77132,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Johnson,john.johnson@example.com,+1 (929) 703-8526,Johnson Finance,Pasadena,Harris County,TX,US,C,Yes,"County_Lead, Finance","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,73753,SOS-TX-82936,2025-06-12,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Davis,robert.davis@example.com,+1 (770) 595-4929,Davis Finance,Humble,Harris County,TX,US,C,Yes,"County_Lead, Finance","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,82673,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Johnson,robert.johnson@example.com,+1 (685) 225-4196,Johnson Real Estate,Humble,Harris County,TX,US,C,Yes,"County_Lead, Real Estate","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,73978,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Smith,david.smith@example.com,+1 (404) 824-8566,Smith Hospitality,Baytown,Harris County,TX,US,C,Yes,"County_Lead, Hospitality","Pop: 4,739,000, Seat: Houston",County_Aware_Scraper,81519,N/A,N/A,N/A,REG-TX-HARRI-5781,Professional,Suspended,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Rodriguez,karen.rodriguez@example.com,+1 (316) 233-6882,Rodriguez Technology,Garland,Dallas County,TX,US,C,Yes,"County_Lead, Technology","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper,82227,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Johnson,thomas.johnson@example.com,+1 (812) 172-6815,Johnson Retail,Irving,Dallas County,TX,US,C,Yes,"County_Lead, Retail","Pop: 2,613,000, Seat: Dallas",County_Aware_Scraper,73630,N/A,N/A,N/A,REG-TX-DALLA-8505,General Business,Active,Multi-Source (County + SOS + Registry),2026-03-31
