First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Patricia,Davis,patricia.davis@example.com,+1 (221) 983-6430,Davis Technology,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Technology","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Thomas,Martinez,thomas.martinez@example.com,+1 (989) 492-3174,Martinez Healthcare,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Healthcare","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Williams,mary.williams@example.com,+1 (257) 282-2678,Williams Finance,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Finance","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Miller,sarah.miller@example.com,+1 (354) 746-4972,Miller Manufacturing,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
William,Jones,william.jones@example.com,+1 (739) 151-5888,Jones Professional Services,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Professional Services","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Martinez,david.martinez@example.com,+1 (784) 257-2478,Martinez Construction,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Construction","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Miller,james.miller@example.com,+1 (430) 731-8506,Miller Construction,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Construction","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Johnson,jennifer.johnson@example.com,+1 (387) 405-2332,Johnson Education,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Education","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Brown,joseph.brown@example.com,+1 (986) 692-4192,Brown Manufacturing,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Brown,richard.brown@example.com,+1 (772) 359-5495,Brown Manufacturing,Salt Lake City,Salt Lake County,UT,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,185,000, Seat: Salt Lake City",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Christopher,Wright,wright.christopher@gmail.com,(856) 226-6159,NVR,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 22 years, Transactions: 28, Volume: $11,250,300",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Castillo,robert27@homesmart.com,(908) 466-5858,Tri Pointe Homes,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 14 years, Transactions: 45, Volume: $4,054,591",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Rebecca,Johnson,rebecca9@yahoo.com,(518) 397-7156,Douglas Elliman,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 4 years, Transactions: 14, Volume: $1,917,578",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Gregory,Reed,gregory.reed@homesmart.com,(231) 774-9820,Ryan Homes,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 13 years, Transactions: 37, Volume: $3,456,155",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Samuel,Chavez,samuel.chavez@elliman.com,(274) 214-9483,Nest Seekers,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 20 years, Transactions: 28, Volume: $6,188,492",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jonathan,Roberts,roberts.jonathan@redfin.com,(351) 652-9679,Vylla Home,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 17 years, Transactions: 30, Volume: $1,568,076",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Samantha,Martin,samantha25@compass.com,(601) 439-4962,Keller Williams,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 15 years, Transactions: 23, Volume: $10,367,725",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Ward,john84@redfin.com,(220) 703-4942,The Agency,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 3 years, Transactions: 5, Volume: $1,356,048",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joshua,Lewis,joshua69@realtor.com,(708) 258-9553,Redfin,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 14 years, Transactions: 16, Volume: $7,277,943",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jessica,Stewart,jessicas@coldwellbanker.com,(845) 231-1994,Toll Brothers,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 18 years, Transactions: 35, Volume: $9,070,074",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Brian,Lopez,brianl@homesmart.com,(507) 804-9896,Toll Brothers,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 2 years, Transactions: 14, Volume: $1,155,549",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Ramos,karen14@redfin.com,(928) 809-6391,The Agency,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 6 years, Transactions: 20, Volume: $8,325,678",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Carter,karen.carter@exprealty.com,(281) 725-8923,Pulte Homes,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 16 years, Transactions: 16, Volume: $13,069,847",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Wilson,wilson.susan@remax.net,(864) 818-7650,Ryan Homes,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 18 years, Transactions: 30, Volume: $4,671,307",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Brooks,mary78@outlook.com,(313) 441-7338,Toll Brothers,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 4 years, Transactions: 7, Volume: $893,730",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sharon,Brooks,sbrooks@remax.net,(623) 349-2099,The Agency,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 18 years, Transactions: 30, Volume: $2,332,882",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Andrew,Cox,andrewc@hotmail.com,(503) 338-2785,Meritage Homes,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 1 years, Transactions: 4, Volume: $457,043",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Anna,Wright,anna11@realtyonegroup.com,(909) 295-4121,Berkshire Hathaway,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 22 years, Transactions: 35, Volume: $14,477,090",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Betty,Reyes,breyes@hotmail.com,(737) 413-7657,Taylor Morrison,Salt Lake City,N/A,UT,,C,Yes,"Priority_B, CREAM, RealEstate, State_Level","Experience: 10 years, Transactions: 33, Volume: $14,639,511",CREAM_RealEstate,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
