First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Barbara,Martinez,barbara.martinez@example.com,+1 (438) 743-7899,Martinez Technology,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Technology","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,25104,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Jones,linda.jones@example.com,+1 (327) 680-7151,Jones Professional Services,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Professional Services","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,22885,SOS-VA-83256,2020-05-09,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Martinez,john.martinez@example.com,+1 (250) 893-9661,Martinez Manufacturing,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Manufacturing","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,27427,SOS-VA-37994,2013-03-10,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Martinez,patricia.martinez@example.com,+1 (700) 157-6045,Martinez Professional Services,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Professional Services","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,24978,SOS-VA-35613,2015-09-06,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Martinez,david.martinez@example.com,+1 (220) 288-4677,Martinez Construction,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Construction","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,27542,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Jennifer,Miller,jennifer.miller@example.com,+1 (820) 461-7678,Miller Healthcare,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,24993,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Michael,Garcia,michael.garcia@example.com,+1 (575) 918-9961,Garcia Finance,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Finance","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,27745,SOS-VA-62729,2018-04-23,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Rodriguez,richard.rodriguez@example.com,+1 (925) 208-7752,Rodriguez Healthcare,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Healthcare","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,24333,SOS-VA-92958,2023-09-21,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Barbara,Martinez,barbara.martinez@example.com,+1 (276) 806-8912,Martinez Professional Services,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Professional Services","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,29545,SOS-VA-16106,2024-03-08,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Martinez,elizabeth.martinez@example.com,+1 (419) 426-5842,Martinez Retail,Fairfax,Fairfax County,VA,US,C,Yes,"County_Lead, Retail","Pop: 1,144,000, Seat: Fairfax",County_Aware_Scraper,21072,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
