First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Jessica,Johnson,jessica.johnson@example.com,+1 (446) 337-1073,Johnson Professional Services,Kent,King County,WA,US,C,Yes,"County_Lead, Professional Services","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,103812,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Garcia,mary.garcia@example.com,+1 (598) 988-9282,Garcia Retail,Kent,King County,WA,US,C,Yes,"County_Lead, Retail","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,100729,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Robert,Brown,robert.brown@example.com,+1 (374) 783-9353,Brown Retail,Seattle,King County,WA,US,C,Yes,"County_Lead, Retail","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,106469,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Garcia,patricia.garcia@example.com,+1 (226) 871-9454,Garcia Healthcare,Bellevue,King County,WA,US,C,Yes,"County_Lead, Healthcare","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,104797,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Mary,Williams,mary.williams@example.com,+1 (854) 957-2976,Williams Real Estate,Kent,King County,WA,US,C,Yes,"County_Lead, Real Estate","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,107213,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Davis,john.davis@example.com,+1 (742) 292-2001,Davis Hospitality,Seattle,King County,WA,US,C,Yes,"County_Lead, Hospitality","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,106102,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Davis,elizabeth.davis@example.com,+1 (270) 974-4894,Davis Professional Services,Bellevue,King County,WA,US,C,Yes,"County_Lead, Professional Services","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,104875,SOS-WA-67892,2018-05-16,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
James,Williams,james.williams@example.com,+1 (787) 170-1837,Williams Hospitality,Bellevue,King County,WA,US,C,Yes,"County_Lead, Hospitality","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,103794,SOS-WA-52707,2023-03-23,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Sarah,Garcia,sarah.garcia@example.com,+1 (687) 775-1433,Garcia Finance,Bellevue,King County,WA,US,C,Yes,"County_Lead, Finance","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,106530,SOS-WA-30962,2010-03-21,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Elizabeth,Miller,elizabeth.miller@example.com,+1 (714) 687-3204,Miller Technology,Seattle,King County,WA,US,C,Yes,"County_Lead, Technology","Pop: 2,261,000, Seat: Seattle",County_Aware_Scraper,107560,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
