First Name,Last Name,Email,Phone,Company,City,County,State,Country,Priority,Email_Valid,Tags,Notes,Source,Postal Code,SOS_Business_ID,SOS_Registration_Date,SOS_Status,County_Registry_ID,License_Type,License_Status,Data_Source,Integration_Date
Barbara,Williams,barbara.williams@example.com,+1 (888) 647-6449,Williams Construction,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Construction","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Linda,Johnson,linda.johnson@example.com,+1 (755) 884-4778,Johnson Finance,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Finance","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Richard,Smith,richard.smith@example.com,+1 (822) 387-6301,Smith Education,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Education","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
John,Jones,john.jones@example.com,+1 (675) 937-4847,Jones Professional Services,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Professional Services","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,SOS-WI-56191,2021-01-23,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Joseph,Brown,joseph.brown@example.com,+1 (900) 972-8940,Brown Professional Services,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Professional Services","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
David,Smith,david.smith@example.com,+1 (263) 606-8823,Smith Technology,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Technology","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Susan,Garcia,susan.garcia@example.com,+1 (911) 475-6715,Garcia Manufacturing,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Manufacturing","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,SOS-WI-46235,2024-01-15,Inactive,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Rodriguez,karen.rodriguez@example.com,+1 (929) 555-6153,Rodriguez Technology,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Technology","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Patricia,Jones,patricia.jones@example.com,+1 (311) 176-2257,Jones Technology,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Technology","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,SOS-WI-81989,2013-09-04,Active,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
Karen,Jones,karen.jones@example.com,+1 (312) 596-3877,Jones Professional Services,Milwaukee,Milwaukee County,WI,US,C,Yes,"County_Lead, Professional Services","Pop: 939,000, Seat: Milwaukee",County_Aware_Scraper,,N/A,N/A,N/A,N/A,N/A,N/A,Multi-Source (County + SOS + Registry),2026-03-31
