license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-665427,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Alameda Group,James Johnson,1645 Mission Way,Berkeley,CA,93367,Alameda,(925) 946-1887,2010-02-08,2011-02-08
41-745414,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Berkeley Heights,William Williams,9602 Washington Rd,Berkeley,CA,93622,Alameda,(510) 723-8752,2021-11-20,2022-11-20
41-773971,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Inc,Jennifer Williams,5463 Pico Pl,Oakland,CA,93105,Alameda,(925) 970-7906,2023-09-02,2024-09-02
41-405407,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheBistro Co 88,Jennifer Jones,3924 Hollywood Dr,Hayward,CA,94461,Alameda,(510) 863-3441,2005-05-20,2006-05-20
41-177449,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern Company 50,John Gonzalez,8016 Mission Dr,Berkeley,CA,92940,Alameda,(925) 916-5837,2018-11-25,2019-11-25
41-170394,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldCafe 72,Matthew Johnson Martin,1082 Lincoln Ct,Hayward,CA,95488,Alameda,(510) 620-6793,2009-06-04,2010-06-04
41-513697,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheKitchen Hayward Hills 45,Robert Brown,7347 Jefferson Ln #319,Hayward,CA,91655,Alameda,(925) 775-5450,2018-04-08,2019-04-08
41-844638,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Hayward LLC,James Jackson,4603 Wilshire Ct,Hayward,CA,93746,Alameda,(925) 762-9369,2024-09-27,2025-09-27
41-190898,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewCafe 55,John Martinez,5252 Ocean Dr,Berkeley,CA,90690,Alameda,(510) 766-5668,2019-09-07,2020-09-07
41-451291,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Oakland,Maria Taylor,4002 3rd Pl #245,Oakland,CA,95829,Alameda,(925) 295-1719,2011-08-24,2012-08-24
41-783238,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Co,Christopher Anderson,238 Wilshire Ln,Fremont,CA,92502,Alameda,(925) 633-7168,2014-05-22,2015-05-22
41-605339,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheKitchen Alameda 2,Michelle Davis,2671 6th Pl #990,Berkeley,CA,91354,Alameda,(510) 969-9055,2008-01-17,2009-01-17
41-506380,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Hayward,Lisa Anderson,7359 Wilshire Rd #659,Hayward,CA,96049,Alameda,(510) 994-4170,2021-02-06,2022-02-06
41-928278,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Hayward Heights LLC,Maria Hernandez,8376 Sunset Way,Hayward,CA,93304,Alameda,(510) 557-4624,2009-04-25,2010-04-25
41-245824,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldDiner 18,Robert Wilson Martin,290 Market St,Hayward,CA,93987,Alameda,(925) 339-2387,2013-10-06,2014-10-06
41-956727,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheTavern Alameda Inc 29,David Wilson,2208 Franklin Blvd,Berkeley,CA,92518,Alameda,(510) 414-3133,2003-02-01,2004-02-01
41-912767,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House LLC,James Garcia,5234 Front Way #861,Livermore,CA,91932,Alameda,(925) 423-3363,2008-08-14,2009-08-14
41-842866,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Hayward,Paul Martin,5553 Wilshire Pl #720,Hayward,CA,95495,Alameda,(510) 205-5155,2012-11-12,2013-11-12
41-913066,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldDiner Hayward Company 67,William Smith,8960 State Dr,Hayward,CA,94520,Alameda,(925) 733-6582,2017-10-09,2018-10-09
41-345196,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldKitchen Group 92,Anthony Brown,6287 6th Dr,Livermore,CA,94230,Alameda,(510) 997-6919,2013-07-03,2014-07-03
41-275566,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House LLC,Kenneth Johnson,6225 6th Pl #606,Oakland,CA,93881,Alameda,(925) 795-7569,2006-08-28,2007-08-28
41-608306,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern LLC 18,James Moore,7813 Hollywood Blvd,Hayward,CA,90147,Alameda,(510) 381-5819,2005-02-22,2006-02-22
41-374025,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Berkeley Hills,Paul Miller Garcia,2744 Main Ave #759,Berkeley,CA,95829,Alameda,(925) 607-2316,2013-05-23,2014-05-23
41-332932,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldCafe Livermore 64,Lisa Taylor Brown,7567 Ocean Ln,Livermore,CA,95450,Alameda,(510) 813-6245,2008-12-19,2009-12-19
41-894520,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Fremont Valley LLC 13,Kenneth Jones,2244 Front St #826,Fremont,CA,92490,Alameda,(925) 870-3681,2015-05-05,2016-05-05
41-322274,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewGrill 43,Christopher Jackson,5086 Mission Ave,Fremont,CA,95594,Alameda,(510) 539-6907,2011-04-21,2012-04-21
41-950100,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Alameda LLC,Robert Williams,6499 4th Pl #215,Fremont,CA,94733,Alameda,(925) 944-5562,2004-03-25,2005-03-25
41-711795,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Mark Rodriguez,9670 3rd Pl,Berkeley,CA,94274,Alameda,(510) 791-8830,2023-08-08,2024-08-08
41-510389,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewTavern Hayward 82,James Martin,847 State Pl,Hayward,CA,94689,Alameda,(510) 748-4378,2004-10-18,2005-10-18
41-900345,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Company,Robert Lopez,9001 Ocean Ave,Fremont,CA,93747,Alameda,(510) 323-5844,2013-09-03,2014-09-03
41-962181,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewCafe Alameda 35,Mark Martinez,771 2nd Ln,Fremont,CA,93821,Alameda,(925) 799-3759,2003-02-24,2004-02-24
41-696850,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewGrill 64,Michael Lopez,5019 Oak Pl,Oakland,CA,96102,Alameda,(510) 433-3794,2014-06-26,2015-06-26
41-460137,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldHouse Oakland Hills Group 27,Kenneth Smith,6593 Market Way #613,Oakland,CA,94456,Alameda,(510) 732-2700,2017-11-06,2018-11-06
41-831715,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Oakland,John Rodriguez,9761 5th St,Oakland,CA,90258,Alameda,(925) 527-6758,2012-09-25,2013-09-25
41-243935,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Livermore,Maria Jackson,4222 Jefferson Ln #995,Livermore,CA,92367,Alameda,(510) 520-6311,2009-04-27,2010-04-27
41-916102,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,Jennifer Brown Moore,5476 6th Ln,Livermore,CA,95933,Alameda,(925) 252-5920,2007-04-08,2008-04-08
41-179928,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewRestaurant Alameda 23,Mark Martin,1957 Oak Pl,Oakland,CA,94099,Alameda,(925) 723-3000,2002-06-26,2003-06-26
41-540114,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Alameda 33,Mark Martin,4555 Lincoln Dr,Livermore,CA,95487,Alameda,(925) 298-7224,2007-06-02,2008-06-02
41-530033,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheTavern Hayward 15,Anthony Jones,1946 2nd Way,Hayward,CA,91480,Alameda,(510) 323-1522,2021-12-17,2022-12-17
41-950110,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Company,Jennifer Thomas,9198 Lincoln Dr #522,Berkeley,CA,92823,Alameda,(510) 809-5212,2013-12-03,2014-12-03
41-936071,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,James Williams Garcia,1373 Hollywood Pl #125,Berkeley,CA,95692,Alameda,(510) 201-8289,2007-12-25,2008-12-25
41-907623,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Livermore,James Williams,6275 Sunset Pl,Livermore,CA,91383,Alameda,(925) 337-8108,2004-05-07,2005-05-07
41-182507,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewCorner 48,Anthony Gonzalez,7749 Oak Way #677,Oakland,CA,95530,Alameda,(925) 711-6420,2023-05-24,2024-05-24
41-773757,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Livermore,Michael Thomas,230 Oak Pl,Livermore,CA,95662,Alameda,(510) 317-8843,2016-06-07,2017-06-07
41-945365,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheEatery Alameda 21,John Moore,6628 Ocean Pl,Livermore,CA,93278,Alameda,(925) 766-2002,2017-05-12,2018-05-12
41-351641,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Livermore,David Gonzalez Rodriguez,6296 3rd St,Livermore,CA,92042,Alameda,(925) 381-9539,2002-12-22,2003-12-22
41-666283,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,Steven Gonzalez Martinez,9520 Madison Ave,Livermore,CA,94399,Alameda,(510) 374-8042,2023-10-26,2024-10-26
