license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
48-987202,48,On-Sale General - Bar/Tavern,ACTIVE,Amador Bar Inc,Lisa Johnson,6800 Broad Pl,Amador,CA,90108,Amador,(559) 853-1679,2011-05-23,2026-10-19
48-499136,48,On-Sale General - Bar/Tavern,ACTIVE,Amador Bar,Paul Lopez,872 Broad Blvd,Amador,CA,92197,Amador,(916) 393-7351,2020-04-07,2026-04-07
41-291676,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Amador Restaurant Inc,William Davis,9765 Center Way,Amador,CA,90979,Amador,(442) 772-2162,2019-11-13,2025-09-02
41-448882,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Amador Bar,William Hernandez,323 Main Ave,Amador,CA,95444,Amador,(530) 992-8233,2021-03-21,2024-01-07
48-174393,48,On-Sale General - Bar/Tavern,ACTIVE,Amador Cafe,Michelle Moore,2616 Broad Way,Amador,CA,92198,Amador,(442) 393-8358,2010-06-17,2025-09-25
21-581016,21,Off-Sale General,ACTIVE,Amador Market,Anthony Rodriguez,4321 Main St,Amador,CA,92721,Amador,(760) 595-5872,2016-03-05,2026-08-08
48-211656,48,On-Sale General - Bar/Tavern,ACTIVE,Amador Tavern LLC,Andrew Jones,2449 Main St,Amador,CA,94984,Amador,(760) 447-7192,2018-02-24,2026-08-05
21-650130,21,Off-Sale General,ACTIVE,Amador Restaurant LLC,Steven Martinez,266 Broad Pl,Amador,CA,94042,Amador,(916) 257-9605,2019-11-25,2025-04-26
48-526885,48,On-Sale General - Bar/Tavern,ACTIVE,Amador Market LLC,Michelle Wilson,9539 Main Way,Amador,CA,92557,Amador,(559) 503-1853,2017-12-08,2024-02-06
20-164270,20,Off-Sale Beer & Wine,ACTIVE,Amador Restaurant,Michelle Gonzalez,7315 Center Pl,Amador,CA,95412,Amador,(559) 477-6621,2011-08-08,2024-01-10
20-537915,20,Off-Sale Beer & Wine,ACTIVE,Amador Bar LLC,Maria Jones,7449 Main Ct,Amador,CA,91012,Amador,(442) 414-2227,2014-06-03,2024-08-27
41-765513,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Amador Bar Inc,Matthew Anderson,128 Center Dr,Amador,CA,92092,Amador,(707) 502-6541,2010-05-26,2024-02-22
21-599645,21,Off-Sale General,ACTIVE,The Amador Restaurant Inc,Lisa Rodriguez,6358 Center Dr,Amador,CA,93761,Amador,(707) 727-8065,2016-09-05,2024-10-18
75-762512,75,Event Permit Holder,ACTIVE,Amador Cafe Inc,Paul Williams,3067 Main Ln,Amador,CA,93886,Amador,(831) 231-2128,2017-07-08,2026-04-10
41-287223,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Amador Bar Inc,John Anderson,7775 Broad Ct,Amador,CA,93769,Amador,(442) 877-4485,2019-09-06,2026-05-07
58-928327,58,Caterer's Beer & Wine,ACTIVE,Amador Cafe LLC,Robert Smith,4182 Main Ave,Amador,CA,95949,Amador,(530) 573-8476,2016-09-19,2024-07-20
58-243773,58,Caterer's Beer & Wine,ACTIVE,The Amador Tavern LLC,Jennifer Anderson,7255 Center Way,Amador,CA,94425,Amador,(707) 371-1590,2020-07-23,2026-02-06
48-427607,48,On-Sale General - Bar/Tavern,ACTIVE,Amador Restaurant Inc,Jennifer Brown,6253 Main Ln,Amador,CA,94052,Amador,(442) 994-3457,2012-11-05,2024-11-25
