license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-668817,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Bar LLC,Matthew Lopez,746 Main Rd,Calaveras,CA,94031,Calaveras,(707) 665-4346,2017-01-10,2025-10-27
75-740184,75,Event Permit Holder,ACTIVE,The Calaveras Bar,Maria Jones,5398 Main Blvd,Calaveras,CA,96040,Calaveras,(831) 441-6587,2023-10-19,2026-04-20
58-963132,58,Caterer's Beer & Wine,ACTIVE,Calaveras Market LLC,David Gonzalez,3434 Broad Ln,Calaveras,CA,91785,Calaveras,(760) 956-5112,2016-04-18,2026-10-18
58-383828,58,Caterer's Beer & Wine,ACTIVE,Calaveras Tavern LLC,Matthew Davis,4693 Main St,Calaveras,CA,96079,Calaveras,(530) 876-1807,2011-04-09,2024-10-10
41-692300,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Cafe,Paul Martinez,8143 Main Ct,Calaveras,CA,90946,Calaveras,(559) 521-4834,2018-10-15,2026-06-14
48-121667,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Bar LLC,David Garcia,3245 Center Ct,Calaveras,CA,92873,Calaveras,(916) 877-3973,2021-12-12,2025-03-15
20-930479,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Restaurant,Steven Miller,5125 Main Pl,Calaveras,CA,95549,Calaveras,(760) 983-9591,2024-03-17,2024-05-26
20-629493,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Tavern Inc,Anthony Hernandez,5319 Broad Way,Calaveras,CA,92521,Calaveras,(760) 725-4765,2022-01-23,2025-09-16
47-657970,47,On-Sale General - Restaurant,ACTIVE,Calaveras Cafe Inc,Paul Jackson,3484 Broad Blvd,Calaveras,CA,96119,Calaveras,(707) 562-7221,2021-10-11,2025-02-07
47-704245,47,On-Sale General - Restaurant,ACTIVE,Calaveras Market Inc,Andrew Wilson,5567 Main Rd,Calaveras,CA,94876,Calaveras,(442) 488-9011,2010-07-24,2026-07-19
75-127696,75,Event Permit Holder,ACTIVE,Calaveras Bar Inc,Christopher Anderson,6824 Center Way,Calaveras,CA,95589,Calaveras,(831) 862-1053,2021-07-15,2024-03-22
41-306839,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Calaveras Market,Anthony Garcia,9861 Center Ave,Calaveras,CA,93895,Calaveras,(530) 992-9670,2015-09-01,2024-02-09
41-823156,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Calaveras Tavern LLC,Robert Moore,4570 Broad St,Calaveras,CA,93052,Calaveras,(760) 950-7506,2024-02-11,2024-07-04
20-134109,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Tavern Inc,Andrew Jones,2583 Main Ln,Calaveras,CA,90396,Calaveras,(209) 661-3106,2017-05-08,2026-03-13
48-931987,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Cafe Inc,William Anderson,4479 Main Rd,Calaveras,CA,95115,Calaveras,(707) 648-5586,2021-04-17,2026-01-05
48-890760,48,On-Sale General - Bar/Tavern,ACTIVE,The Calaveras Bar,Christopher Williams,8531 Broad Ln,Calaveras,CA,94682,Calaveras,(916) 522-1719,2012-06-19,2025-03-28
58-211042,58,Caterer's Beer & Wine,ACTIVE,Calaveras Tavern LLC,Andrew Gonzalez,9316 Center Pl,Calaveras,CA,90064,Calaveras,(559) 768-8296,2010-11-15,2025-09-11
47-169265,47,On-Sale General - Restaurant,ACTIVE,The Calaveras Cafe LLC,Michelle Brown,1453 Main Blvd,Calaveras,CA,92130,Calaveras,(559) 479-1980,2019-12-02,2025-03-10
48-453624,48,On-Sale General - Bar/Tavern,ACTIVE,The Calaveras Cafe LLC,Maria Johnson,2553 Center Blvd,Calaveras,CA,92342,Calaveras,(760) 607-1675,2012-08-22,2024-09-28
21-246382,21,Off-Sale General,ACTIVE,The Calaveras Market,Michael Taylor,5064 Broad Blvd,Calaveras,CA,95861,Calaveras,(530) 438-6616,2011-03-01,2024-12-28
41-581574,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Market LLC,Mark Lopez,6196 Main Ave,Calaveras,CA,92897,Calaveras,(442) 779-5777,2023-04-08,2026-02-11
48-517379,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Restaurant,Daniel Gonzalez,7260 Main Ln,Calaveras,CA,95035,Calaveras,(707) 745-5010,2015-04-25,2026-05-02
20-993880,20,Off-Sale Beer & Wine,ACTIVE,The Calaveras Bar LLC,Jennifer Brown,2885 Center Ct,Calaveras,CA,94862,Calaveras,(559) 577-7263,2014-12-15,2026-05-21
41-669142,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Bar Inc,Michael Martin,971 Center Pl,Calaveras,CA,90607,Calaveras,(530) 238-1914,2018-02-13,2026-04-21
47-866910,47,On-Sale General - Restaurant,ACTIVE,The Calaveras Tavern,James Gonzalez,275 Main Way,Calaveras,CA,91916,Calaveras,(707) 673-7183,2010-06-25,2026-05-09
58-111065,58,Caterer's Beer & Wine,ACTIVE,The Calaveras Market Inc,Daniel Thomas,3361 Center Ct,Calaveras,CA,91403,Calaveras,(831) 410-8877,2014-06-23,2024-03-14
48-336726,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Bar LLC,Daniel Hernandez,6168 Center Dr,Calaveras,CA,91639,Calaveras,(442) 932-8052,2020-02-25,2024-06-18
21-307321,21,Off-Sale General,ACTIVE,The Calaveras Restaurant LLC,Mark Jackson,2357 Broad Pl,Calaveras,CA,94837,Calaveras,(209) 318-1305,2012-01-14,2024-06-21
75-940986,75,Event Permit Holder,ACTIVE,Calaveras Cafe Inc,Maria Lopez,3434 Main Rd,Calaveras,CA,93919,Calaveras,(209) 936-3148,2015-02-19,2024-10-27
41-516232,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Cafe Inc,Steven Anderson,5282 Center Ave,Calaveras,CA,90652,Calaveras,(442) 749-7984,2012-06-14,2024-09-12
47-661946,47,On-Sale General - Restaurant,ACTIVE,The Calaveras Market Inc,Michael Smith,4856 Broad Blvd,Calaveras,CA,95495,Calaveras,(916) 446-1844,2024-07-16,2025-02-22
20-492540,20,Off-Sale Beer & Wine,ACTIVE,The Calaveras Cafe Inc,Paul Brown,2340 Center Ct,Calaveras,CA,93266,Calaveras,(760) 461-2543,2015-09-05,2024-04-28
75-615386,75,Event Permit Holder,ACTIVE,The Calaveras Bar LLC,Michelle Brown,8377 Main Ln,Calaveras,CA,95517,Calaveras,(209) 498-4235,2021-06-20,2024-01-14
20-577898,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Tavern Inc,Jennifer Martin,7944 Broad Ln,Calaveras,CA,92511,Calaveras,(442) 606-1510,2023-04-18,2024-05-01
20-553592,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Cafe,Michelle Rodriguez,3589 Center Ln,Calaveras,CA,95072,Calaveras,(442) 548-2275,2012-09-06,2025-08-05
48-231911,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Bar Inc,Mark Miller,7614 Broad Ct,Calaveras,CA,92213,Calaveras,(559) 390-2968,2021-01-19,2026-09-13
41-916403,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Bar LLC,Lisa Rodriguez,5449 Broad Blvd,Calaveras,CA,95795,Calaveras,(916) 811-6104,2011-08-08,2026-12-22
20-208549,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Market LLC,Robert Gonzalez,9346 Center Blvd,Calaveras,CA,93036,Calaveras,(707) 775-7770,2010-12-11,2026-10-25
41-724555,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Cafe Inc,Steven Hernandez,6936 Main Dr,Calaveras,CA,95171,Calaveras,(707) 364-1392,2024-01-20,2025-10-28
21-639023,21,Off-Sale General,ACTIVE,Calaveras Market Inc,Kenneth Brown,9294 Broad Ave,Calaveras,CA,94715,Calaveras,(442) 872-1040,2012-06-18,2026-10-14
47-704790,47,On-Sale General - Restaurant,ACTIVE,The Calaveras Tavern Inc,James Brown,9165 Broad Way,Calaveras,CA,95132,Calaveras,(916) 468-7455,2011-01-12,2026-11-02
20-455518,20,Off-Sale Beer & Wine,ACTIVE,The Calaveras Cafe Inc,Andrew Williams,4075 Main Ct,Calaveras,CA,94994,Calaveras,(530) 921-4127,2016-03-24,2024-06-17
41-128145,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Calaveras Bar Inc,James Williams,1571 Center Blvd,Calaveras,CA,93974,Calaveras,(530) 593-7096,2020-09-16,2025-12-02
21-349194,21,Off-Sale General,ACTIVE,Calaveras Market LLC,Robert Garcia,3646 Main Blvd,Calaveras,CA,91939,Calaveras,(916) 616-5782,2018-08-27,2025-02-25
58-781778,58,Caterer's Beer & Wine,ACTIVE,The Calaveras Bar LLC,Matthew Garcia,2726 Main St,Calaveras,CA,95284,Calaveras,(916) 807-3091,2017-03-15,2024-10-17
75-961527,75,Event Permit Holder,ACTIVE,The Calaveras Market Inc,Michelle Smith,3762 Main Rd,Calaveras,CA,95080,Calaveras,(831) 421-1099,2011-12-12,2025-05-11
75-623231,75,Event Permit Holder,ACTIVE,The Calaveras Bar Inc,Jennifer Gonzalez,4170 Broad St,Calaveras,CA,95491,Calaveras,(442) 615-8862,2010-06-24,2024-12-11
48-435528,48,On-Sale General - Bar/Tavern,ACTIVE,The Calaveras Restaurant,Andrew Garcia,2274 Main Ct,Calaveras,CA,90708,Calaveras,(916) 532-6723,2018-08-26,2026-04-22
47-357318,47,On-Sale General - Restaurant,ACTIVE,Calaveras Market Inc,Jennifer Anderson,2532 Main Dr,Calaveras,CA,90613,Calaveras,(559) 779-4028,2018-09-03,2024-02-04
48-743201,48,On-Sale General - Bar/Tavern,ACTIVE,The Calaveras Bar Inc,Steven Smith,6250 Broad Ave,Calaveras,CA,94017,Calaveras,(707) 305-1708,2015-01-17,2026-10-07
48-936322,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Market,Michael Miller,2630 Main Blvd,Calaveras,CA,94304,Calaveras,(831) 290-1618,2020-05-25,2025-12-25
47-733443,47,On-Sale General - Restaurant,ACTIVE,Calaveras Cafe,Matthew Martin,2934 Broad Dr,Calaveras,CA,92181,Calaveras,(707) 786-8342,2013-05-17,2024-05-27
75-455093,75,Event Permit Holder,ACTIVE,The Calaveras Tavern Inc,Anthony Martinez,3932 Broad Ln,Calaveras,CA,93265,Calaveras,(530) 448-3274,2022-04-21,2025-07-01
47-285855,47,On-Sale General - Restaurant,ACTIVE,Calaveras Restaurant Inc,Daniel Johnson,1093 Main St,Calaveras,CA,93907,Calaveras,(760) 882-8252,2024-02-20,2025-08-09
47-940170,47,On-Sale General - Restaurant,ACTIVE,Calaveras Restaurant Inc,Michael Smith,1210 Center St,Calaveras,CA,90084,Calaveras,(831) 538-3306,2013-10-05,2024-12-18
47-256103,47,On-Sale General - Restaurant,ACTIVE,The Calaveras Bar,John Lopez,6868 Center Ct,Calaveras,CA,90440,Calaveras,(559) 525-3948,2021-04-16,2024-05-02
47-689567,47,On-Sale General - Restaurant,ACTIVE,Calaveras Market,Matthew Martinez,4136 Main Pl,Calaveras,CA,94536,Calaveras,(559) 312-2947,2022-08-28,2026-08-07
75-920061,75,Event Permit Holder,ACTIVE,Calaveras Cafe LLC,Anthony Brown,5513 Main Ave,Calaveras,CA,94586,Calaveras,(559) 253-1819,2020-03-02,2024-10-26
41-848173,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Calaveras Bar Inc,Steven Davis,4651 Center Way,Calaveras,CA,95189,Calaveras,(209) 922-4061,2018-01-12,2024-09-24
75-974902,75,Event Permit Holder,ACTIVE,Calaveras Bar LLC,Robert Wilson,7846 Broad Way,Calaveras,CA,92277,Calaveras,(760) 473-2935,2020-04-04,2024-09-16
48-398332,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Market Inc,Anthony Williams,5914 Center Rd,Calaveras,CA,93194,Calaveras,(559) 209-5309,2019-12-19,2025-04-04
21-532305,21,Off-Sale General,ACTIVE,Calaveras Market Inc,Christopher Jones,5561 Main Pl,Calaveras,CA,92904,Calaveras,(530) 347-2331,2022-10-12,2025-06-15
47-802187,47,On-Sale General - Restaurant,ACTIVE,Calaveras Bar LLC,Maria Miller,4648 Center Way,Calaveras,CA,90341,Calaveras,(442) 257-9609,2018-09-14,2026-02-15
41-163186,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Bar LLC,Christopher Rodriguez,942 Main Rd,Calaveras,CA,95998,Calaveras,(559) 268-1398,2020-05-23,2025-10-17
20-503045,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Tavern LLC,James Taylor,7023 Center Ln,Calaveras,CA,94984,Calaveras,(530) 862-7278,2017-01-06,2026-12-24
47-662710,47,On-Sale General - Restaurant,ACTIVE,The Calaveras Restaurant LLC,James Moore,6522 Broad Dr,Calaveras,CA,92655,Calaveras,(559) 900-9487,2020-10-27,2026-11-14
48-349893,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Restaurant LLC,Daniel Taylor,9674 Broad Dr,Calaveras,CA,95370,Calaveras,(209) 255-9409,2021-09-15,2025-03-20
20-257081,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Tavern LLC,Robert Martinez,8218 Center Ln,Calaveras,CA,92059,Calaveras,(442) 680-9205,2024-05-13,2026-06-16
58-543295,58,Caterer's Beer & Wine,ACTIVE,The Calaveras Cafe LLC,Anthony Gonzalez,5728 Broad Pl,Calaveras,CA,92584,Calaveras,(530) 962-5978,2010-11-17,2026-02-25
21-167723,21,Off-Sale General,ACTIVE,The Calaveras Market LLC,Kenneth Hernandez,5847 Broad Dr,Calaveras,CA,95221,Calaveras,(530) 914-1641,2018-04-28,2026-10-08
21-396690,21,Off-Sale General,ACTIVE,Calaveras Restaurant Inc,Christopher Hernandez,4321 Broad Dr,Calaveras,CA,91148,Calaveras,(831) 634-2517,2019-10-22,2026-12-19
48-542548,48,On-Sale General - Bar/Tavern,ACTIVE,The Calaveras Bar Inc,James Rodriguez,4215 Center Dr,Calaveras,CA,90872,Calaveras,(831) 954-2042,2012-09-01,2024-03-28
20-978696,20,Off-Sale Beer & Wine,ACTIVE,The Calaveras Cafe LLC,David Rodriguez,9606 Broad Ln,Calaveras,CA,92111,Calaveras,(831) 246-9740,2021-08-08,2024-02-15
41-121148,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Tavern Inc,Paul Anderson,2213 Broad Blvd,Calaveras,CA,95953,Calaveras,(916) 345-4022,2019-09-17,2025-12-28
20-516757,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Cafe,Matthew Brown,9524 Broad Dr,Calaveras,CA,91063,Calaveras,(209) 744-6912,2012-06-01,2026-03-10
41-163511,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Calaveras Market Inc,Maria Rodriguez,2735 Broad St,Calaveras,CA,90161,Calaveras,(831) 910-2670,2021-06-04,2026-12-04
20-268357,20,Off-Sale Beer & Wine,ACTIVE,The Calaveras Cafe LLC,Jennifer Lopez,4648 Center Ln,Calaveras,CA,95906,Calaveras,(707) 937-7055,2022-04-08,2025-07-27
48-920217,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Cafe LLC,William Davis,1542 Main Rd,Calaveras,CA,94731,Calaveras,(559) 637-8734,2022-11-22,2025-07-04
47-995788,47,On-Sale General - Restaurant,ACTIVE,Calaveras Restaurant LLC,Daniel Martin,9181 Main Ln,Calaveras,CA,94767,Calaveras,(442) 372-7465,2013-05-14,2024-12-09
48-691949,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Tavern Inc,Anthony Anderson,5272 Main Rd,Calaveras,CA,92713,Calaveras,(530) 689-2849,2019-10-10,2024-03-18
75-584231,75,Event Permit Holder,ACTIVE,The Calaveras Cafe,Kenneth Brown,9478 Main Ct,Calaveras,CA,95461,Calaveras,(831) 937-3671,2019-04-25,2026-10-18
58-306897,58,Caterer's Beer & Wine,ACTIVE,Calaveras Market Inc,Andrew Taylor,2818 Main Way,Calaveras,CA,91755,Calaveras,(442) 476-3032,2010-03-05,2025-05-11
20-996610,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Market Inc,Daniel Martin,1181 Broad Dr,Calaveras,CA,92517,Calaveras,(442) 404-8001,2016-08-07,2024-09-28
21-851051,21,Off-Sale General,ACTIVE,Calaveras Market Inc,Michelle Lopez,2230 Broad St,Calaveras,CA,94711,Calaveras,(916) 541-9267,2011-10-03,2025-10-25
58-406693,58,Caterer's Beer & Wine,ACTIVE,Calaveras Tavern,Matthew Johnson,4573 Broad Dr,Calaveras,CA,90656,Calaveras,(530) 639-2996,2022-04-24,2026-05-22
21-677767,21,Off-Sale General,ACTIVE,Calaveras Cafe,Mark Brown,9002 Main Ave,Calaveras,CA,95232,Calaveras,(530) 481-4227,2022-12-25,2025-06-18
47-279986,47,On-Sale General - Restaurant,ACTIVE,Calaveras Bar LLC,Michael Garcia,3209 Center Dr,Calaveras,CA,90235,Calaveras,(707) 294-5167,2020-07-10,2025-11-20
41-336301,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Calaveras Restaurant Inc,Andrew Martinez,8043 Main Blvd,Calaveras,CA,93044,Calaveras,(707) 802-5634,2020-11-08,2026-02-02
48-676386,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Tavern Inc,Anthony Davis,2580 Center Ave,Calaveras,CA,93121,Calaveras,(209) 941-4019,2013-10-23,2024-12-12
58-951362,58,Caterer's Beer & Wine,ACTIVE,Calaveras Cafe,Jennifer Moore,2227 Main Rd,Calaveras,CA,91829,Calaveras,(707) 992-5586,2014-03-21,2024-01-19
21-694563,21,Off-Sale General,ACTIVE,Calaveras Restaurant LLC,Michelle Martinez,2603 Broad Ave,Calaveras,CA,93298,Calaveras,(707) 453-9321,2015-03-02,2025-04-07
48-209339,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Tavern LLC,Robert Rodriguez,2992 Main Ave,Calaveras,CA,90016,Calaveras,(442) 974-3303,2020-06-02,2024-09-14
58-948731,58,Caterer's Beer & Wine,ACTIVE,The Calaveras Cafe,Jennifer Gonzalez,9277 Main Way,Calaveras,CA,90732,Calaveras,(559) 511-2001,2024-06-26,2026-10-09
41-122501,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Restaurant,Andrew Gonzalez,231 Center Ave,Calaveras,CA,94824,Calaveras,(831) 880-3335,2023-03-07,2026-08-05
21-181079,21,Off-Sale General,ACTIVE,Calaveras Restaurant Inc,Matthew Miller,4380 Center Dr,Calaveras,CA,93229,Calaveras,(831) 901-2715,2018-12-16,2026-10-25
75-563603,75,Event Permit Holder,ACTIVE,Calaveras Cafe LLC,Steven Brown,6243 Broad Dr,Calaveras,CA,90990,Calaveras,(831) 434-9761,2022-02-27,2025-03-13
20-770324,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Bar Inc,Mark Davis,5031 Main Ln,Calaveras,CA,93105,Calaveras,(831) 794-5704,2010-07-18,2024-11-21
75-511112,75,Event Permit Holder,ACTIVE,Calaveras Restaurant,Lisa Brown,4709 Broad Pl,Calaveras,CA,96177,Calaveras,(559) 874-2921,2019-06-19,2024-01-04
75-341427,75,Event Permit Holder,ACTIVE,Calaveras Bar Inc,Mark Brown,730 Broad Ct,Calaveras,CA,93699,Calaveras,(916) 748-5477,2017-10-01,2026-02-26
48-224309,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Bar Inc,William Jackson,1241 Main Ave,Calaveras,CA,90788,Calaveras,(559) 424-3453,2012-07-12,2025-01-09
20-472057,20,Off-Sale Beer & Wine,ACTIVE,The Calaveras Market,William Garcia,1522 Broad Way,Calaveras,CA,95112,Calaveras,(442) 531-2931,2022-07-27,2026-06-02
21-719773,21,Off-Sale General,ACTIVE,Calaveras Tavern Inc,Anthony Garcia,5354 Center Way,Calaveras,CA,93926,Calaveras,(209) 511-1048,2023-06-18,2026-10-12
41-933666,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Restaurant LLC,Jennifer Miller,1371 Broad Dr,Calaveras,CA,92999,Calaveras,(760) 203-5582,2015-06-06,2025-07-14
48-539902,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Tavern LLC,Maria Wilson,2628 Broad St,Calaveras,CA,90873,Calaveras,(707) 666-8530,2018-02-01,2026-04-25
75-527060,75,Event Permit Holder,ACTIVE,The Calaveras Cafe Inc,James Williams,7609 Main Dr,Calaveras,CA,95664,Calaveras,(209) 325-7756,2013-10-04,2026-09-09
75-794434,75,Event Permit Holder,ACTIVE,The Calaveras Market,Maria Smith,9184 Broad Ave,Calaveras,CA,94325,Calaveras,(760) 421-1462,2016-10-04,2026-06-10
41-276623,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Tavern Inc,Jennifer Lopez,4404 Center Ln,Calaveras,CA,95247,Calaveras,(760) 378-8125,2021-07-14,2024-11-09
47-255205,47,On-Sale General - Restaurant,ACTIVE,Calaveras Cafe Inc,Michelle Hernandez,6297 Center Blvd,Calaveras,CA,94137,Calaveras,(209) 930-5306,2014-08-13,2025-09-28
41-898613,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Calaveras Cafe,Steven Smith,1000 Center St,Calaveras,CA,95067,Calaveras,(442) 531-2234,2010-08-19,2025-05-23
21-716265,21,Off-Sale General,ACTIVE,Calaveras Restaurant Inc,David Miller,5437 Center Blvd,Calaveras,CA,93505,Calaveras,(530) 949-7602,2021-07-11,2024-03-10
20-714566,20,Off-Sale Beer & Wine,ACTIVE,The Calaveras Market LLC,Matthew Thomas,9840 Broad Blvd,Calaveras,CA,95414,Calaveras,(707) 665-8309,2012-04-09,2025-05-22
75-407253,75,Event Permit Holder,ACTIVE,Calaveras Restaurant Inc,Kenneth Lopez,787 Main Ln,Calaveras,CA,91508,Calaveras,(209) 622-8000,2010-04-06,2026-02-22
21-819908,21,Off-Sale General,ACTIVE,The Calaveras Restaurant LLC,William Davis,9082 Center Rd,Calaveras,CA,91292,Calaveras,(530) 312-3135,2024-01-28,2025-10-25
21-223160,21,Off-Sale General,ACTIVE,Calaveras Tavern LLC,Daniel Brown,2065 Main Pl,Calaveras,CA,93082,Calaveras,(831) 579-7332,2023-09-12,2025-04-02
21-922311,21,Off-Sale General,ACTIVE,Calaveras Tavern,William Martinez,1686 Center St,Calaveras,CA,94916,Calaveras,(530) 875-1857,2017-02-20,2026-04-28
75-406775,75,Event Permit Holder,ACTIVE,Calaveras Cafe,Andrew Wilson,5781 Center Pl,Calaveras,CA,94508,Calaveras,(707) 833-2069,2012-01-27,2024-05-02
48-974872,48,On-Sale General - Bar/Tavern,ACTIVE,Calaveras Bar LLC,Michelle Jones,6956 Broad Rd,Calaveras,CA,90965,Calaveras,(760) 740-2291,2018-04-26,2024-04-19
41-939911,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Cafe Inc,Jennifer Gonzalez,8851 Main Pl,Calaveras,CA,90073,Calaveras,(530) 426-6541,2022-01-15,2026-08-06
47-479714,47,On-Sale General - Restaurant,ACTIVE,Calaveras Bar LLC,Michelle Davis,4042 Main St,Calaveras,CA,92041,Calaveras,(831) 771-8680,2016-03-28,2024-02-19
48-645319,48,On-Sale General - Bar/Tavern,ACTIVE,The Calaveras Restaurant Inc,Lisa Lopez,7323 Broad Blvd,Calaveras,CA,93620,Calaveras,(559) 923-5886,2013-05-10,2024-08-02
41-983438,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Tavern Inc,Robert Taylor,6814 Center Blvd,Calaveras,CA,95040,Calaveras,(760) 532-6756,2012-02-13,2025-11-03
21-966943,21,Off-Sale General,ACTIVE,The Calaveras Cafe LLC,Anthony Martin,4294 Main Ct,Calaveras,CA,94368,Calaveras,(209) 427-6182,2017-03-19,2025-02-13
41-412898,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Restaurant LLC,Michelle Jackson,4031 Center Pl,Calaveras,CA,91642,Calaveras,(559) 835-2465,2020-10-21,2024-12-12
47-776744,47,On-Sale General - Restaurant,ACTIVE,Calaveras Bar LLC,Daniel Martin,5314 Broad Ln,Calaveras,CA,94437,Calaveras,(442) 677-7689,2010-04-10,2024-03-01
41-484954,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Cafe,Anthony Garcia,275 Center Rd,Calaveras,CA,91471,Calaveras,(707) 832-2815,2010-05-23,2026-06-09
48-394917,48,On-Sale General - Bar/Tavern,ACTIVE,The Calaveras Cafe,Maria Smith,1979 Broad Ln,Calaveras,CA,91245,Calaveras,(916) 868-9788,2018-10-05,2026-03-18
41-134208,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Calaveras Restaurant Inc,Kenneth Thomas,1679 Center Ln,Calaveras,CA,95199,Calaveras,(209) 216-1815,2020-07-26,2024-08-08
20-426980,20,Off-Sale Beer & Wine,ACTIVE,The Calaveras Market LLC,Matthew Johnson,2511 Center Rd,Calaveras,CA,96143,Calaveras,(760) 414-8531,2020-05-21,2025-01-17
20-169778,20,Off-Sale Beer & Wine,ACTIVE,Calaveras Tavern Inc,Anthony Miller,1500 Center Way,Calaveras,CA,92986,Calaveras,(209) 253-3251,2012-10-26,2026-05-02
41-896464,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Calaveras Market,James Miller,2690 Center Blvd,Calaveras,CA,93116,Calaveras,(559) 791-7629,2020-08-04,2026-09-27
47-974870,47,On-Sale General - Restaurant,ACTIVE,Calaveras Bar Inc,William Gonzalez,1519 Broad Ln,Calaveras,CA,92432,Calaveras,(209) 615-9399,2020-01-19,2024-10-03
