license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
58-348525,58,Caterer's Beer & Wine,ACTIVE,The Colusa Bar,Michelle Johnson,7150 Broad Pl,Colusa,CA,95217,Colusa,(209) 220-8051,2013-07-01,2024-11-06
41-396464,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Colusa Restaurant,Anthony Hernandez,5947 Broad Blvd,Colusa,CA,90820,Colusa,(707) 920-9595,2011-09-21,2026-01-19
48-316330,48,On-Sale General - Bar/Tavern,ACTIVE,Colusa Tavern,John Martin,2737 Center Way,Colusa,CA,90584,Colusa,(831) 999-8570,2016-07-09,2026-07-01
75-653132,75,Event Permit Holder,ACTIVE,The Colusa Cafe LLC,John Thomas,6706 Broad Rd,Colusa,CA,92071,Colusa,(831) 973-7516,2011-10-20,2024-08-19
58-272006,58,Caterer's Beer & Wine,ACTIVE,Colusa Restaurant,Daniel Williams,8323 Main Ave,Colusa,CA,95853,Colusa,(530) 550-4388,2014-01-02,2024-07-22
58-978929,58,Caterer's Beer & Wine,ACTIVE,Colusa Tavern,James Anderson,6128 Broad Blvd,Colusa,CA,92272,Colusa,(707) 384-5587,2015-09-26,2025-08-19
21-751705,21,Off-Sale General,ACTIVE,Colusa Cafe,Steven Wilson,7751 Broad Rd,Colusa,CA,94354,Colusa,(916) 970-9144,2022-06-25,2025-11-13
47-936091,47,On-Sale General - Restaurant,ACTIVE,The Colusa Bar,James Jackson,3284 Center Ln,Colusa,CA,92731,Colusa,(530) 499-4918,2011-05-02,2025-08-27
75-669295,75,Event Permit Holder,ACTIVE,The Colusa Cafe Inc,William Gonzalez,2738 Broad Rd,Colusa,CA,92475,Colusa,(831) 785-6324,2018-06-03,2025-05-13
48-219501,48,On-Sale General - Bar/Tavern,ACTIVE,The Colusa Restaurant Inc,Maria Moore,2787 Broad Rd,Colusa,CA,94385,Colusa,(916) 986-9745,2010-06-21,2026-01-20
75-620632,75,Event Permit Holder,ACTIVE,Colusa Tavern Inc,Jennifer Smith,8356 Broad Dr,Colusa,CA,93289,Colusa,(559) 730-7803,2015-08-28,2026-12-01
75-376580,75,Event Permit Holder,ACTIVE,The Colusa Cafe LLC,James Martinez,2210 Main Blvd,Colusa,CA,93666,Colusa,(831) 587-6995,2021-11-27,2026-11-13
