license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-140605,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Company,Jennifer Lopez,3828 Wilshire St,Pleasant Hill,CA,93264,Contra Costa,(510) 485-2137,2012-11-27,2013-11-27
41-255813,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Pleasant Hill Valley,Mark Gonzalez,5372 Pico Dr,Pleasant Hill,CA,91913,Contra Costa,(510) 244-6213,2021-11-05,2022-11-05
41-929822,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldRestaurant 98,Andrew Taylor,7785 4th St #119,Walnut Creek,CA,92096,Contra Costa,(925) 353-9991,2024-05-08,2025-05-08
41-292988,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheHouse Pleasant Hill Inc 98,Paul Anderson,204 3rd Blvd #336,Pleasant Hill,CA,90556,Contra Costa,(925) 209-4583,2019-11-22,2020-11-22
41-242239,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheHouse Contra Costa 32,Paul Gonzalez,641 4th St #821,Pleasant Hill,CA,91631,Contra Costa,(510) 577-8605,2003-11-01,2004-11-01
41-611265,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Concord Hills Inc,Robert Martin,3530 Oak Blvd,Concord,CA,91297,Contra Costa,(510) 981-2442,2013-07-14,2014-07-14
41-805034,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Walnut Creek Hills Group,Paul Brown,7970 Lincoln Way,Walnut Creek,CA,94373,Contra Costa,(510) 632-1209,2004-01-22,2005-01-22
41-975427,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner LLC,Christopher Lopez,6301 1st Ave,Walnut Creek,CA,93082,Contra Costa,(925) 728-7649,2015-10-01,2016-10-01
41-682145,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewHouse Corp 9,William Martin,2546 Hollywood St,Walnut Creek,CA,93073,Contra Costa,(925) 784-7382,2024-05-23,2025-05-23
41-746253,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldKitchen Pleasant Hill Group 12,Maria Jones Martin,7772 Mission Pl,Pleasant Hill,CA,95279,Contra Costa,(510) 681-4796,2008-06-13,2009-06-13
41-418148,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,Jennifer Johnson,3768 Broadway Ct,Walnut Creek,CA,90320,Contra Costa,(925) 484-3178,2007-04-18,2008-04-18
41-255084,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Concord Hills LLC,Anthony Taylor,7156 1st Dr #298,Concord,CA,93094,Contra Costa,(925) 480-9927,2021-06-11,2022-06-11
41-107217,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Group,John Anderson,7803 2nd Ave #366,Concord,CA,95865,Contra Costa,(925) 932-9751,2023-01-10,2024-01-10
41-248350,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldDiner Contra Costa Inc 44,Michelle Lopez Jones,5189 Madison Way,Walnut Creek,CA,94907,Contra Costa,(925) 742-5618,2011-10-16,2012-10-16
41-910463,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot,Daniel Jackson,5694 State Ct,Richmond,CA,92524,Contra Costa,(510) 723-8991,2021-10-20,2022-10-20
41-314635,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheTavern LLC 38,Christopher Taylor,6228 Broadway Rd,Walnut Creek,CA,93166,Contra Costa,(510) 279-5816,2001-08-03,2002-08-03
41-428040,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Walnut Creek Valley,Lisa Taylor,2523 Washington Ct,Walnut Creek,CA,94023,Contra Costa,(925) 354-3879,2001-06-13,2002-06-13
41-818916,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern Walnut Creek 100,Maria Jones,5713 1st Ln,Walnut Creek,CA,94289,Contra Costa,(510) 671-7456,2019-05-06,2020-05-06
41-382207,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Maria Garcia,1545 Front Ln,Richmond,CA,92676,Contra Costa,(510) 407-2756,2006-07-16,2007-07-16
41-349717,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Concord,William Anderson,2552 Franklin Ave,Concord,CA,90713,Contra Costa,(925) 994-6797,2016-02-23,2017-02-23
41-289226,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Concord,Mark Brown,1244 Sunset St,Concord,CA,95461,Contra Costa,(510) 977-9634,2022-06-05,2023-06-05
41-380808,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant,William Jackson,9406 Mission Blvd #761,Richmond,CA,95402,Contra Costa,(510) 230-7420,2005-09-28,2006-09-28
41-805824,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Contra Costa,Mark Lopez Jones,930 Hollywood Blvd,Concord,CA,91074,Contra Costa,(925) 934-8191,2022-02-08,2023-02-08
