license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
58-963547,58,Caterer's Beer & Wine,ACTIVE,El Dorado Bar,William Moore,5847 Broad Ct,El Dorado,CA,94868,El Dorado,(530) 671-5367,2018-12-25,2024-03-10
21-485198,21,Off-Sale General,ACTIVE,El Dorado Restaurant,Christopher Hernandez,6667 Broad Ln,El Dorado,CA,93771,El Dorado,(530) 595-2535,2012-12-02,2025-07-25
20-345377,20,Off-Sale Beer & Wine,ACTIVE,El Dorado Market,William Garcia,5024 Center Blvd,El Dorado,CA,95630,El Dorado,(209) 818-7163,2021-10-19,2024-06-09
58-595602,58,Caterer's Beer & Wine,ACTIVE,The El Dorado Cafe,Michelle Johnson,2321 Center St,El Dorado,CA,92925,El Dorado,(916) 636-4950,2014-04-11,2024-02-02
21-468889,21,Off-Sale General,ACTIVE,El Dorado Restaurant,Daniel Jackson,6811 Center Ave,El Dorado,CA,92290,El Dorado,(530) 379-5277,2010-09-21,2026-11-14
47-347230,47,On-Sale General - Restaurant,ACTIVE,El Dorado Bar,David Jones,324 Main Dr,El Dorado,CA,95461,El Dorado,(559) 839-3120,2011-07-11,2026-11-23
48-688296,48,On-Sale General - Bar/Tavern,ACTIVE,El Dorado Tavern,Lisa Jackson,3238 Center St,El Dorado,CA,91623,El Dorado,(831) 332-3974,2019-09-13,2024-12-02
41-757125,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The El Dorado Bar LLC,Christopher Smith,4812 Center Dr,El Dorado,CA,92691,El Dorado,(831) 777-7514,2016-09-08,2025-07-11
41-411411,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The El Dorado Cafe Inc,Mark Lopez,7698 Broad Ave,El Dorado,CA,92471,El Dorado,(707) 396-9939,2024-11-15,2025-07-24
47-751395,47,On-Sale General - Restaurant,ACTIVE,El Dorado Restaurant Inc,Maria Davis,4540 Center Pl,El Dorado,CA,90316,El Dorado,(916) 926-7561,2014-01-27,2026-06-17
41-275927,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The El Dorado Restaurant,Robert Jackson,1043 Center Ct,El Dorado,CA,95051,El Dorado,(530) 704-7970,2019-07-17,2026-01-09
47-896331,47,On-Sale General - Restaurant,ACTIVE,El Dorado Bar LLC,James Wilson,6570 Main St,El Dorado,CA,90086,El Dorado,(707) 240-9621,2021-02-25,2024-08-15
75-890599,75,Event Permit Holder,ACTIVE,El Dorado Tavern Inc,Christopher Davis,1968 Center Ave,El Dorado,CA,95614,El Dorado,(916) 729-6084,2012-09-03,2025-11-03
47-178218,47,On-Sale General - Restaurant,ACTIVE,El Dorado Bar Inc,Paul Garcia,8812 Center Ln,El Dorado,CA,91801,El Dorado,(916) 373-2972,2020-03-16,2025-01-27
41-161185,41,On-Sale Beer & Wine - Eating Place,ACTIVE,El Dorado Bar Inc,Paul Anderson,7203 Main Ct,El Dorado,CA,95815,El Dorado,(916) 906-7584,2011-11-28,2024-03-28
41-576864,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The El Dorado Restaurant,Michelle Gonzalez,1671 Center Ave,El Dorado,CA,93257,El Dorado,(831) 338-6101,2013-11-17,2026-06-05
75-256147,75,Event Permit Holder,ACTIVE,El Dorado Market LLC,Steven Thomas,6826 Broad Ct,El Dorado,CA,94231,El Dorado,(760) 609-6899,2018-08-04,2026-01-13
47-486960,47,On-Sale General - Restaurant,ACTIVE,El Dorado Tavern LLC,Matthew Martinez,1550 Main Dr,El Dorado,CA,90140,El Dorado,(209) 353-1423,2017-09-18,2024-03-23
21-425913,21,Off-Sale General,ACTIVE,The El Dorado Cafe LLC,Jennifer Rodriguez,3812 Main Ln,El Dorado,CA,93709,El Dorado,(707) 244-8854,2015-05-18,2026-03-25
75-366329,75,Event Permit Holder,ACTIVE,The El Dorado Market,Maria Brown,7408 Center Dr,El Dorado,CA,92494,El Dorado,(831) 938-6575,2013-03-12,2026-05-16
21-848614,21,Off-Sale General,ACTIVE,El Dorado Bar LLC,Maria Lopez,1052 Main Dr,El Dorado,CA,92926,El Dorado,(707) 766-2283,2010-03-13,2024-02-12
58-263451,58,Caterer's Beer & Wine,ACTIVE,El Dorado Cafe Inc,Daniel Williams,6808 Broad Pl,El Dorado,CA,95824,El Dorado,(209) 603-8159,2011-08-07,2025-11-24
58-685762,58,Caterer's Beer & Wine,ACTIVE,El Dorado Bar Inc,David Brown,1201 Broad Blvd,El Dorado,CA,91314,El Dorado,(916) 464-6318,2012-02-05,2026-07-24
21-677516,21,Off-Sale General,ACTIVE,The El Dorado Restaurant LLC,Christopher Gonzalez,996 Broad Way,El Dorado,CA,91475,El Dorado,(831) 395-1530,2012-08-17,2025-08-02
47-644512,47,On-Sale General - Restaurant,ACTIVE,El Dorado Tavern,David Anderson,2989 Center Rd,El Dorado,CA,93559,El Dorado,(916) 648-6836,2012-05-02,2026-06-05
41-816581,41,On-Sale Beer & Wine - Eating Place,ACTIVE,El Dorado Tavern LLC,Andrew Johnson,3262 Center Ln,El Dorado,CA,91843,El Dorado,(530) 532-1191,2022-07-18,2026-02-13
75-796046,75,Event Permit Holder,ACTIVE,El Dorado Restaurant,Mark Williams,1672 Main Pl,El Dorado,CA,91561,El Dorado,(831) 456-6668,2019-08-04,2025-01-12
47-350301,47,On-Sale General - Restaurant,ACTIVE,El Dorado Tavern Inc,Kenneth Thomas,2797 Center Rd,El Dorado,CA,90183,El Dorado,(209) 376-8398,2019-06-05,2025-09-19
75-207941,75,Event Permit Holder,ACTIVE,The El Dorado Market,Daniel Wilson,4743 Center Pl,El Dorado,CA,93677,El Dorado,(760) 562-4810,2022-06-15,2025-09-19
41-927843,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The El Dorado Tavern LLC,Jennifer Johnson,8230 Center St,El Dorado,CA,92733,El Dorado,(209) 207-4987,2024-10-09,2025-05-13
21-371768,21,Off-Sale General,ACTIVE,The El Dorado Market,Michelle Williams,7101 Main Blvd,El Dorado,CA,91357,El Dorado,(760) 493-5900,2012-08-03,2026-10-16
58-353955,58,Caterer's Beer & Wine,ACTIVE,El Dorado Bar,Jennifer Jackson,5206 Center Dr,El Dorado,CA,95678,El Dorado,(760) 688-7197,2018-03-09,2025-08-07
58-449087,58,Caterer's Beer & Wine,ACTIVE,The El Dorado Market Inc,Michelle Moore,9627 Main Dr,El Dorado,CA,92387,El Dorado,(707) 514-2661,2011-01-12,2025-02-04
20-660692,20,Off-Sale Beer & Wine,ACTIVE,El Dorado Bar LLC,John Hernandez,3774 Broad Ln,El Dorado,CA,96074,El Dorado,(530) 587-9289,2016-03-20,2024-10-24
20-170783,20,Off-Sale Beer & Wine,ACTIVE,El Dorado Bar Inc,Maria Johnson,7418 Main Blvd,El Dorado,CA,95907,El Dorado,(760) 591-3536,2020-11-11,2025-09-21
