license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
48-340397,48,On-Sale General - Bar/Tavern,ACTIVE,The Glenn Tavern LLC,William Davis,7169 Main Blvd,Glenn,CA,94679,Glenn,(530) 278-1062,2021-06-16,2024-06-23
47-572589,47,On-Sale General - Restaurant,ACTIVE,Glenn Market,Maria Moore,4758 Main St,Glenn,CA,91823,Glenn,(442) 930-6471,2013-02-20,2026-06-11
21-902306,21,Off-Sale General,ACTIVE,The Glenn Market LLC,Jennifer Taylor,8578 Broad Way,Glenn,CA,91862,Glenn,(530) 818-1176,2022-01-27,2024-08-14
21-322229,21,Off-Sale General,ACTIVE,Glenn Market,James Brown,7917 Center Ave,Glenn,CA,95349,Glenn,(209) 908-7218,2020-12-27,2026-08-12
58-522360,58,Caterer's Beer & Wine,ACTIVE,Glenn Restaurant LLC,Anthony Gonzalez,5722 Main Pl,Glenn,CA,90098,Glenn,(760) 865-3293,2014-02-03,2026-07-24
41-582532,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Glenn Tavern Inc,William Martin,1178 Broad St,Glenn,CA,92953,Glenn,(559) 502-8015,2011-03-03,2024-06-21
75-577960,75,Event Permit Holder,ACTIVE,The Glenn Restaurant Inc,Michelle Moore,4096 Center Pl,Glenn,CA,93438,Glenn,(530) 450-3442,2013-09-20,2024-05-13
21-107302,21,Off-Sale General,ACTIVE,Glenn Tavern Inc,Maria Taylor,6280 Center Way,Glenn,CA,90523,Glenn,(530) 242-3448,2022-10-27,2024-12-18
58-825267,58,Caterer's Beer & Wine,ACTIVE,Glenn Tavern Inc,Matthew Gonzalez,6724 Main Ave,Glenn,CA,91023,Glenn,(442) 769-3376,2017-08-01,2025-11-19
21-108604,21,Off-Sale General,ACTIVE,Glenn Restaurant Inc,Matthew Thomas,720 Broad Pl,Glenn,CA,91383,Glenn,(916) 623-1353,2022-12-22,2025-05-19
20-933496,20,Off-Sale Beer & Wine,ACTIVE,Glenn Cafe LLC,Maria Hernandez,9308 Main Ave,Glenn,CA,94071,Glenn,(209) 621-6292,2016-11-16,2025-09-17
41-922383,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Glenn Restaurant LLC,David Smith,9545 Center Rd,Glenn,CA,90045,Glenn,(442) 362-2767,2018-02-12,2026-08-22
75-603746,75,Event Permit Holder,ACTIVE,Glenn Cafe Inc,Maria Hernandez,9448 Center Ct,Glenn,CA,92595,Glenn,(916) 962-1932,2015-03-23,2024-08-27
41-596939,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Glenn Market,Christopher Garcia,9795 Center Ln,Glenn,CA,90702,Glenn,(760) 628-3704,2017-06-08,2026-06-22
58-981584,58,Caterer's Beer & Wine,ACTIVE,Glenn Cafe Inc,William Miller,8276 Center Dr,Glenn,CA,91331,Glenn,(707) 919-3130,2017-08-12,2024-10-09
20-961057,20,Off-Sale Beer & Wine,ACTIVE,The Glenn Market LLC,John Hernandez,5634 Main Ave,Glenn,CA,94102,Glenn,(831) 764-5148,2019-10-21,2026-03-27
75-299924,75,Event Permit Holder,ACTIVE,Glenn Restaurant LLC,Jennifer Martinez,4486 Broad Dr,Glenn,CA,92570,Glenn,(707) 242-2276,2018-01-25,2024-09-17
47-739257,47,On-Sale General - Restaurant,ACTIVE,Glenn Market,William Hernandez,6999 Main Ave,Glenn,CA,90735,Glenn,(559) 517-4872,2013-12-19,2026-02-19
47-512394,47,On-Sale General - Restaurant,ACTIVE,Glenn Tavern,Steven Davis,8828 Center Pl,Glenn,CA,94330,Glenn,(916) 701-5182,2021-04-18,2026-09-14
58-862834,58,Caterer's Beer & Wine,ACTIVE,Glenn Cafe LLC,Maria Moore,266 Center Dr,Glenn,CA,93626,Glenn,(831) 859-3992,2010-07-04,2025-09-25
58-716739,58,Caterer's Beer & Wine,ACTIVE,The Glenn Restaurant,William Jackson,4300 Main Pl,Glenn,CA,93842,Glenn,(442) 323-7856,2019-08-07,2024-11-14
21-363360,21,Off-Sale General,ACTIVE,Glenn Tavern Inc,Robert Johnson,2242 Main St,Glenn,CA,95737,Glenn,(530) 521-7914,2021-05-21,2025-01-02
75-153484,75,Event Permit Holder,ACTIVE,The Glenn Cafe LLC,Anthony Martin,4887 Center Pl,Glenn,CA,94207,Glenn,(707) 629-4775,2023-05-18,2024-10-23
48-259213,48,On-Sale General - Bar/Tavern,ACTIVE,The Glenn Restaurant Inc,Kenneth Miller,8126 Broad Blvd,Glenn,CA,90051,Glenn,(442) 574-6074,2010-04-24,2024-10-06
47-191506,47,On-Sale General - Restaurant,ACTIVE,Glenn Cafe Inc,Maria Williams,1932 Center St,Glenn,CA,92642,Glenn,(760) 233-5662,2010-05-14,2026-07-10
