license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
21-426314,21,Off-Sale General,ACTIVE,The Humboldt Cafe Inc,Michelle Rodriguez,5073 Center Ln,Humboldt,CA,90527,Humboldt,(559) 279-4087,2019-03-21,2025-01-18
20-546856,20,Off-Sale Beer & Wine,ACTIVE,Humboldt Tavern,Kenneth Jones,6485 Center Ave,Humboldt,CA,91845,Humboldt,(707) 805-3053,2016-06-25,2024-03-17
21-347418,21,Off-Sale General,ACTIVE,The Humboldt Restaurant,James Davis,6226 Main Rd,Humboldt,CA,95667,Humboldt,(559) 821-1124,2010-12-20,2024-02-15
41-232610,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Humboldt Market,Matthew Brown,2447 Broad Dr,Humboldt,CA,92175,Humboldt,(442) 583-1135,2024-03-23,2025-05-09
41-758345,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Humboldt Bar Inc,Anthony Johnson,5514 Broad Rd,Humboldt,CA,93830,Humboldt,(916) 464-4871,2011-09-10,2024-10-18
47-339773,47,On-Sale General - Restaurant,ACTIVE,Humboldt Cafe Inc,James Martinez,2426 Broad Ln,Humboldt,CA,96018,Humboldt,(916) 977-1247,2022-04-03,2025-07-14
48-270261,48,On-Sale General - Bar/Tavern,ACTIVE,Humboldt Tavern,Michelle Lopez,2216 Center St,Humboldt,CA,90728,Humboldt,(559) 716-8010,2012-05-13,2025-05-18
58-586185,58,Caterer's Beer & Wine,ACTIVE,The Humboldt Cafe Inc,Jennifer Brown,7894 Broad Dr,Humboldt,CA,93664,Humboldt,(530) 982-7949,2014-02-01,2026-10-04
48-867845,48,On-Sale General - Bar/Tavern,ACTIVE,The Humboldt Tavern LLC,Michael Brown,5090 Center Way,Humboldt,CA,92100,Humboldt,(831) 628-3685,2011-07-08,2026-06-09
47-868233,47,On-Sale General - Restaurant,ACTIVE,The Humboldt Bar Inc,William Moore,5443 Broad Ct,Humboldt,CA,91470,Humboldt,(916) 620-9661,2014-04-07,2024-04-08
20-625144,20,Off-Sale Beer & Wine,ACTIVE,The Humboldt Restaurant Inc,Paul Jones,3360 Broad St,Humboldt,CA,95551,Humboldt,(916) 301-7027,2019-09-03,2024-04-17
21-405298,21,Off-Sale General,ACTIVE,Humboldt Bar,Jennifer Thomas,5266 Main Ave,Humboldt,CA,95051,Humboldt,(442) 624-1067,2011-11-23,2024-09-09
48-302701,48,On-Sale General - Bar/Tavern,ACTIVE,Humboldt Cafe Inc,Andrew Martinez,4604 Broad Blvd,Humboldt,CA,92288,Humboldt,(442) 444-7465,2017-04-20,2025-01-24
20-633274,20,Off-Sale Beer & Wine,ACTIVE,Humboldt Market Inc,Maria Taylor,1516 Center Ln,Humboldt,CA,91140,Humboldt,(916) 520-8788,2016-05-25,2025-02-07
47-408234,47,On-Sale General - Restaurant,ACTIVE,Humboldt Restaurant,James Martinez,1053 Center Pl,Humboldt,CA,92936,Humboldt,(831) 207-3077,2011-01-03,2026-05-07
48-854682,48,On-Sale General - Bar/Tavern,ACTIVE,Humboldt Tavern Inc,Paul Moore,7978 Broad Ct,Humboldt,CA,93597,Humboldt,(559) 546-5178,2012-06-18,2024-09-21
41-390334,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Humboldt Restaurant Inc,Andrew Thomas,9923 Broad Way,Humboldt,CA,91131,Humboldt,(442) 261-1563,2020-10-11,2026-06-20
48-817580,48,On-Sale General - Bar/Tavern,ACTIVE,Humboldt Tavern LLC,Steven Martin,6984 Main Dr,Humboldt,CA,95346,Humboldt,(760) 726-1667,2017-09-22,2024-04-16
21-828353,21,Off-Sale General,ACTIVE,Humboldt Tavern LLC,Lisa Miller,8294 Center Ave,Humboldt,CA,93328,Humboldt,(916) 248-3291,2023-06-25,2024-06-27
58-993295,58,Caterer's Beer & Wine,ACTIVE,Humboldt Market LLC,Lisa Jackson,6566 Main Ct,Humboldt,CA,93536,Humboldt,(760) 748-4593,2013-09-26,2026-03-19
48-306179,48,On-Sale General - Bar/Tavern,ACTIVE,Humboldt Market,Andrew Wilson,165 Main Rd,Humboldt,CA,92419,Humboldt,(442) 400-7238,2018-04-28,2024-10-01
41-881800,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Humboldt Cafe Inc,James Johnson,3697 Main Rd,Humboldt,CA,91371,Humboldt,(530) 431-9800,2024-07-12,2026-11-07
