license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-916232,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Co,Steven Martin,922 7th Dr #224,Bakersfield,CA,93739,Kern,(661) 675-9702,2024-08-20,2025-08-20
41-739717,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Delano Inc,Christopher Moore,709 State Pl,Delano,CA,91923,Kern,(661) 597-8432,2023-12-05,2024-12-05
41-974190,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Bakersfield LLC,Jennifer Miller Anderson,3968 1st Ave #476,Bakersfield,CA,94460,Kern,(805) 262-7523,2002-11-07,2003-11-07
41-192055,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Delano Valley,Maria Thomas,5014 Sunset Blvd #620,Delano,CA,91836,Kern,(661) 405-3275,2017-10-12,2018-10-12
41-195563,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Delano Hills Corp,Robert Brown,831 Hollywood Pl,Delano,CA,91853,Kern,(805) 777-2009,2011-09-14,2012-09-14
41-194560,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewGrill Delano 11,Michael Garcia Jackson,8682 Franklin Way #623,Delano,CA,95014,Kern,(661) 587-7235,2021-03-06,2022-03-06
41-777292,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Delano Heights Inc,Paul Smith,1495 Pico Ct,Delano,CA,90433,Kern,(661) 968-8796,2017-03-01,2018-03-01
41-580067,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldEatery Delano 21,Steven Brown Williams,4585 Jefferson Ct,Delano,CA,90546,Kern,(661) 705-7738,2024-02-17,2025-02-17
41-503519,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewPlace Corp 66,Maria Thomas,8105 Jefferson Rd,Bakersfield,CA,95332,Kern,(805) 634-5043,2011-11-23,2012-11-23
41-235753,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Delano LLC,Maria Moore,7169 5th Ln #997,Delano,CA,91865,Kern,(661) 256-1431,2012-11-22,2013-11-22
41-399113,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldKitchen Kern 56,Jennifer Thomas,8605 Hollywood Rd,Delano,CA,92333,Kern,(661) 321-5716,2005-05-09,2006-05-09
41-958121,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Delano Hills Inc,Christopher Garcia Williams,4411 Oak Blvd,Delano,CA,94483,Kern,(805) 958-7575,2010-06-20,2011-06-20
41-285844,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldRestaurant Kern 82,William Lopez Miller,5354 State Ave,Bakersfield,CA,94052,Kern,(661) 836-7844,2016-05-17,2017-05-17
