license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
21-435822,21,Off-Sale General,ACTIVE,Kings Bar,James Miller,4500 Center Pl,Kings,CA,92619,Kings,(559) 928-4909,2021-05-10,2025-11-09
58-785931,58,Caterer's Beer & Wine,ACTIVE,Kings Bar,Daniel Johnson,2554 Broad Blvd,Kings,CA,92985,Kings,(559) 792-2795,2010-08-15,2025-05-10
41-999787,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kings Restaurant,Maria Williams,4884 Broad St,Kings,CA,93636,Kings,(530) 309-8981,2019-10-18,2024-03-03
41-850665,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kings Tavern LLC,Daniel Garcia,3247 Center Rd,Kings,CA,91307,Kings,(760) 706-5163,2019-10-23,2025-02-11
58-644973,58,Caterer's Beer & Wine,ACTIVE,Kings Restaurant,Michelle Anderson,2086 Broad Ln,Kings,CA,95735,Kings,(209) 206-3936,2024-08-23,2025-03-25
75-428077,75,Event Permit Holder,ACTIVE,Kings Restaurant,William Smith,5580 Center Way,Kings,CA,95207,Kings,(831) 845-4263,2016-02-03,2025-09-17
75-850594,75,Event Permit Holder,ACTIVE,The Kings Tavern Inc,Michelle Gonzalez,1625 Broad Ln,Kings,CA,91760,Kings,(916) 310-7866,2019-03-28,2026-02-11
21-329512,21,Off-Sale General,ACTIVE,The Kings Restaurant,Steven Miller,7667 Main Dr,Kings,CA,91856,Kings,(442) 625-8953,2022-02-07,2025-05-07
47-273686,47,On-Sale General - Restaurant,ACTIVE,Kings Restaurant Inc,Jennifer Garcia,4173 Broad Ct,Kings,CA,95788,Kings,(442) 342-1598,2018-05-09,2024-01-05
21-858416,21,Off-Sale General,ACTIVE,Kings Bar Inc,Mark Hernandez,6601 Center Blvd,Kings,CA,91928,Kings,(559) 855-4074,2013-01-24,2024-07-21
75-336050,75,Event Permit Holder,ACTIVE,Kings Restaurant Inc,Maria Jones,447 Broad Blvd,Kings,CA,94421,Kings,(831) 445-2187,2022-10-09,2026-06-09
