license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
75-616161,75,Event Permit Holder,ACTIVE,Lake Restaurant LLC,Maria Gonzalez,6103 Broad Pl,Lake,CA,91947,Lake,(442) 391-8939,2015-01-23,2026-12-19
48-293157,48,On-Sale General - Bar/Tavern,ACTIVE,The Lake Restaurant Inc,John Johnson,5947 Center Ln,Lake,CA,91021,Lake,(442) 989-5705,2010-11-19,2025-06-15
75-720497,75,Event Permit Holder,ACTIVE,Lake Restaurant,Kenneth Taylor,7004 Broad Ct,Lake,CA,93533,Lake,(707) 413-7333,2019-02-28,2024-11-27
47-576098,47,On-Sale General - Restaurant,ACTIVE,Lake Market Inc,Jennifer Lopez,9423 Main Ln,Lake,CA,92810,Lake,(916) 249-6342,2017-10-04,2024-05-13
21-748789,21,Off-Sale General,ACTIVE,Lake Restaurant,David Martinez,7351 Main Pl,Lake,CA,92704,Lake,(442) 768-6168,2022-05-11,2024-08-27
21-258696,21,Off-Sale General,ACTIVE,The Lake Bar LLC,Michael Thomas,1268 Center St,Lake,CA,90021,Lake,(559) 698-9475,2015-09-14,2026-12-21
21-570542,21,Off-Sale General,ACTIVE,Lake Restaurant,Mark Garcia,5831 Center Ct,Lake,CA,94482,Lake,(760) 419-7562,2012-05-08,2025-05-05
47-149079,47,On-Sale General - Restaurant,ACTIVE,The Lake Bar LLC,Michelle Gonzalez,7142 Main Ct,Lake,CA,95716,Lake,(760) 274-5184,2013-12-28,2024-12-02
20-648725,20,Off-Sale Beer & Wine,ACTIVE,Lake Bar Inc,Michelle Moore,7977 Main Blvd,Lake,CA,92669,Lake,(559) 217-4067,2022-10-04,2025-12-16
58-824622,58,Caterer's Beer & Wine,ACTIVE,Lake Restaurant Inc,Jennifer Hernandez,7074 Center Ave,Lake,CA,90553,Lake,(707) 901-8246,2017-04-04,2025-01-28
75-605250,75,Event Permit Holder,ACTIVE,The Lake Tavern,Christopher Garcia,5688 Center Rd,Lake,CA,91988,Lake,(442) 266-7788,2010-09-23,2024-07-23
41-457825,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lake Market LLC,Robert Gonzalez,2570 Broad Blvd,Lake,CA,92855,Lake,(209) 275-7851,2023-04-21,2026-07-26
20-647626,20,Off-Sale Beer & Wine,ACTIVE,Lake Bar LLC,John Martinez,7357 Center Blvd,Lake,CA,95797,Lake,(209) 651-1944,2012-11-21,2026-03-26
58-419274,58,Caterer's Beer & Wine,ACTIVE,The Lake Market,Maria Lopez,7161 Broad Ave,Lake,CA,94676,Lake,(831) 558-6176,2020-06-23,2025-10-02
58-471767,58,Caterer's Beer & Wine,ACTIVE,Lake Market Inc,Steven Miller,2494 Main Dr,Lake,CA,95401,Lake,(831) 428-4331,2017-08-02,2024-07-24
41-186308,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lake Market,Robert Williams,2969 Main Pl,Lake,CA,95972,Lake,(760) 429-4782,2011-08-07,2025-07-23
47-302654,47,On-Sale General - Restaurant,ACTIVE,Lake Bar,Maria Miller,397 Main Ct,Lake,CA,93393,Lake,(916) 329-7283,2010-06-06,2025-08-06
21-399597,21,Off-Sale General,ACTIVE,The Lake Market,Maria Jackson,1530 Main Ct,Lake,CA,92838,Lake,(559) 278-8300,2024-01-14,2026-06-16
48-420026,48,On-Sale General - Bar/Tavern,ACTIVE,Lake Bar LLC,Steven Garcia,6591 Main Blvd,Lake,CA,93180,Lake,(707) 644-1457,2023-07-21,2024-09-11
48-791694,48,On-Sale General - Bar/Tavern,ACTIVE,Lake Bar,Michael Moore,2514 Broad Pl,Lake,CA,93242,Lake,(209) 996-3579,2010-08-11,2025-04-13
75-301267,75,Event Permit Holder,ACTIVE,Lake Bar LLC,Kenneth Brown,2679 Broad Way,Lake,CA,95440,Lake,(559) 339-4199,2014-11-19,2026-10-11
20-502613,20,Off-Sale Beer & Wine,ACTIVE,The Lake Restaurant LLC,Michelle Jackson,9910 Broad Pl,Lake,CA,95293,Lake,(916) 830-5889,2014-04-18,2026-02-11
20-751003,20,Off-Sale Beer & Wine,ACTIVE,Lake Cafe,David Taylor,7664 Main Pl,Lake,CA,90529,Lake,(760) 407-1540,2011-03-27,2026-04-18
21-902057,21,Off-Sale General,ACTIVE,The Lake Tavern,James Rodriguez,4677 Main Ct,Lake,CA,94170,Lake,(559) 466-1765,2017-05-23,2026-12-13
58-824647,58,Caterer's Beer & Wine,ACTIVE,The Lake Restaurant LLC,Matthew Taylor,3293 Broad Ct,Lake,CA,94539,Lake,(530) 348-6275,2016-12-06,2026-02-05
21-808773,21,Off-Sale General,ACTIVE,Lake Market LLC,Matthew Thomas,799 Center Rd,Lake,CA,90851,Lake,(707) 877-5362,2016-11-03,2026-10-13
47-850326,47,On-Sale General - Restaurant,ACTIVE,Lake Cafe,Paul Taylor,7967 Main Pl,Lake,CA,95504,Lake,(559) 517-3941,2015-09-28,2024-07-15
41-381748,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Lake Restaurant Inc,Kenneth Martin,330 Center Ave,Lake,CA,90199,Lake,(916) 688-7824,2024-08-07,2025-01-17
75-661053,75,Event Permit Holder,ACTIVE,Lake Restaurant Inc,Jennifer Gonzalez,1033 Main Rd,Lake,CA,93392,Lake,(760) 744-1232,2020-02-25,2026-01-15
21-109941,21,Off-Sale General,ACTIVE,The Lake Restaurant,Maria Hernandez,525 Broad Ct,Lake,CA,92121,Lake,(707) 833-5692,2012-07-04,2025-10-11
21-477759,21,Off-Sale General,ACTIVE,Lake Tavern Inc,Paul Moore,5061 Main Rd,Lake,CA,95917,Lake,(559) 435-6517,2014-12-19,2026-10-20
48-226758,48,On-Sale General - Bar/Tavern,ACTIVE,Lake Tavern,Michael Smith,3784 Broad Blvd,Lake,CA,91757,Lake,(760) 913-2952,2014-11-14,2025-07-08
58-300456,58,Caterer's Beer & Wine,ACTIVE,The Lake Tavern,Anthony Gonzalez,7796 Broad Pl,Lake,CA,93730,Lake,(209) 682-3305,2010-09-23,2026-06-02
20-205036,20,Off-Sale Beer & Wine,ACTIVE,Lake Market Inc,David Wilson,9405 Center St,Lake,CA,93390,Lake,(209) 379-8303,2016-09-02,2024-09-20
41-645696,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lake Restaurant,William Garcia,3995 Main Dr,Lake,CA,95986,Lake,(760) 994-2746,2020-06-27,2026-05-23
48-389286,48,On-Sale General - Bar/Tavern,ACTIVE,Lake Bar Inc,Michelle Garcia,4625 Main Ave,Lake,CA,90231,Lake,(831) 789-9351,2023-02-26,2026-12-06
75-833209,75,Event Permit Holder,ACTIVE,Lake Tavern,Lisa Johnson,1988 Center Ln,Lake,CA,95981,Lake,(831) 266-2923,2022-12-07,2026-10-04
21-922666,21,Off-Sale General,ACTIVE,Lake Market LLC,Christopher Martinez,8502 Center Ave,Lake,CA,92459,Lake,(530) 725-4665,2011-01-18,2024-12-09
47-507263,47,On-Sale General - Restaurant,ACTIVE,Lake Cafe Inc,Paul Davis,1153 Center Way,Lake,CA,95214,Lake,(707) 709-6298,2018-05-09,2026-07-11
58-266276,58,Caterer's Beer & Wine,ACTIVE,Lake Market,Michael Smith,3986 Broad Way,Lake,CA,90276,Lake,(209) 420-6699,2022-11-25,2026-08-27
20-138111,20,Off-Sale Beer & Wine,ACTIVE,Lake Market LLC,David Anderson,6313 Main Way,Lake,CA,95631,Lake,(209) 613-5212,2016-07-05,2026-06-20
41-197120,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lake Bar LLC,Robert Hernandez,6766 Main Pl,Lake,CA,91406,Lake,(707) 785-7898,2017-04-15,2026-07-21
47-765575,47,On-Sale General - Restaurant,ACTIVE,Lake Restaurant Inc,Robert Hernandez,9965 Center Ln,Lake,CA,95871,Lake,(707) 363-8316,2010-02-18,2026-05-06
47-904182,47,On-Sale General - Restaurant,ACTIVE,The Lake Restaurant LLC,William Davis,379 Broad St,Lake,CA,93389,Lake,(760) 863-1908,2020-02-28,2025-12-10
58-581135,58,Caterer's Beer & Wine,ACTIVE,The Lake Tavern LLC,Anthony Jackson,2418 Main Pl,Lake,CA,95087,Lake,(831) 902-5135,2020-06-15,2025-10-20
21-402945,21,Off-Sale General,ACTIVE,Lake Bar,Maria Brown,8013 Main Ln,Lake,CA,92023,Lake,(916) 786-6693,2016-07-18,2025-08-10
75-394925,75,Event Permit Holder,ACTIVE,Lake Restaurant LLC,Anthony Hernandez,8780 Main Way,Lake,CA,90216,Lake,(760) 655-1462,2019-02-05,2026-02-21
20-215467,20,Off-Sale Beer & Wine,ACTIVE,The Lake Restaurant,Maria Lopez,3980 Broad Dr,Lake,CA,90652,Lake,(707) 441-8714,2020-10-11,2026-03-10
20-691736,20,Off-Sale Beer & Wine,ACTIVE,Lake Cafe LLC,Michelle Gonzalez,2197 Main Ct,Lake,CA,91486,Lake,(916) 930-8952,2020-03-01,2026-11-10
48-916081,48,On-Sale General - Bar/Tavern,ACTIVE,Lake Market Inc,Kenneth Martin,7396 Center St,Lake,CA,95449,Lake,(831) 910-5679,2013-02-26,2026-04-16
41-146370,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lake Restaurant,John Wilson,8773 Broad Pl,Lake,CA,93827,Lake,(760) 202-7944,2016-09-14,2025-07-14
20-392684,20,Off-Sale Beer & Wine,ACTIVE,Lake Restaurant,Kenneth Garcia,7225 Main Dr,Lake,CA,93227,Lake,(209) 394-6722,2019-01-26,2024-01-18
58-211504,58,Caterer's Beer & Wine,ACTIVE,Lake Market LLC,John Hernandez,8158 Center Ave,Lake,CA,93706,Lake,(916) 984-2299,2018-12-20,2024-12-05
58-932724,58,Caterer's Beer & Wine,ACTIVE,The Lake Restaurant,Kenneth Williams,1930 Broad Pl,Lake,CA,93020,Lake,(530) 369-9602,2015-07-09,2024-12-17
47-798378,47,On-Sale General - Restaurant,ACTIVE,Lake Tavern,Daniel Gonzalez,5766 Broad Ln,Lake,CA,96058,Lake,(831) 212-4073,2023-10-23,2026-04-28
21-412768,21,Off-Sale General,ACTIVE,Lake Cafe LLC,Matthew Gonzalez,4441 Center Pl,Lake,CA,91280,Lake,(530) 295-3580,2024-06-12,2026-01-16
20-767214,20,Off-Sale Beer & Wine,ACTIVE,The Lake Cafe Inc,Kenneth Taylor,5703 Main St,Lake,CA,95439,Lake,(831) 407-8646,2022-07-17,2024-09-04
