license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
48-574218,48,On-Sale General - Bar/Tavern,ACTIVE,Lassen Market LLC,Daniel Hernandez,1043 Broad Ln,Lassen,CA,93683,Lassen,(760) 299-5573,2018-10-06,2025-03-27
75-973553,75,Event Permit Holder,ACTIVE,Lassen Cafe Inc,Jennifer Williams,1701 Broad Ln,Lassen,CA,95110,Lassen,(442) 660-9695,2018-06-16,2025-01-21
21-576432,21,Off-Sale General,ACTIVE,The Lassen Market,Maria Jones,2045 Main Ave,Lassen,CA,92364,Lassen,(831) 455-2526,2012-07-28,2024-08-22
20-299495,20,Off-Sale Beer & Wine,ACTIVE,The Lassen Tavern LLC,Matthew Thomas,4329 Main Dr,Lassen,CA,93244,Lassen,(442) 560-4216,2011-08-01,2025-02-25
47-778719,47,On-Sale General - Restaurant,ACTIVE,Lassen Tavern,Mark Taylor,7799 Broad Blvd,Lassen,CA,93611,Lassen,(916) 619-2918,2020-05-22,2025-12-01
48-813880,48,On-Sale General - Bar/Tavern,ACTIVE,Lassen Cafe LLC,Robert Martin,4671 Center Ct,Lassen,CA,93361,Lassen,(442) 321-7985,2013-04-12,2026-02-21
48-492240,48,On-Sale General - Bar/Tavern,ACTIVE,Lassen Cafe,Kenneth Gonzalez,8622 Broad Dr,Lassen,CA,91537,Lassen,(442) 724-6232,2018-11-01,2025-05-13
48-742999,48,On-Sale General - Bar/Tavern,ACTIVE,Lassen Restaurant Inc,Christopher Lopez,7571 Broad St,Lassen,CA,96135,Lassen,(831) 697-6213,2011-04-02,2025-07-28
48-861644,48,On-Sale General - Bar/Tavern,ACTIVE,Lassen Market,John Garcia,8574 Broad Pl,Lassen,CA,95958,Lassen,(831) 686-3027,2013-06-21,2024-03-09
75-391397,75,Event Permit Holder,ACTIVE,Lassen Cafe,Paul Brown,2766 Center Way,Lassen,CA,95685,Lassen,(442) 405-7011,2024-03-18,2024-12-15
48-820895,48,On-Sale General - Bar/Tavern,ACTIVE,The Lassen Restaurant,Maria Moore,5916 Broad Pl,Lassen,CA,94163,Lassen,(831) 991-5282,2022-03-09,2026-09-02
41-297902,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Lassen Cafe LLC,Paul Jackson,4330 Main Rd,Lassen,CA,95141,Lassen,(760) 855-1281,2023-08-08,2026-02-22
58-462603,58,Caterer's Beer & Wine,ACTIVE,Lassen Market Inc,William Martinez,4527 Center Rd,Lassen,CA,95898,Lassen,(209) 388-1149,2016-03-01,2026-06-07
21-782626,21,Off-Sale General,ACTIVE,Lassen Market Inc,Steven Taylor,1092 Center Way,Lassen,CA,91106,Lassen,(831) 583-6154,2020-12-03,2026-09-10
75-756755,75,Event Permit Holder,ACTIVE,Lassen Restaurant LLC,Andrew Moore,3327 Main Dr,Lassen,CA,93262,Lassen,(760) 584-1284,2010-12-20,2024-05-25
41-209929,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lassen Cafe,Andrew Martinez,5851 Main Ln,Lassen,CA,90678,Lassen,(442) 516-3767,2019-07-01,2025-02-17
41-903235,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lassen Market LLC,Kenneth Lopez,3009 Center Ave,Lassen,CA,90930,Lassen,(916) 871-7967,2011-12-10,2024-03-06
20-932854,20,Off-Sale Beer & Wine,ACTIVE,The Lassen Cafe Inc,Jennifer Lopez,6605 Broad Blvd,Lassen,CA,92695,Lassen,(760) 613-3811,2013-05-09,2026-04-23
58-512883,58,Caterer's Beer & Wine,ACTIVE,Lassen Cafe,Michelle Thomas,8065 Main Ln,Lassen,CA,91741,Lassen,(530) 445-9547,2016-01-02,2026-07-16
48-407003,48,On-Sale General - Bar/Tavern,ACTIVE,The Lassen Tavern LLC,Maria Moore,1053 Main St,Lassen,CA,90657,Lassen,(559) 906-7822,2022-05-04,2026-11-03
58-386836,58,Caterer's Beer & Wine,ACTIVE,Lassen Market Inc,Paul Johnson,300 Center Rd,Lassen,CA,93065,Lassen,(559) 837-5971,2023-07-22,2025-01-18
41-976743,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Lassen Tavern Inc,Jennifer Lopez,9347 Main Blvd,Lassen,CA,90105,Lassen,(442) 593-5380,2016-08-26,2024-08-09
20-282077,20,Off-Sale Beer & Wine,ACTIVE,Lassen Bar Inc,John Moore,8207 Main Blvd,Lassen,CA,91674,Lassen,(707) 332-2442,2019-01-06,2026-05-18
75-113493,75,Event Permit Holder,ACTIVE,The Lassen Cafe,David Jackson,8877 Main Blvd,Lassen,CA,92235,Lassen,(760) 360-1972,2023-04-18,2024-12-02
41-417967,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lassen Restaurant LLC,Robert Johnson,6403 Broad Pl,Lassen,CA,91957,Lassen,(559) 359-5423,2017-09-23,2024-05-21
20-971968,20,Off-Sale Beer & Wine,ACTIVE,Lassen Cafe LLC,Mark Lopez,4471 Center Dr,Lassen,CA,91733,Lassen,(760) 722-6878,2017-11-04,2024-07-16
47-764092,47,On-Sale General - Restaurant,ACTIVE,Lassen Bar,David Anderson,1303 Broad Pl,Lassen,CA,93289,Lassen,(530) 946-8426,2013-12-24,2025-03-01
21-553182,21,Off-Sale General,ACTIVE,Lassen Restaurant,Steven Lopez,4249 Center St,Lassen,CA,93190,Lassen,(442) 245-5288,2014-10-27,2025-04-03
20-569688,20,Off-Sale Beer & Wine,ACTIVE,Lassen Bar LLC,Maria Williams,2192 Main Ln,Lassen,CA,95333,Lassen,(530) 209-3606,2016-03-10,2024-05-25
48-710963,48,On-Sale General - Bar/Tavern,ACTIVE,Lassen Market LLC,Anthony Jackson,1134 Broad Dr,Lassen,CA,93902,Lassen,(209) 749-2258,2021-01-10,2024-11-23
41-262822,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lassen Market Inc,Maria Williams,9353 Broad Pl,Lassen,CA,95677,Lassen,(559) 802-2148,2020-03-28,2024-01-06
58-738137,58,Caterer's Beer & Wine,ACTIVE,Lassen Cafe,Steven Miller,7249 Center Ln,Lassen,CA,91537,Lassen,(442) 269-2364,2017-08-01,2024-03-05
48-358413,48,On-Sale General - Bar/Tavern,ACTIVE,Lassen Bar LLC,Matthew Moore,8218 Main Rd,Lassen,CA,94399,Lassen,(760) 310-9623,2010-03-07,2026-11-10
47-730996,47,On-Sale General - Restaurant,ACTIVE,Lassen Cafe,Michelle Lopez,8162 Broad St,Lassen,CA,93497,Lassen,(916) 548-6576,2012-11-19,2026-05-04
20-278541,20,Off-Sale Beer & Wine,ACTIVE,Lassen Cafe LLC,Jennifer Rodriguez,4961 Broad Ct,Lassen,CA,95082,Lassen,(559) 586-5133,2017-08-25,2025-07-21
75-151916,75,Event Permit Holder,ACTIVE,The Lassen Tavern,Christopher Wilson,9458 Center Ln,Lassen,CA,94558,Lassen,(831) 380-7525,2022-07-20,2026-10-24
20-985340,20,Off-Sale Beer & Wine,ACTIVE,Lassen Market,Lisa Martin,6636 Main Way,Lassen,CA,94593,Lassen,(442) 532-7904,2016-10-09,2026-03-11
47-791249,47,On-Sale General - Restaurant,ACTIVE,Lassen Cafe LLC,Michelle Gonzalez,8971 Broad Way,Lassen,CA,93814,Lassen,(707) 593-3428,2018-11-01,2025-05-06
47-209445,47,On-Sale General - Restaurant,ACTIVE,Lassen Tavern,Michael Rodriguez,5884 Broad Way,Lassen,CA,94120,Lassen,(707) 800-5470,2018-09-10,2025-09-08
47-712022,47,On-Sale General - Restaurant,ACTIVE,Lassen Tavern Inc,David Davis,2797 Main Ln,Lassen,CA,92708,Lassen,(760) 797-6368,2011-12-07,2025-07-26
58-345336,58,Caterer's Beer & Wine,ACTIVE,The Lassen Cafe Inc,Christopher Anderson,8406 Broad Ct,Lassen,CA,91389,Lassen,(760) 972-4790,2019-02-27,2025-09-25
58-476671,58,Caterer's Beer & Wine,ACTIVE,Lassen Bar Inc,Christopher Martin,811 Main Ct,Lassen,CA,92005,Lassen,(760) 727-1824,2011-07-07,2026-02-18
20-374100,20,Off-Sale Beer & Wine,ACTIVE,Lassen Cafe LLC,Christopher Garcia,4807 Center Blvd,Lassen,CA,90226,Lassen,(831) 899-2227,2011-08-09,2024-06-02
41-965804,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Lassen Bar,Maria Thomas,8296 Center Pl,Lassen,CA,94156,Lassen,(760) 201-1416,2018-08-12,2026-07-22
47-222739,47,On-Sale General - Restaurant,ACTIVE,Lassen Tavern Inc,Michelle Martin,8593 Center Rd,Lassen,CA,94836,Lassen,(559) 507-7382,2019-12-17,2024-06-16
20-341236,20,Off-Sale Beer & Wine,ACTIVE,Lassen Tavern,Robert Johnson,7642 Main Ln,Lassen,CA,95939,Lassen,(559) 238-3809,2011-06-08,2025-10-19
58-336568,58,Caterer's Beer & Wine,ACTIVE,Lassen Tavern,Paul Williams,6560 Center Pl,Lassen,CA,92378,Lassen,(707) 296-2408,2012-01-18,2026-11-08
47-770073,47,On-Sale General - Restaurant,ACTIVE,Lassen Bar Inc,Kenneth Martinez,2995 Main Pl,Lassen,CA,92147,Lassen,(707) 961-5973,2024-11-03,2025-11-13
21-435538,21,Off-Sale General,ACTIVE,Lassen Cafe LLC,Maria Anderson,6625 Center Dr,Lassen,CA,94387,Lassen,(209) 392-9883,2010-03-04,2024-10-04
58-413108,58,Caterer's Beer & Wine,ACTIVE,Lassen Bar LLC,Mark Martin,8758 Main Blvd,Lassen,CA,92198,Lassen,(760) 846-7289,2017-07-20,2026-09-01
20-570595,20,Off-Sale Beer & Wine,ACTIVE,Lassen Restaurant,Robert Brown,3344 Broad Rd,Lassen,CA,96007,Lassen,(559) 888-6370,2012-10-05,2026-05-23
75-478065,75,Event Permit Holder,ACTIVE,Lassen Restaurant LLC,William Smith,7566 Broad Ave,Lassen,CA,90833,Lassen,(707) 924-1322,2019-01-27,2024-02-08
41-960330,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Lassen Restaurant LLC,Paul Davis,3346 Main Dr,Lassen,CA,94220,Lassen,(209) 390-5536,2023-07-12,2024-09-12
20-579679,20,Off-Sale Beer & Wine,ACTIVE,The Lassen Cafe LLC,Matthew Jackson,8567 Center Blvd,Lassen,CA,93250,Lassen,(442) 893-6495,2014-05-23,2026-10-08
41-676659,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Lassen Cafe,Matthew Rodriguez,2803 Broad Ln,Lassen,CA,94537,Lassen,(442) 867-7262,2010-06-07,2025-09-09
58-476604,58,Caterer's Beer & Wine,ACTIVE,Lassen Market Inc,Kenneth Rodriguez,5965 Broad Ave,Lassen,CA,90502,Lassen,(707) 976-3266,2021-02-12,2026-04-04
47-647237,47,On-Sale General - Restaurant,ACTIVE,Lassen Cafe LLC,David Smith,6165 Main St,Lassen,CA,90135,Lassen,(831) 338-7904,2021-01-09,2025-06-05
