license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-542666,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewPlace 71,James Martinez,288 Madison Ave,Glendale,CA,94398,Los Angeles,(818) 473-6573,2014-01-24,2015-01-24
41-182582,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Los Angeles,Maria Martinez,9107 Sunset Ln,Burbank,CA,94969,Los Angeles,(424) 416-9835,2021-11-12,2022-11-12
41-570405,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant 71,Matthew Thomas,1704 Broadway Ct #195,Burbank,CA,96173,Los Angeles,(818) 442-3724,2012-01-06,2013-01-06
41-184002,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant 16,Michelle Rodriguez,9433 Wilshire St,Burbank,CA,93434,Los Angeles,(661) 797-9565,2022-06-08,2023-06-08
41-804318,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheSpot 2,Christopher Williams Lopez,7608 Washington Ave,Long Beach,CA,91746,Los Angeles,(626) 471-3170,2009-03-15,2010-03-15
41-501641,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner,Kenneth Smith Jackson,5521 7th Pl,Long Beach,CA,91694,Los Angeles,(818) 630-7381,2012-08-01,2013-08-01
41-900177,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Los Angeles,William Hernandez,8156 Market Pl,Los Angeles,CA,92730,Los Angeles,(323) 886-2713,2015-05-22,2016-05-22
41-406039,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House LLC,Matthew Hernandez Taylor,2469 2nd Dr #620,Glendale,CA,96113,Los Angeles,(310) 271-5526,2008-01-10,2009-01-10
41-215266,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewSpot Long Beach 3,Mark Anderson,2954 Hollywood St,Long Beach,CA,93448,Los Angeles,(626) 316-2041,2016-10-04,2017-10-04
41-355135,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Co,Maria Lopez,5556 Oak Blvd,Los Angeles,CA,95187,Los Angeles,(213) 743-9355,2020-03-08,2021-03-08
41-306854,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Los Angeles Co,Michelle Jones,9336 Oak Pl,Santa Monica,CA,94624,Los Angeles,(661) 850-6295,2015-08-21,2016-08-21
41-698128,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern Company 78,James Martinez,2367 Hollywood St,Glendale,CA,93040,Los Angeles,(626) 305-9452,2005-05-15,2006-05-15
41-589131,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe,Maria Garcia,4854 2nd Way,Long Beach,CA,91308,Los Angeles,(818) 535-6123,2016-08-16,2017-08-16
41-539122,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheRestaurant 91,Michelle Garcia,2362 6th Dr,Santa Monica,CA,95424,Los Angeles,(424) 738-7173,2017-06-18,2018-06-18
41-336633,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot,Mark Miller,7839 Mission Blvd,Burbank,CA,94508,Los Angeles,(310) 616-8793,2009-06-10,2010-06-10
41-200018,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Glendale Inc,Jennifer Lopez,3958 4th Ln #409,Glendale,CA,94771,Los Angeles,(661) 786-1187,2001-11-04,2002-11-04
41-567122,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Michael Wilson,5149 Maple St,Burbank,CA,90024,Los Angeles,(661) 423-2196,2002-09-02,2003-09-02
41-975373,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Michael Wilson,6314 Wilshire Dr,Long Beach,CA,91270,Los Angeles,(323) 393-2848,2000-04-07,2001-04-07
41-135207,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Los Angeles Company,Kenneth Martin,8943 Pico St,Burbank,CA,92369,Los Angeles,(310) 949-6224,2010-04-10,2011-04-10
