license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
21-955959,21,Off-Sale General,ACTIVE,The Madera Restaurant,Maria Wilson,697 Broad Ln,Madera,CA,91526,Madera,(442) 836-2992,2022-11-05,2026-01-27
58-847540,58,Caterer's Beer & Wine,ACTIVE,The Madera Cafe,Lisa Williams,9415 Main Way,Madera,CA,92749,Madera,(209) 782-3523,2018-11-15,2026-07-28
48-189839,48,On-Sale General - Bar/Tavern,ACTIVE,Madera Bar,Robert Gonzalez,5907 Main Way,Madera,CA,92401,Madera,(831) 399-4736,2010-09-19,2026-06-18
21-713205,21,Off-Sale General,ACTIVE,The Madera Market LLC,John Rodriguez,2484 Center St,Madera,CA,93384,Madera,(707) 554-9429,2014-07-08,2024-02-11
47-702746,47,On-Sale General - Restaurant,ACTIVE,Madera Bar,Anthony Williams,4435 Main St,Madera,CA,94635,Madera,(760) 627-8668,2017-03-25,2025-06-28
47-477169,47,On-Sale General - Restaurant,ACTIVE,The Madera Cafe,Michael Moore,2369 Broad Ct,Madera,CA,92191,Madera,(530) 969-7283,2021-01-23,2025-11-16
21-963232,21,Off-Sale General,ACTIVE,The Madera Tavern,Andrew Brown,5026 Broad Pl,Madera,CA,90354,Madera,(442) 653-9176,2013-02-18,2026-04-14
20-268880,20,Off-Sale Beer & Wine,ACTIVE,Madera Bar LLC,Anthony Rodriguez,6165 Broad Dr,Madera,CA,90381,Madera,(760) 367-9838,2012-03-01,2024-09-16
20-722380,20,Off-Sale Beer & Wine,ACTIVE,Madera Bar,William Brown,4726 Center Ave,Madera,CA,92191,Madera,(707) 961-9338,2013-05-26,2024-06-02
20-760052,20,Off-Sale Beer & Wine,ACTIVE,The Madera Bar LLC,Paul Jackson,8140 Center Ln,Madera,CA,93296,Madera,(707) 797-3526,2017-06-12,2025-11-07
20-309416,20,Off-Sale Beer & Wine,ACTIVE,Madera Cafe Inc,Robert Brown,2592 Center Ct,Madera,CA,94617,Madera,(707) 522-7508,2010-09-06,2024-11-06
21-901397,21,Off-Sale General,ACTIVE,Madera Bar,Michelle Miller,6694 Main Pl,Madera,CA,94198,Madera,(707) 689-9504,2013-02-03,2024-11-26
75-745720,75,Event Permit Holder,ACTIVE,Madera Tavern,Christopher Johnson,6344 Broad Rd,Madera,CA,92567,Madera,(442) 273-4053,2013-09-02,2025-06-17
20-940236,20,Off-Sale Beer & Wine,ACTIVE,The Madera Tavern Inc,William Johnson,3555 Main Way,Madera,CA,94106,Madera,(831) 737-5563,2015-09-11,2025-03-23
75-592867,75,Event Permit Holder,ACTIVE,Madera Tavern,Andrew Martinez,424 Broad Blvd,Madera,CA,91168,Madera,(530) 866-8023,2023-12-07,2026-08-11
48-759215,48,On-Sale General - Bar/Tavern,ACTIVE,Madera Market LLC,Maria Taylor,8689 Center Ct,Madera,CA,93130,Madera,(707) 646-1732,2013-05-16,2025-09-12
41-910336,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Madera Bar Inc,Steven Martinez,2363 Center Way,Madera,CA,90996,Madera,(831) 872-2098,2024-12-02,2025-02-07
20-649121,20,Off-Sale Beer & Wine,ACTIVE,Madera Bar Inc,Maria Jackson,2630 Main Dr,Madera,CA,91140,Madera,(707) 413-8411,2017-05-27,2025-04-11
48-196663,48,On-Sale General - Bar/Tavern,ACTIVE,Madera Cafe LLC,David Smith,7508 Main Ave,Madera,CA,95903,Madera,(831) 954-1245,2011-12-07,2026-10-27
48-493192,48,On-Sale General - Bar/Tavern,ACTIVE,Madera Cafe Inc,David Martin,8278 Center St,Madera,CA,91556,Madera,(559) 716-2887,2010-03-10,2025-04-07
