license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-595002,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Robert Lopez,6987 1st Way,San Rafael,CA,93092,Marin,(628) 282-9835,2017-07-17,2018-07-17
41-791309,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Company,William Brown Taylor,8773 Maple Ln,Novato,CA,92348,Marin,(415) 714-8054,2004-04-07,2005-04-07
41-720995,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Inc 91,Maria Rodriguez,3534 4th Ln #170,San Rafael,CA,93351,Marin,(628) 342-5961,2022-07-26,2023-07-26
41-676802,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Corp,Anthony Gonzalez,9326 7th Dr,Novato,CA,94507,Marin,(628) 568-8412,2001-05-20,2002-05-20
41-432918,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheCafe Marin 98,James Jones,5321 3rd Way,San Rafael,CA,96108,Marin,(628) 355-4079,2024-10-20,2025-10-20
41-977394,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Corp,Michelle Thomas,7394 Sunset Ln #171,Mill Valley,CA,94900,Marin,(415) 901-7208,2001-02-07,2002-02-07
41-892843,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Corp,Michael Martinez Martinez,9206 4th Blvd,Mill Valley,CA,93127,Marin,(628) 767-9037,2015-09-24,2016-09-24
41-648489,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner San Rafael Co,Matthew Rodriguez,4243 Madison Ct #102,San Rafael,CA,93498,Marin,(415) 530-8086,2016-08-16,2017-08-16
41-146316,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern San Rafael Company 53,Christopher Lopez,5518 Mission Ave,San Rafael,CA,91878,Marin,(628) 200-7997,2017-12-06,2018-12-06
41-922046,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern San Rafael Company,Steven Moore,1578 Madison Blvd,San Rafael,CA,93154,Marin,(415) 276-2582,2002-10-23,2003-10-23
