license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-940722,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mariposa Cafe LLC,David Smith,9234 Main Blvd,Mariposa,CA,90128,Mariposa,(442) 711-1937,2015-11-06,2026-07-25
75-231078,75,Event Permit Holder,ACTIVE,Mariposa Tavern,Michael Garcia,7566 Broad Rd,Mariposa,CA,90084,Mariposa,(442) 917-6097,2010-04-18,2024-04-02
75-313887,75,Event Permit Holder,ACTIVE,Mariposa Cafe,Anthony Martin,6714 Center St,Mariposa,CA,90732,Mariposa,(530) 850-2171,2017-03-25,2025-12-27
41-505528,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mariposa Bar,Andrew Hernandez,4131 Main St,Mariposa,CA,90351,Mariposa,(442) 659-2006,2016-04-23,2025-07-17
75-336749,75,Event Permit Holder,ACTIVE,The Mariposa Tavern,James Gonzalez,9573 Main Ave,Mariposa,CA,95037,Mariposa,(916) 686-8106,2013-09-03,2024-06-17
58-150892,58,Caterer's Beer & Wine,ACTIVE,The Mariposa Tavern,Paul Smith,9732 Center Rd,Mariposa,CA,92754,Mariposa,(209) 436-2412,2018-11-16,2024-02-07
20-768324,20,Off-Sale Beer & Wine,ACTIVE,The Mariposa Tavern,Mark Anderson,183 Center Blvd,Mariposa,CA,93208,Mariposa,(559) 226-2057,2022-08-05,2024-07-07
58-999687,58,Caterer's Beer & Wine,ACTIVE,Mariposa Market Inc,Kenneth Rodriguez,9385 Broad Ct,Mariposa,CA,91462,Mariposa,(760) 793-6530,2022-05-17,2026-06-12
41-815518,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mariposa Bar Inc,Jennifer Brown,8849 Broad St,Mariposa,CA,94744,Mariposa,(760) 333-2289,2011-06-17,2026-12-28
48-866361,48,On-Sale General - Bar/Tavern,ACTIVE,The Mariposa Bar LLC,Anthony Gonzalez,4980 Center Ln,Mariposa,CA,92984,Mariposa,(916) 913-7783,2011-11-12,2026-05-01
48-878071,48,On-Sale General - Bar/Tavern,ACTIVE,Mariposa Bar,Paul Davis,4086 Main Pl,Mariposa,CA,91731,Mariposa,(707) 815-6205,2022-02-15,2024-09-27
47-374818,47,On-Sale General - Restaurant,ACTIVE,Mariposa Restaurant,Lisa Gonzalez,279 Main Dr,Mariposa,CA,94457,Mariposa,(831) 604-5495,2022-12-28,2025-01-26
20-858729,20,Off-Sale Beer & Wine,ACTIVE,The Mariposa Tavern Inc,James Moore,1463 Center Blvd,Mariposa,CA,95221,Mariposa,(209) 659-1654,2019-12-04,2025-02-20
20-457710,20,Off-Sale Beer & Wine,ACTIVE,Mariposa Market Inc,Maria Smith,5932 Center Way,Mariposa,CA,91610,Mariposa,(707) 369-6568,2022-10-11,2026-05-23
48-159808,48,On-Sale General - Bar/Tavern,ACTIVE,Mariposa Market Inc,Michael Anderson,2382 Broad Ct,Mariposa,CA,90585,Mariposa,(559) 512-2380,2019-02-19,2024-11-17
47-187854,47,On-Sale General - Restaurant,ACTIVE,Mariposa Market Inc,Mark Lopez,7651 Broad Pl,Mariposa,CA,92661,Mariposa,(916) 302-5461,2013-11-04,2025-07-08
47-499365,47,On-Sale General - Restaurant,ACTIVE,Mariposa Cafe LLC,Mark Johnson,6507 Center Rd,Mariposa,CA,94325,Mariposa,(559) 356-6143,2011-06-02,2026-08-16
75-506167,75,Event Permit Holder,ACTIVE,The Mariposa Cafe LLC,Steven Gonzalez,7094 Broad Blvd,Mariposa,CA,92669,Mariposa,(442) 809-3967,2019-02-25,2025-02-04
75-585478,75,Event Permit Holder,ACTIVE,Mariposa Restaurant LLC,Steven Williams,2176 Main Dr,Mariposa,CA,94693,Mariposa,(209) 387-9200,2023-09-17,2025-10-28
47-730267,47,On-Sale General - Restaurant,ACTIVE,The Mariposa Cafe Inc,Andrew Rodriguez,3621 Main Ave,Mariposa,CA,96175,Mariposa,(530) 460-9058,2011-10-25,2026-01-20
20-871669,20,Off-Sale Beer & Wine,ACTIVE,Mariposa Tavern,Mark Williams,5084 Center Pl,Mariposa,CA,92892,Mariposa,(916) 230-2614,2016-09-25,2025-10-17
75-866326,75,Event Permit Holder,ACTIVE,The Mariposa Restaurant,Steven Hernandez,1060 Broad Rd,Mariposa,CA,90053,Mariposa,(707) 733-6764,2010-01-24,2026-03-21
75-127739,75,Event Permit Holder,ACTIVE,The Mariposa Tavern Inc,Matthew Jones,3783 Broad St,Mariposa,CA,95013,Mariposa,(442) 762-1758,2023-06-05,2024-08-23
47-978182,47,On-Sale General - Restaurant,ACTIVE,Mariposa Restaurant,Steven Gonzalez,8246 Center Ln,Mariposa,CA,96016,Mariposa,(760) 694-7374,2012-03-18,2026-05-17
47-466438,47,On-Sale General - Restaurant,ACTIVE,Mariposa Bar Inc,Daniel Smith,2949 Broad Blvd,Mariposa,CA,91826,Mariposa,(916) 677-3093,2022-04-25,2024-10-25
75-195492,75,Event Permit Holder,ACTIVE,The Mariposa Market Inc,Kenneth Jones,2893 Center Ave,Mariposa,CA,94746,Mariposa,(760) 834-4809,2024-08-16,2025-07-08
21-938851,21,Off-Sale General,ACTIVE,The Mariposa Restaurant,Mark Lopez,6373 Main Dr,Mariposa,CA,94147,Mariposa,(209) 569-5827,2014-01-22,2025-11-16
47-936224,47,On-Sale General - Restaurant,ACTIVE,The Mariposa Restaurant,Anthony Rodriguez,9919 Center Blvd,Mariposa,CA,94129,Mariposa,(760) 244-2655,2013-07-16,2026-12-05
47-898327,47,On-Sale General - Restaurant,ACTIVE,The Mariposa Cafe,Lisa Johnson,2902 Main St,Mariposa,CA,90668,Mariposa,(831) 630-4425,2020-09-22,2025-10-11
41-177889,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Mariposa Tavern LLC,James Taylor,7046 Center Pl,Mariposa,CA,94297,Mariposa,(442) 325-5130,2016-01-21,2026-04-27
21-636403,21,Off-Sale General,ACTIVE,Mariposa Restaurant LLC,Andrew Rodriguez,8898 Center Pl,Mariposa,CA,91911,Mariposa,(530) 272-4729,2022-09-26,2026-09-01
41-818773,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Mariposa Bar Inc,Maria Moore,6700 Main Ave,Mariposa,CA,96138,Mariposa,(831) 221-3070,2021-08-07,2024-09-21
58-273281,58,Caterer's Beer & Wine,ACTIVE,Mariposa Tavern LLC,Steven Moore,6573 Main St,Mariposa,CA,90562,Mariposa,(559) 659-2794,2015-06-24,2026-07-19
58-789356,58,Caterer's Beer & Wine,ACTIVE,Mariposa Market LLC,James Brown,8726 Main Rd,Mariposa,CA,94675,Mariposa,(442) 990-4573,2019-10-14,2024-01-13
41-359171,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mariposa Cafe,Daniel Garcia,5060 Broad Way,Mariposa,CA,90586,Mariposa,(530) 409-4615,2010-10-16,2025-10-12
20-874907,20,Off-Sale Beer & Wine,ACTIVE,Mariposa Market Inc,Michael Anderson,6917 Main Blvd,Mariposa,CA,94737,Mariposa,(707) 682-9953,2014-12-28,2024-11-12
48-445187,48,On-Sale General - Bar/Tavern,ACTIVE,The Mariposa Bar LLC,Robert Rodriguez,3498 Broad Dr,Mariposa,CA,91816,Mariposa,(559) 753-7350,2023-07-09,2026-09-13
58-426935,58,Caterer's Beer & Wine,ACTIVE,Mariposa Cafe Inc,James Gonzalez,4124 Center Ave,Mariposa,CA,92478,Mariposa,(442) 293-2437,2015-08-22,2024-09-06
21-427435,21,Off-Sale General,ACTIVE,The Mariposa Cafe Inc,William Johnson,6135 Main Dr,Mariposa,CA,92718,Mariposa,(530) 298-2360,2010-09-07,2026-09-28
75-602967,75,Event Permit Holder,ACTIVE,The Mariposa Cafe,David Williams,2542 Broad Ln,Mariposa,CA,95393,Mariposa,(707) 694-9743,2018-10-03,2025-07-15
58-401771,58,Caterer's Beer & Wine,ACTIVE,The Mariposa Restaurant LLC,Matthew Anderson,5131 Broad Ave,Mariposa,CA,96112,Mariposa,(916) 337-7606,2014-09-11,2025-04-27
75-799597,75,Event Permit Holder,ACTIVE,Mariposa Market Inc,Lisa Williams,7654 Center Rd,Mariposa,CA,90948,Mariposa,(707) 427-4735,2015-05-07,2026-09-24
41-785430,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mariposa Restaurant Inc,Robert Brown,426 Center Blvd,Mariposa,CA,94547,Mariposa,(530) 325-9713,2012-10-01,2025-07-15
41-949182,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mariposa Cafe Inc,Steven Thomas,555 Main Ln,Mariposa,CA,93034,Mariposa,(442) 965-4839,2024-09-01,2024-02-13
47-694251,47,On-Sale General - Restaurant,ACTIVE,The Mariposa Cafe LLC,Kenneth Hernandez,1809 Center Dr,Mariposa,CA,91305,Mariposa,(831) 367-7929,2017-06-16,2025-08-26
20-107395,20,Off-Sale Beer & Wine,ACTIVE,Mariposa Market Inc,Michael Davis,8759 Broad Pl,Mariposa,CA,91793,Mariposa,(760) 724-7158,2017-11-19,2024-07-26
41-914812,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Mariposa Restaurant Inc,Maria Taylor,6935 Main Way,Mariposa,CA,93809,Mariposa,(831) 487-6036,2018-04-12,2026-09-28
48-835923,48,On-Sale General - Bar/Tavern,ACTIVE,Mariposa Restaurant Inc,Lisa Jackson,6713 Center Ct,Mariposa,CA,91441,Mariposa,(831) 201-7761,2014-01-25,2025-08-24
47-982502,47,On-Sale General - Restaurant,ACTIVE,Mariposa Cafe,Maria Davis,918 Broad Rd,Mariposa,CA,93382,Mariposa,(831) 501-4712,2020-05-09,2026-10-24
58-768431,58,Caterer's Beer & Wine,ACTIVE,Mariposa Cafe,Jennifer Williams,925 Main Ct,Mariposa,CA,94005,Mariposa,(707) 742-6736,2017-06-27,2024-12-13
20-889439,20,Off-Sale Beer & Wine,ACTIVE,Mariposa Tavern Inc,Anthony Martin,2621 Center Blvd,Mariposa,CA,92175,Mariposa,(442) 989-5985,2018-12-16,2024-01-16
58-223624,58,Caterer's Beer & Wine,ACTIVE,The Mariposa Restaurant,James Rodriguez,5933 Center Rd,Mariposa,CA,91080,Mariposa,(916) 772-1270,2018-07-22,2026-11-18
20-640501,20,Off-Sale Beer & Wine,ACTIVE,Mariposa Cafe Inc,Michelle Gonzalez,7550 Broad Ct,Mariposa,CA,94137,Mariposa,(916) 412-1693,2023-06-08,2024-09-08
41-577513,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mariposa Cafe LLC,Maria Taylor,4908 Broad Pl,Mariposa,CA,94719,Mariposa,(559) 474-1513,2024-07-09,2026-10-25
20-121221,20,Off-Sale Beer & Wine,ACTIVE,Mariposa Cafe LLC,James Taylor,5850 Broad Ln,Mariposa,CA,95035,Mariposa,(530) 605-4663,2022-01-20,2026-08-22
48-402717,48,On-Sale General - Bar/Tavern,ACTIVE,Mariposa Restaurant LLC,James Gonzalez,2791 Main Way,Mariposa,CA,95344,Mariposa,(707) 589-3463,2019-04-18,2026-12-18
20-124919,20,Off-Sale Beer & Wine,ACTIVE,Mariposa Restaurant LLC,Steven Jackson,6486 Main Pl,Mariposa,CA,94448,Mariposa,(916) 270-6208,2018-10-23,2024-12-11
58-599453,58,Caterer's Beer & Wine,ACTIVE,The Mariposa Tavern LLC,Michael Hernandez,8586 Center Way,Mariposa,CA,95098,Mariposa,(760) 571-1004,2024-01-15,2024-12-08
