license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
58-514263,58,Caterer's Beer & Wine,ACTIVE,Mendocino Bar Inc,Kenneth Martin,8507 Main Way,Mendocino,CA,90427,Mendocino,(530) 276-8182,2019-06-19,2026-09-14
20-693232,20,Off-Sale Beer & Wine,ACTIVE,The Mendocino Bar,Mark Johnson,9575 Main Ave,Mendocino,CA,94532,Mendocino,(916) 326-6846,2019-07-13,2024-08-25
58-329938,58,Caterer's Beer & Wine,ACTIVE,The Mendocino Market,Jennifer Williams,7253 Main Ave,Mendocino,CA,91321,Mendocino,(442) 780-4262,2014-12-17,2024-01-06
41-300310,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mendocino Market Inc,Michael Jackson,7077 Main Dr,Mendocino,CA,95909,Mendocino,(760) 264-9667,2011-06-01,2024-12-08
75-724609,75,Event Permit Holder,ACTIVE,The Mendocino Bar LLC,Anthony Rodriguez,2460 Broad Dr,Mendocino,CA,92239,Mendocino,(559) 444-4227,2017-03-13,2025-11-16
75-441592,75,Event Permit Holder,ACTIVE,The Mendocino Tavern LLC,Daniel Wilson,5399 Main Ave,Mendocino,CA,94222,Mendocino,(707) 647-2924,2023-07-22,2024-02-15
48-123558,48,On-Sale General - Bar/Tavern,ACTIVE,The Mendocino Restaurant,David Thomas,7169 Broad Ct,Mendocino,CA,90459,Mendocino,(530) 974-3437,2019-11-07,2026-04-09
58-554117,58,Caterer's Beer & Wine,ACTIVE,The Mendocino Tavern Inc,Michelle Lopez,4909 Center St,Mendocino,CA,92192,Mendocino,(831) 839-8297,2024-11-25,2025-06-18
48-431345,48,On-Sale General - Bar/Tavern,ACTIVE,The Mendocino Cafe Inc,Paul Martin,1088 Center Rd,Mendocino,CA,90645,Mendocino,(442) 661-6517,2020-09-08,2025-12-13
75-379055,75,Event Permit Holder,ACTIVE,The Mendocino Market Inc,Mark Davis,2901 Main Way,Mendocino,CA,92211,Mendocino,(707) 320-6439,2021-12-15,2024-05-16
75-690605,75,Event Permit Holder,ACTIVE,Mendocino Bar Inc,Paul Rodriguez,1393 Main Rd,Mendocino,CA,95820,Mendocino,(530) 296-3664,2022-09-28,2024-11-06
20-159612,20,Off-Sale Beer & Wine,ACTIVE,The Mendocino Bar Inc,Matthew Smith,5112 Main Pl,Mendocino,CA,92603,Mendocino,(442) 972-2607,2019-06-19,2026-01-20
21-343548,21,Off-Sale General,ACTIVE,Mendocino Bar Inc,Paul Jones,6382 Center Blvd,Mendocino,CA,95481,Mendocino,(760) 793-1871,2021-07-14,2025-05-24
20-355960,20,Off-Sale Beer & Wine,ACTIVE,The Mendocino Bar Inc,David Wilson,4522 Center Ln,Mendocino,CA,91231,Mendocino,(760) 322-9046,2011-07-07,2026-10-23
20-487319,20,Off-Sale Beer & Wine,ACTIVE,Mendocino Tavern LLC,Daniel Thomas,614 Main St,Mendocino,CA,92529,Mendocino,(559) 787-2860,2010-08-17,2025-11-14
21-958879,21,Off-Sale General,ACTIVE,Mendocino Bar Inc,Michael Jackson,6511 Broad Ct,Mendocino,CA,91263,Mendocino,(831) 476-9393,2015-02-28,2024-04-28
48-784941,48,On-Sale General - Bar/Tavern,ACTIVE,Mendocino Restaurant,Jennifer Moore,7424 Center St,Mendocino,CA,95001,Mendocino,(707) 704-5043,2013-01-13,2024-02-09
20-793712,20,Off-Sale Beer & Wine,ACTIVE,Mendocino Cafe Inc,Michael Johnson,3691 Main Ln,Mendocino,CA,92623,Mendocino,(209) 547-5593,2016-12-09,2024-02-01
58-982195,58,Caterer's Beer & Wine,ACTIVE,Mendocino Market,Matthew Williams,9912 Broad Way,Mendocino,CA,91608,Mendocino,(559) 987-7100,2010-11-20,2025-09-25
48-709211,48,On-Sale General - Bar/Tavern,ACTIVE,Mendocino Restaurant Inc,Steven Gonzalez,9383 Broad Blvd,Mendocino,CA,90178,Mendocino,(760) 542-3110,2012-09-16,2025-04-12
41-161432,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Mendocino Market,James Moore,4174 Main Ct,Mendocino,CA,94466,Mendocino,(209) 362-6071,2023-11-28,2025-02-08
