license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
58-313059,58,Caterer's Beer & Wine,ACTIVE,Merced Tavern LLC,John Taylor,5624 Main Ave,Merced,CA,91435,Merced,(530) 259-4399,2018-11-12,2026-03-26
48-463624,48,On-Sale General - Bar/Tavern,ACTIVE,Merced Tavern Inc,Michelle Hernandez,7284 Center St,Merced,CA,94485,Merced,(559) 656-7413,2016-10-07,2026-04-27
41-884088,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Merced Restaurant,Lisa Wilson,9749 Broad Dr,Merced,CA,90573,Merced,(707) 817-3096,2017-06-08,2025-06-08
21-180001,21,Off-Sale General,ACTIVE,Merced Bar LLC,Michelle Johnson,6977 Center Ct,Merced,CA,95587,Merced,(559) 796-7018,2016-11-20,2025-12-28
20-369195,20,Off-Sale Beer & Wine,ACTIVE,Merced Market Inc,Michael Taylor,2766 Center Blvd,Merced,CA,95438,Merced,(530) 853-2485,2010-08-03,2026-07-26
58-168397,58,Caterer's Beer & Wine,ACTIVE,The Merced Market LLC,William Garcia,5803 Broad Blvd,Merced,CA,91081,Merced,(707) 564-2909,2017-06-28,2026-08-12
21-293969,21,Off-Sale General,ACTIVE,Merced Tavern LLC,John Rodriguez,4143 Main Ave,Merced,CA,92217,Merced,(530) 779-3869,2019-04-19,2026-06-06
58-210339,58,Caterer's Beer & Wine,ACTIVE,Merced Tavern,Mark Lopez,9208 Broad Way,Merced,CA,90595,Merced,(530) 418-3178,2012-09-09,2025-04-11
20-101303,20,Off-Sale Beer & Wine,ACTIVE,Merced Market,Lisa Jackson,9050 Main Dr,Merced,CA,95407,Merced,(559) 872-6300,2019-04-09,2026-10-23
48-502886,48,On-Sale General - Bar/Tavern,ACTIVE,Merced Market,John Rodriguez,596 Center St,Merced,CA,90470,Merced,(559) 748-4279,2018-04-01,2024-09-28
58-373888,58,Caterer's Beer & Wine,ACTIVE,The Merced Restaurant Inc,Michael Jones,1393 Main Ct,Merced,CA,92763,Merced,(530) 758-6540,2018-05-14,2024-03-03
20-251361,20,Off-Sale Beer & Wine,ACTIVE,Merced Tavern Inc,Maria Moore,4858 Broad Ave,Merced,CA,92161,Merced,(442) 208-8960,2023-07-20,2026-04-03
20-318125,20,Off-Sale Beer & Wine,ACTIVE,Merced Restaurant Inc,Andrew Miller,9070 Main Pl,Merced,CA,92925,Merced,(559) 206-4778,2023-09-24,2026-10-28
75-847024,75,Event Permit Holder,ACTIVE,The Merced Cafe Inc,Michael Lopez,722 Center Ave,Merced,CA,91495,Merced,(831) 498-1399,2020-03-17,2026-03-22
58-505973,58,Caterer's Beer & Wine,ACTIVE,Merced Market Inc,James Smith,2979 Center Ave,Merced,CA,95352,Merced,(559) 221-5857,2020-07-22,2026-11-19
48-496687,48,On-Sale General - Bar/Tavern,ACTIVE,Merced Bar Inc,Jennifer Lopez,443 Main Ave,Merced,CA,93767,Merced,(209) 617-6100,2016-03-16,2025-11-25
47-937023,47,On-Sale General - Restaurant,ACTIVE,Merced Market,Daniel Hernandez,8371 Main Ct,Merced,CA,94754,Merced,(831) 833-8211,2021-04-26,2024-01-21
47-698252,47,On-Sale General - Restaurant,ACTIVE,Merced Bar Inc,William Garcia,3805 Main Blvd,Merced,CA,93410,Merced,(559) 643-5282,2018-11-28,2025-06-20
47-991494,47,On-Sale General - Restaurant,ACTIVE,Merced Cafe LLC,Robert Lopez,6775 Broad Ln,Merced,CA,93260,Merced,(831) 437-9552,2012-03-08,2024-06-16
41-467295,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Merced Cafe Inc,Mark Thomas,798 Center Dr,Merced,CA,90315,Merced,(209) 859-8406,2013-08-27,2025-01-16
20-553134,20,Off-Sale Beer & Wine,ACTIVE,The Merced Cafe LLC,Maria Jones,562 Main Ct,Merced,CA,93964,Merced,(760) 225-3588,2011-05-08,2026-09-15
41-779534,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Merced Tavern LLC,Matthew Lopez,3262 Main St,Merced,CA,92011,Merced,(760) 406-7195,2024-05-14,2025-12-27
58-770153,58,Caterer's Beer & Wine,ACTIVE,Merced Bar Inc,William Brown,4317 Center Way,Merced,CA,94948,Merced,(916) 357-8787,2014-01-15,2024-04-25
58-944125,58,Caterer's Beer & Wine,ACTIVE,Merced Restaurant,Maria Jones,740 Main Pl,Merced,CA,92221,Merced,(760) 973-3357,2016-06-26,2026-01-14
58-777551,58,Caterer's Beer & Wine,ACTIVE,Merced Tavern LLC,James Taylor,5924 Broad Blvd,Merced,CA,91010,Merced,(559) 911-7650,2010-08-26,2025-02-22
21-281757,21,Off-Sale General,ACTIVE,Merced Restaurant LLC,Robert Martinez,9298 Broad Way,Merced,CA,94114,Merced,(916) 886-6334,2015-01-05,2024-07-27
41-284037,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Merced Tavern Inc,Daniel Miller,4170 Center Ln,Merced,CA,94093,Merced,(209) 621-3535,2017-12-03,2024-07-06
47-717063,47,On-Sale General - Restaurant,ACTIVE,The Merced Cafe Inc,Michael Thomas,5534 Main Ln,Merced,CA,94250,Merced,(530) 446-7984,2020-07-20,2024-06-18
75-581869,75,Event Permit Holder,ACTIVE,Merced Market LLC,Steven Taylor,7777 Main Ct,Merced,CA,94862,Merced,(707) 969-3819,2021-10-04,2024-03-12
41-581026,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Merced Tavern Inc,James Jackson,3417 Main Ave,Merced,CA,90640,Merced,(530) 741-4405,2018-09-25,2024-05-05
75-598878,75,Event Permit Holder,ACTIVE,Merced Restaurant Inc,Andrew Anderson,2396 Center Ct,Merced,CA,95280,Merced,(760) 469-4666,2012-02-03,2026-03-11
48-214614,48,On-Sale General - Bar/Tavern,ACTIVE,Merced Tavern Inc,Andrew Wilson,8155 Broad Ln,Merced,CA,92820,Merced,(707) 391-2085,2022-11-06,2025-01-22
20-329652,20,Off-Sale Beer & Wine,ACTIVE,Merced Market Inc,Mark Hernandez,5278 Main Ln,Merced,CA,91467,Merced,(530) 656-4848,2019-03-03,2024-03-11
41-876910,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Merced Restaurant LLC,Steven Jones,1848 Center Ln,Merced,CA,93092,Merced,(760) 893-3902,2012-09-14,2025-08-03
47-861675,47,On-Sale General - Restaurant,ACTIVE,Merced Market LLC,David Martin,8503 Broad Dr,Merced,CA,96119,Merced,(831) 661-4081,2013-03-07,2025-04-03
75-123207,75,Event Permit Holder,ACTIVE,Merced Bar,William Johnson,7346 Main Pl,Merced,CA,95977,Merced,(209) 235-6372,2012-06-24,2026-03-01
58-254866,58,Caterer's Beer & Wine,ACTIVE,Merced Market LLC,Maria Moore,822 Main Pl,Merced,CA,96169,Merced,(831) 444-2166,2024-11-20,2024-08-20
75-460623,75,Event Permit Holder,ACTIVE,Merced Bar Inc,Jennifer Thomas,2835 Center St,Merced,CA,96086,Merced,(559) 349-3430,2010-03-28,2026-04-24
41-537769,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Merced Market,Michelle Smith,9053 Broad Ln,Merced,CA,93345,Merced,(530) 769-1443,2016-05-16,2026-05-25
48-263716,48,On-Sale General - Bar/Tavern,ACTIVE,Merced Market,John Williams,4253 Broad St,Merced,CA,94048,Merced,(530) 375-1688,2020-11-18,2026-05-26
20-143242,20,Off-Sale Beer & Wine,ACTIVE,The Merced Market Inc,David Martinez,1424 Broad St,Merced,CA,96079,Merced,(760) 415-8222,2010-03-18,2026-07-10
58-158226,58,Caterer's Beer & Wine,ACTIVE,Merced Tavern,Steven Johnson,5247 Center St,Merced,CA,90020,Merced,(707) 355-6749,2021-08-05,2024-02-18
47-773931,47,On-Sale General - Restaurant,ACTIVE,Merced Tavern,Christopher Taylor,7670 Main Ln,Merced,CA,94183,Merced,(559) 208-2814,2012-10-18,2025-05-14
21-206784,21,Off-Sale General,ACTIVE,Merced Cafe LLC,Maria Johnson,3990 Main Ct,Merced,CA,95691,Merced,(831) 737-2661,2013-04-08,2026-01-17
21-652375,21,Off-Sale General,ACTIVE,The Merced Restaurant,Kenneth Hernandez,3653 Broad Blvd,Merced,CA,94099,Merced,(831) 447-2295,2017-07-17,2025-07-28
48-173693,48,On-Sale General - Bar/Tavern,ACTIVE,Merced Bar LLC,Anthony Rodriguez,6694 Main Rd,Merced,CA,93295,Merced,(209) 286-1762,2014-11-24,2025-03-24
58-924592,58,Caterer's Beer & Wine,ACTIVE,Merced Cafe,Lisa Jones,2389 Broad Pl,Merced,CA,93011,Merced,(760) 281-4034,2022-12-28,2024-12-05
20-194686,20,Off-Sale Beer & Wine,ACTIVE,Merced Market LLC,Anthony Hernandez,5540 Broad Blvd,Merced,CA,92175,Merced,(209) 320-7072,2024-12-21,2024-02-21
75-851690,75,Event Permit Holder,ACTIVE,Merced Cafe,Daniel Thomas,2382 Center St,Merced,CA,95785,Merced,(831) 411-3921,2018-08-01,2025-01-06
