license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-649787,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewTavern 21,William Martin Gonzalez,7618 Jefferson Ln #114,Seaside,CA,96034,Monterey,(831) 502-4164,2013-09-11,2014-09-11
41-226124,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern LLC 6,Michelle Williams,7036 Market Way,Salinas,CA,95138,Monterey,(831) 809-5225,2017-07-18,2018-07-18
41-138583,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Monterey 15,David Jackson,4644 Lincoln Ct,Monterey,CA,94520,Monterey,(831) 875-3875,2002-03-09,2003-03-09
41-830100,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner,Robert Miller,7347 Jefferson St,Seaside,CA,94027,Monterey,(831) 397-1853,2005-10-18,2006-10-18
41-117438,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Monterey Heights LLC,Lisa Martin,6656 Maple Ave,Monterey,CA,93900,Monterey,(831) 951-7305,2004-09-19,2005-09-19
41-342928,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot,John Lopez,8434 Oak Blvd,Salinas,CA,90325,Monterey,(831) 206-9001,2018-07-24,2019-07-24
41-598796,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Monterey Group,Christopher Martin,5202 5th Pl #363,Salinas,CA,91050,Monterey,(831) 872-9847,2003-08-16,2004-08-16
41-896806,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Monterey Group,Maria Garcia,6408 Jefferson St #286,Monterey,CA,90117,Monterey,(831) 849-1558,2000-10-16,2001-10-16
41-708171,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Monterey LLC,Matthew Jones Gonzalez,9502 Oak Dr,Monterey,CA,93277,Monterey,(831) 828-1673,2015-03-25,2016-03-25
41-165985,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Andrew Jackson,9853 4th Ln,Monterey,CA,94079,Monterey,(831) 772-6766,2008-02-17,2009-02-17
41-667056,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Monterey Inc,Andrew Gonzalez,1161 Front Pl,Seaside,CA,94569,Monterey,(831) 578-9354,2017-04-17,2018-04-17
41-783675,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Monterey,Michelle Garcia Jones,8630 Jefferson Ln #588,Monterey,CA,92333,Monterey,(831) 839-1931,2003-08-04,2004-08-04
41-209394,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Corp,Robert Thomas,2627 2nd St,Monterey,CA,93583,Monterey,(831) 473-7601,2020-06-24,2021-06-24
41-544689,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place LLC,Andrew Johnson,9344 4th Rd #792,Salinas,CA,90191,Monterey,(831) 306-8502,2014-01-24,2015-01-24
41-873644,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House,Daniel Wilson Lopez,7633 5th Pl,Seaside,CA,93760,Monterey,(831) 426-7597,2012-01-01,2013-01-01
41-973417,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant LLC,John Gonzalez,8127 Madison St #231,Salinas,CA,91697,Monterey,(831) 761-2569,2023-09-20,2024-09-20
