license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-535498,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Nevada Tavern LLC,David Rodriguez,9672 Main Dr,Nevada,CA,92670,Nevada,(209) 891-2792,2023-03-20,2024-09-15
48-460443,48,On-Sale General - Bar/Tavern,ACTIVE,Nevada Market,Maria Smith,6719 Broad Way,Nevada,CA,94559,Nevada,(760) 286-5774,2010-07-25,2025-10-21
21-734572,21,Off-Sale General,ACTIVE,Nevada Market LLC,Jennifer Davis,7249 Main Pl,Nevada,CA,90945,Nevada,(530) 577-9901,2010-06-16,2025-03-05
75-839178,75,Event Permit Holder,ACTIVE,Nevada Restaurant LLC,Michelle Anderson,8774 Main Ct,Nevada,CA,92621,Nevada,(916) 435-9483,2017-11-22,2025-10-26
48-782512,48,On-Sale General - Bar/Tavern,ACTIVE,Nevada Tavern,Paul Garcia,1501 Center Rd,Nevada,CA,92096,Nevada,(530) 243-9658,2014-11-12,2025-08-11
20-958427,20,Off-Sale Beer & Wine,ACTIVE,Nevada Cafe Inc,Maria Moore,7088 Broad St,Nevada,CA,92326,Nevada,(530) 800-7560,2010-10-11,2024-06-21
58-317606,58,Caterer's Beer & Wine,ACTIVE,Nevada Market Inc,Kenneth Moore,376 Center Way,Nevada,CA,96102,Nevada,(831) 949-9911,2010-07-14,2024-07-21
21-626874,21,Off-Sale General,ACTIVE,Nevada Restaurant LLC,William Taylor,6854 Center Ct,Nevada,CA,91282,Nevada,(559) 815-1833,2012-12-20,2025-12-21
58-258126,58,Caterer's Beer & Wine,ACTIVE,The Nevada Market Inc,Robert Smith,3508 Center Blvd,Nevada,CA,93625,Nevada,(831) 552-4989,2015-03-02,2026-12-26
75-120129,75,Event Permit Holder,ACTIVE,The Nevada Tavern LLC,Steven Martin,3072 Main St,Nevada,CA,90015,Nevada,(442) 857-3329,2018-04-11,2026-02-24
21-100253,21,Off-Sale General,ACTIVE,The Nevada Bar,William Martinez,9614 Main Way,Nevada,CA,90003,Nevada,(831) 399-3335,2020-07-14,2025-09-27
20-737139,20,Off-Sale Beer & Wine,ACTIVE,The Nevada Restaurant,Matthew Wilson,5738 Center Ave,Nevada,CA,94408,Nevada,(760) 529-9384,2019-05-03,2024-11-01
47-735276,47,On-Sale General - Restaurant,ACTIVE,Nevada Tavern Inc,Michelle Jones,9026 Broad Dr,Nevada,CA,90007,Nevada,(916) 571-5039,2013-08-18,2026-10-16
21-859773,21,Off-Sale General,ACTIVE,Nevada Tavern LLC,Maria Rodriguez,3354 Center Dr,Nevada,CA,90861,Nevada,(209) 346-6054,2024-07-18,2024-09-21
48-248903,48,On-Sale General - Bar/Tavern,ACTIVE,Nevada Cafe,James Taylor,3858 Center Rd,Nevada,CA,96029,Nevada,(916) 726-7643,2015-02-02,2025-11-14
21-771922,21,Off-Sale General,ACTIVE,Nevada Bar LLC,Michelle Davis,9329 Main Ave,Nevada,CA,93565,Nevada,(831) 384-3681,2011-08-02,2025-04-20
48-176240,48,On-Sale General - Bar/Tavern,ACTIVE,Nevada Restaurant Inc,William Martin,7985 Main Dr,Nevada,CA,94072,Nevada,(559) 391-4702,2021-08-09,2025-07-07
75-312205,75,Event Permit Holder,ACTIVE,Nevada Cafe Inc,Lisa Johnson,9023 Center St,Nevada,CA,90268,Nevada,(707) 957-2206,2024-09-27,2025-07-27
48-619490,48,On-Sale General - Bar/Tavern,ACTIVE,The Nevada Market LLC,Andrew Jones,2686 Center Blvd,Nevada,CA,94567,Nevada,(707) 584-9293,2019-11-23,2026-08-12
58-331496,58,Caterer's Beer & Wine,ACTIVE,Nevada Tavern,Michael Jackson,3133 Broad Dr,Nevada,CA,91532,Nevada,(559) 540-6758,2024-06-15,2026-10-03
58-275658,58,Caterer's Beer & Wine,ACTIVE,The Nevada Market LLC,Maria Davis,7776 Center Pl,Nevada,CA,90574,Nevada,(831) 827-4910,2012-04-08,2025-05-02
47-772660,47,On-Sale General - Restaurant,ACTIVE,Nevada Bar,Steven Rodriguez,5456 Broad Ct,Nevada,CA,90742,Nevada,(707) 512-7974,2018-08-20,2024-01-03
75-345551,75,Event Permit Holder,ACTIVE,The Nevada Restaurant,William Wilson,1487 Main Dr,Nevada,CA,92803,Nevada,(209) 996-9183,2021-01-21,2025-01-05
75-699142,75,Event Permit Holder,ACTIVE,Nevada Market LLC,Lisa Wilson,9263 Main Rd,Nevada,CA,94651,Nevada,(916) 767-9991,2016-12-14,2024-08-07
41-753704,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Nevada Tavern Inc,Paul Moore,5797 Main Pl,Nevada,CA,95862,Nevada,(530) 221-9297,2018-12-06,2026-08-02
47-572841,47,On-Sale General - Restaurant,ACTIVE,Nevada Bar LLC,Daniel Johnson,8851 Broad Rd,Nevada,CA,94225,Nevada,(831) 903-9537,2020-08-26,2026-02-12
48-979223,48,On-Sale General - Bar/Tavern,ACTIVE,The Nevada Bar Inc,Andrew Anderson,1757 Broad St,Nevada,CA,91538,Nevada,(209) 794-5223,2011-05-12,2024-01-19
41-413680,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Nevada Market Inc,John Rodriguez,4916 Main Rd,Nevada,CA,93215,Nevada,(530) 841-8702,2020-12-10,2024-08-25
21-243335,21,Off-Sale General,ACTIVE,Nevada Cafe,Lisa Johnson,6865 Center St,Nevada,CA,90483,Nevada,(559) 707-1760,2023-10-24,2024-02-24
21-227965,21,Off-Sale General,ACTIVE,Nevada Restaurant LLC,Kenneth Hernandez,3485 Broad St,Nevada,CA,95588,Nevada,(530) 418-8317,2022-04-23,2025-03-16
