license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-573417,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe,David Johnson Williams,9175 Wilshire Dr,Newport Beach,CA,95798,Orange,(657) 260-4750,2016-04-09,2017-04-09
41-313446,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Company,Maria Brown,4020 Franklin Blvd,Anaheim,CA,90112,Orange,(657) 617-2527,2003-11-27,2004-11-27
41-744986,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Inc,David Hernandez,7947 2nd Way,Santa Ana,CA,94016,Orange,(657) 654-2204,2002-03-09,2003-03-09
41-157443,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Group,Robert Gonzalez,4286 State Rd,Newport Beach,CA,94074,Orange,(657) 640-3878,2007-09-18,2008-09-18
41-434400,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Huntington Beach Co,Anthony Davis,2792 Maple Dr,Huntington Beach,CA,94521,Orange,(714) 538-7985,2020-03-06,2021-03-06
41-702727,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Orange Company,Maria Gonzalez Taylor,3165 Front Pl,Santa Ana,CA,92941,Orange,(714) 696-3236,2020-08-14,2021-08-14
41-245998,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Newport Beach Heights,Robert Wilson Rodriguez,5402 Franklin Ln,Newport Beach,CA,92190,Orange,(657) 895-2560,2020-03-23,2021-03-23
41-861253,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Irvine Inc,James Wilson,1376 Ocean Dr,Irvine,CA,93645,Orange,(714) 208-6629,2015-02-08,2016-02-08
41-208214,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldKitchen Orange 83,Christopher Miller,2440 Market Ct,Anaheim,CA,94999,Orange,(657) 368-8210,2004-07-20,2005-07-20
41-482812,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery,Daniel Miller,9535 Madison Dr #838,Irvine,CA,92211,Orange,(714) 768-8081,2023-03-16,2024-03-16
