license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-232378,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Riverside Company,Jennifer Hernandez,7586 Main Blvd,Riverside,CA,95363,Riverside,(951) 276-8692,2012-11-03,2013-11-03
41-572407,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Riverside LLC,Daniel Wilson,7272 4th Ct,Riverside,CA,91300,Riverside,(760) 581-5634,2021-10-02,2022-10-02
41-741674,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe 68,Anthony Anderson,6830 Oak Way #175,Palm Springs,CA,91026,Riverside,(760) 857-2215,2011-03-27,2012-03-27
41-597960,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheBistro Group 77,Robert Davis,7875 Hollywood Dr #697,Corona,CA,93935,Riverside,(951) 736-7229,2022-02-07,2023-02-07
41-525110,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Palm Springs Corp,Mark Moore Miller,3718 Wilshire Blvd,Palm Springs,CA,93727,Riverside,(760) 625-9998,2024-04-22,2025-04-22
41-567432,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Palm Springs Hills Company,Anthony Miller,6915 Market Ave #847,Palm Springs,CA,91160,Riverside,(760) 519-6620,2011-08-04,2012-08-04
41-117500,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place,David Moore,1090 2nd Ct,Riverside,CA,95837,Riverside,(760) 633-7590,2004-05-03,2005-05-03
41-388792,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Co,Michelle Martinez,6584 Front Dr,Palm Springs,CA,93892,Riverside,(760) 581-1331,2015-12-22,2016-12-22
41-952679,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Riverside Valley Corp,Anthony Martin,1998 Mission St,Riverside,CA,91133,Riverside,(951) 536-6857,2023-02-12,2024-02-12
41-783176,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheDiner Corona 81,David Jones,1172 Pico Dr #534,Corona,CA,90851,Riverside,(951) 750-8130,2022-06-02,2023-06-02
41-483588,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldEatery Co 60,Andrew Garcia,8310 6th Ave,Palm Springs,CA,94113,Riverside,(951) 878-4913,2004-08-06,2005-08-06
41-561267,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Corp,James Thomas,3162 Sunset Rd,Palm Springs,CA,90969,Riverside,(951) 624-6410,2015-04-19,2016-04-19
41-627611,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewGrill Riverside Heights Group 89,Kenneth Smith,7354 2nd Pl #875,Riverside,CA,92782,Riverside,(760) 897-8548,2008-02-13,2009-02-13
41-616256,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Riverside,Paul Lopez,3738 Oak Blvd,Corona,CA,93466,Riverside,(760) 753-1533,2021-03-15,2022-03-15
41-896456,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot,John Gonzalez,8887 Mission Blvd,Corona,CA,92594,Riverside,(760) 649-4161,2004-05-02,2005-05-02
41-686179,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Riverside,Jennifer Moore,7774 Hollywood Ct,Temecula,CA,94351,Riverside,(951) 660-5844,2000-11-17,2001-11-17
41-590795,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheSpot Company 79,James Brown,4455 6th St #954,Riverside,CA,92489,Riverside,(951) 421-9511,2017-07-07,2018-07-07
41-828834,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Palm Springs,Jennifer Lopez Smith,3388 Franklin Ln,Palm Springs,CA,95363,Riverside,(951) 268-7367,2009-11-13,2010-11-13
41-350164,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place,Steven Davis,1182 Front Dr #705,Temecula,CA,93531,Riverside,(760) 780-6606,2021-02-24,2022-02-24
41-248989,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheCorner 32,Michelle Moore,7840 Jefferson Ave,Riverside,CA,94417,Riverside,(760) 827-1864,2015-08-17,2016-08-17
41-656921,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Inc,John Thomas,303 Franklin Way #235,Temecula,CA,92936,Riverside,(760) 444-2486,2005-12-15,2006-12-15
41-593002,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Group,James Garcia,1175 Pico Pl,Riverside,CA,93200,Riverside,(951) 495-2260,2022-03-16,2023-03-16
41-929653,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Jennifer Thomas Williams,7842 Mission Ln,Riverside,CA,94029,Riverside,(951) 229-2955,2019-12-12,2020-12-12
41-916639,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Corona,David Brown Smith,3187 7th Ct #829,Corona,CA,94514,Riverside,(951) 627-8544,2015-06-10,2016-06-10
41-948802,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Inc,William Thomas,5253 2nd Pl,Corona,CA,90269,Riverside,(951) 770-5965,2009-12-13,2010-12-13
41-696487,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot LLC,Michelle Johnson,6512 Hollywood Pl,Riverside,CA,93094,Riverside,(760) 984-5660,2001-03-27,2002-03-27
41-222115,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Group,James Wilson Thomas,4075 Pico Ln,Riverside,CA,93209,Riverside,(951) 541-1129,2023-10-20,2024-10-20
41-294954,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,Robert Jones,9676 3rd Ct #872,Temecula,CA,92930,Riverside,(760) 797-9866,2019-06-10,2020-06-10
41-619071,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Palm Springs Corp,Lisa Garcia Moore,3550 Maple Dr #153,Palm Springs,CA,91466,Riverside,(760) 944-7419,2012-06-14,2013-06-14
41-835203,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Riverside,Matthew Smith,2536 Wilshire Ave,Riverside,CA,90314,Riverside,(760) 396-3395,2002-01-13,2003-01-13
41-888363,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheEatery Corona 65,Anthony Williams Williams,2560 Main Way,Corona,CA,90306,Riverside,(760) 365-3482,2022-04-07,2023-04-07
41-815711,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Riverside,Anthony Williams,1825 State Way,Corona,CA,93270,Riverside,(951) 428-7360,2014-11-18,2015-11-18
41-320511,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot LLC,John Garcia,3027 Madison St,Riverside,CA,92808,Riverside,(760) 695-9953,2008-02-07,2009-02-07
41-155739,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Paul Wilson,7023 Pico Ln,Corona,CA,91447,Riverside,(760) 742-9087,2001-11-08,2002-11-08
41-243028,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheDiner Temecula Hills Co 63,Maria Miller,3388 Mission Ave,Temecula,CA,94946,Riverside,(951) 732-2587,2000-09-15,2001-09-15
41-403509,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Corp,Anthony Brown,6509 2nd Ave,Corona,CA,93480,Riverside,(951) 228-5643,2000-10-10,2001-10-10
41-698076,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Riverside Company,Mark Davis,6262 Market Ave,Palm Springs,CA,94237,Riverside,(760) 303-2932,2017-06-01,2018-06-01
41-432335,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill LLC,Christopher Williams,6030 Wilshire Pl,Temecula,CA,90945,Riverside,(951) 655-7716,2016-02-12,2017-02-12
41-869070,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Riverside,Maria Martinez,7530 2nd Rd,Palm Springs,CA,94167,Riverside,(760) 991-2587,2001-10-17,2002-10-17
41-639420,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Temecula Inc,Matthew Thomas,323 Sunset Ct #270,Temecula,CA,91616,Riverside,(760) 316-1639,2016-08-05,2017-08-05
41-446215,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Riverside Group,Maria Brown,5305 3rd Blvd,Palm Springs,CA,90549,Riverside,(951) 519-4074,2010-02-02,2011-02-02
41-204766,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Riverside Co,Daniel Hernandez Wilson,7693 Franklin Dr #198,Corona,CA,93175,Riverside,(951) 525-3187,2019-07-18,2020-07-18
41-985174,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheHouse Riverside 20,Anthony Martinez,213 Front Ln,Corona,CA,95034,Riverside,(760) 645-1795,2015-08-12,2016-08-12
41-459609,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Riverside Co,Mark Moore Williams,8820 Franklin Blvd,Riverside,CA,92094,Riverside,(760) 233-2287,2006-12-17,2007-12-17
41-828833,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Riverside Co,Christopher Brown,6897 Sunset Way,Palm Springs,CA,94248,Riverside,(951) 959-3975,2000-08-07,2001-08-07
41-296868,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Company,Jennifer Hernandez Thomas,9043 4th Ave #771,Corona,CA,94214,Riverside,(760) 545-4052,2024-09-15,2025-09-15
