license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-877572,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill,Andrew Smith,9035 Market Way,Sacramento,CA,90767,Sacramento,(916) 438-9279,2022-11-23,2023-11-23
41-146228,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Roseville Hills,Christopher Jackson,7107 7th St,Roseville,CA,95660,Sacramento,(916) 758-1590,2013-03-02,2014-03-02
41-153035,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,Andrew Smith,1224 Oak Ct,Sacramento,CA,91769,Sacramento,(916) 536-3417,2004-03-18,2005-03-18
41-499407,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldPlace 56,Michelle Wilson,7498 Wilshire Way,Roseville,CA,93715,Sacramento,(279) 625-2557,2008-06-05,2009-06-05
41-783984,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldPlace Group 54,Lisa Jackson,2980 Broadway Way #290,Sacramento,CA,96135,Sacramento,(279) 238-1151,2010-05-15,2011-05-15
41-186702,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Elk Grove Inc,William Hernandez,9386 5th Ln,Elk Grove,CA,90609,Sacramento,(279) 756-1539,2006-10-05,2007-10-05
41-514798,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Company,Christopher Hernandez,3619 Pico Ln #928,Citrus Heights,CA,90512,Sacramento,(916) 749-4063,2003-05-22,2004-05-22
41-628597,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Roseville Hills,Michelle Moore,4919 4th Blvd,Roseville,CA,94935,Sacramento,(279) 918-9975,2006-04-20,2007-04-20
41-809794,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheCorner 90,Mark Hernandez,4414 Wilshire Ln,Elk Grove,CA,95518,Sacramento,(279) 277-3924,2018-05-06,2019-05-06
41-880762,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,William Martinez,4322 1st St,Citrus Heights,CA,92876,Sacramento,(916) 790-9821,2021-09-16,2022-09-16
41-537605,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Elk Grove Corp,Paul Jones,2258 Pico Blvd,Elk Grove,CA,95603,Sacramento,(916) 341-6062,2024-03-21,2025-03-21
41-906731,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Roseville Valley,Anthony Williams,1122 2nd Way,Roseville,CA,90492,Sacramento,(279) 471-3915,2006-10-13,2007-10-13
41-929443,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Co,Michelle Anderson,9534 Market Ave,Citrus Heights,CA,94230,Sacramento,(916) 808-7722,2023-03-09,2024-03-09
41-170601,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldDiner Sacramento Group 33,Michelle Thomas,1652 Washington Rd #813,Sacramento,CA,93183,Sacramento,(916) 540-3872,2000-10-19,2001-10-19
41-356902,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Daniel Rodriguez,9867 Sunset Way #914,Citrus Heights,CA,95494,Sacramento,(916) 996-8596,2014-06-01,2015-06-01
41-202137,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheBistro 64,Kenneth Lopez,1641 4th Rd,Citrus Heights,CA,92421,Sacramento,(916) 269-5589,2002-03-23,2003-03-23
41-418395,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Inc,John Johnson,3660 State Ave,Elk Grove,CA,92505,Sacramento,(916) 640-6771,2011-05-26,2012-05-26
41-581801,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Roseville Hills Co,Paul Rodriguez,6554 Market Pl,Roseville,CA,93864,Sacramento,(916) 789-9306,2010-10-19,2011-10-19
41-570777,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldEatery LLC 100,David Wilson,6778 Madison Blvd,Elk Grove,CA,92350,Sacramento,(279) 521-2932,2004-10-16,2005-10-16
41-288655,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,David Jones,9186 Franklin Pl #229,Elk Grove,CA,90279,Sacramento,(279) 224-3735,2016-07-14,2017-07-14
41-656228,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Sacramento Co,Lisa Wilson Hernandez,6525 Washington Rd,Citrus Heights,CA,92420,Sacramento,(916) 424-2841,2007-11-14,2008-11-14
41-170015,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Elk Grove Hills LLC,Maria Williams,7082 Lincoln Ln,Elk Grove,CA,93303,Sacramento,(279) 774-9864,2003-12-07,2004-12-07
41-296200,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Sacramento Company 76,Andrew Hernandez,9536 Franklin Way #584,Sacramento,CA,91995,Sacramento,(279) 940-7114,2012-05-02,2013-05-02
41-245303,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Corp,Steven Taylor Garcia,2827 Lincoln Pl,Elk Grove,CA,93033,Sacramento,(916) 960-7378,2014-06-24,2015-06-24
41-327337,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewHouse 27,Steven Martin,8285 Maple Way #568,Roseville,CA,93201,Sacramento,(916) 703-8867,2021-04-03,2022-04-03
41-909985,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery,Robert Jones,9661 5th Dr #927,Elk Grove,CA,95740,Sacramento,(916) 303-3694,2019-10-01,2020-10-01
41-882660,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Inc,Paul Smith,4733 Hollywood Dr #784,Roseville,CA,94554,Sacramento,(916) 842-9143,2000-06-25,2001-06-25
