license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
75-717030,75,Event Permit Holder,ACTIVE,The San Benito Cafe,John Lopez,5924 Broad Dr,San Benito,CA,95437,San Benito,(831) 294-3271,2013-11-22,2025-08-09
58-485803,58,Caterer's Beer & Wine,ACTIVE,The San Benito Tavern,Maria Hernandez,1072 Main Ct,San Benito,CA,92424,San Benito,(760) 249-7490,2016-09-19,2025-01-26
75-175048,75,Event Permit Holder,ACTIVE,The San Benito Restaurant LLC,Steven Wilson,7125 Main Ct,San Benito,CA,92111,San Benito,(442) 766-5759,2010-11-24,2024-12-03
48-466233,48,On-Sale General - Bar/Tavern,ACTIVE,San Benito Restaurant LLC,Matthew Rodriguez,3714 Main Ct,San Benito,CA,95263,San Benito,(831) 950-4449,2016-07-25,2026-03-16
47-603196,47,On-Sale General - Restaurant,ACTIVE,San Benito Tavern LLC,Kenneth Johnson,4489 Broad Ct,San Benito,CA,91377,San Benito,(530) 973-4190,2016-07-13,2025-07-02
41-872528,41,On-Sale Beer & Wine - Eating Place,ACTIVE,San Benito Cafe,Jennifer Davis,9040 Main Blvd,San Benito,CA,95554,San Benito,(442) 470-2889,2023-08-07,2024-02-07
48-343148,48,On-Sale General - Bar/Tavern,ACTIVE,San Benito Restaurant LLC,James Smith,6126 Broad Rd,San Benito,CA,96074,San Benito,(760) 416-3673,2015-05-03,2024-03-10
48-962036,48,On-Sale General - Bar/Tavern,ACTIVE,The San Benito Market LLC,Maria Jackson,5106 Main Ln,San Benito,CA,91904,San Benito,(209) 607-7944,2021-12-10,2026-01-10
48-488436,48,On-Sale General - Bar/Tavern,ACTIVE,San Benito Cafe,Daniel Davis,5822 Center Ct,San Benito,CA,92559,San Benito,(530) 431-7434,2018-10-14,2026-08-11
21-232978,21,Off-Sale General,ACTIVE,The San Benito Tavern,David Davis,5184 Center Ave,San Benito,CA,92287,San Benito,(559) 683-1187,2016-11-23,2026-01-05
48-854401,48,On-Sale General - Bar/Tavern,ACTIVE,San Benito Market Inc,Lisa Anderson,9496 Main Ave,San Benito,CA,92541,San Benito,(530) 406-7340,2020-05-24,2025-06-27
47-276483,47,On-Sale General - Restaurant,ACTIVE,San Benito Tavern LLC,Lisa Jones,3905 Center Rd,San Benito,CA,94800,San Benito,(530) 728-4494,2011-02-21,2024-04-02
58-133895,58,Caterer's Beer & Wine,ACTIVE,The San Benito Cafe Inc,William Johnson,1503 Center Blvd,San Benito,CA,90078,San Benito,(530) 570-6377,2019-03-28,2025-04-20
