license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-560485,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe,Maria Jackson,7272 Market St #852,San Francisco,CA,92640,San Francisco,(628) 226-2496,2000-11-27,2001-11-27
41-735863,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner San Francisco Corp,Michael Martinez,3215 Washington Ln,San Francisco,CA,95905,San Francisco,(415) 843-2591,2001-10-12,2002-10-12
41-409445,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen San Francisco,Michelle Brown,6094 6th Ct #950,San Francisco,CA,91347,San Francisco,(628) 693-5835,2002-03-25,2003-03-25
41-806707,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Company,Kenneth Thomas,6885 Hollywood Dr #216,San Francisco,CA,92827,San Francisco,(628) 313-5640,2009-01-08,2010-01-08
41-794083,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,Anthony Davis,2812 Maple Pl,San Francisco,CA,92984,San Francisco,(415) 654-5668,2009-08-27,2010-08-27
41-731728,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House San Francisco 67,Andrew Martinez,7587 Ocean Ct,San Francisco,CA,95022,San Francisco,(628) 366-7438,2016-09-18,2017-09-18
41-651033,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern San Francisco Inc,Anthony Brown,9072 6th Dr,San Francisco,CA,91227,San Francisco,(415) 535-9525,2022-10-16,2023-10-16
41-180674,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill 87,Michael Brown,8956 Front Way #243,San Francisco,CA,95646,San Francisco,(415) 712-6666,2002-06-20,2003-06-20
41-777558,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Kenneth Wilson,9830 Market Ct #112,San Francisco,CA,92958,San Francisco,(628) 335-7337,2021-03-25,2022-03-25
41-534130,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Michelle Rodriguez Williams,9570 Jefferson Dr,San Francisco,CA,90603,San Francisco,(415) 501-1328,2010-03-13,2011-03-13
41-400748,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewTavern Group 17,Anthony Lopez Rodriguez,4703 Hollywood Ln,San Francisco,CA,90913,San Francisco,(415) 805-3476,2022-04-16,2023-04-16
41-138815,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern San Francisco,Mark Martin Lopez,9543 Front Ct,San Francisco,CA,95310,San Francisco,(628) 684-2915,2014-12-14,2015-12-14
41-947613,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro San Francisco,Matthew Moore,8822 Franklin Ave,San Francisco,CA,95048,San Francisco,(415) 963-1119,2007-12-22,2008-12-22
41-111395,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery San Francisco,Daniel Martin,3824 3rd Blvd,San Francisco,CA,90753,San Francisco,(628) 328-4471,2012-03-27,2013-03-27
