license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-220096,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Atascadero,Andrew Brown,6249 2nd Dr,Atascadero,CA,95657,San Luis Obispo,(805) 304-5941,2018-01-12,2019-01-12
41-859396,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Atascadero Inc,Christopher Brown,2124 4th Rd,Atascadero,CA,95507,San Luis Obispo,(805) 798-7242,2015-01-20,2016-01-20
41-104895,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldBistro Paso Robles Group 3,Daniel Taylor,167 Jefferson Dr,Paso Robles,CA,92820,San Luis Obispo,(805) 332-2682,2005-02-27,2006-02-27
41-638807,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Atascadero LLC,Andrew Johnson,4278 Main Rd,Atascadero,CA,91268,San Luis Obispo,(805) 357-6285,2020-10-27,2021-10-27
41-799282,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Atascadero Co,Anthony Lopez,756 Ocean Ct,Atascadero,CA,90203,San Luis Obispo,(805) 832-4610,2001-10-21,2002-10-21
41-514184,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill,Matthew Moore,360 Franklin Dr #314,Atascadero,CA,93941,San Luis Obispo,(805) 865-4961,2009-08-05,2010-08-05
41-414186,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Inc,Michelle Gonzalez,160 Jefferson Dr,Atascadero,CA,93821,San Luis Obispo,(805) 444-8876,2005-01-12,2006-01-12
41-594299,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewEatery 62,Christopher Moore,4759 Franklin Ct,Atascadero,CA,93132,San Luis Obispo,(805) 708-7449,2014-04-19,2015-04-19
41-663849,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe LLC,Andrew Rodriguez,3093 Franklin Dr,Atascadero,CA,95876,San Luis Obispo,(805) 381-1659,2002-12-07,2003-12-07
41-291482,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldEatery San Luis Obispo LLC 94,Steven Davis,5898 6th Blvd,Atascadero,CA,94346,San Luis Obispo,(805) 745-6941,2016-03-12,2017-03-12
41-247262,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Co,Paul Brown,7364 Ocean Ln #111,Paso Robles,CA,95216,San Luis Obispo,(805) 733-6098,2019-08-08,2020-08-08
