license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-498855,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,William Moore,1725 Oak Dr,Palo Alto,CA,92167,Santa Clara,(408) 360-4929,2000-07-15,2001-07-15
41-262246,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Santa Clara Heights Corp,John Garcia,4664 Lincoln Dr #965,Santa Clara,CA,94595,Santa Clara,(408) 823-5381,2024-05-11,2025-05-11
41-954814,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,David Gonzalez,6752 4th Dr #331,Sunnyvale,CA,92457,Santa Clara,(408) 869-1519,2017-08-02,2018-08-02
41-261050,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Mountain View,David Thomas Martinez,9933 5th Dr,Mountain View,CA,91695,Santa Clara,(408) 853-5781,2012-08-16,2013-08-16
41-992562,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe,Matthew Jackson Anderson,6353 6th Ln,Mountain View,CA,91235,Santa Clara,(408) 405-6614,2004-06-28,2005-06-28
41-688602,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Company,Lisa Smith Lopez,4094 Broadway Rd,Mountain View,CA,90928,Santa Clara,(669) 462-9851,2016-09-15,2017-09-15
41-400384,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Santa Clara Company,Michael Lopez,8589 State Dr,Palo Alto,CA,94911,Santa Clara,(408) 829-3776,2000-03-03,2001-03-03
41-557250,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheGrill Palo Alto 34,Michael Rodriguez,2768 Lincoln St,Palo Alto,CA,93776,Santa Clara,(408) 565-3675,2020-06-02,2021-06-02
41-574348,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Santa Clara,Daniel Davis Hernandez,7471 Madison Pl,Palo Alto,CA,95962,Santa Clara,(669) 291-7711,2017-01-22,2018-01-22
41-111121,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheTavern Palo Alto 59,Kenneth Jones,8574 Front Dr,Palo Alto,CA,90100,Santa Clara,(408) 807-4172,2008-06-14,2009-06-14
41-124157,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheHouse Santa Clara Inc 42,David Lopez,2370 Wilshire Ave #229,Palo Alto,CA,92192,Santa Clara,(669) 693-4264,2020-05-15,2021-05-15
41-328026,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Company,Matthew Brown,5344 Pico Dr,Palo Alto,CA,94046,Santa Clara,(669) 247-5496,2005-10-11,2006-10-11
41-704413,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Group,Michael Hernandez,176 4th Ln,Santa Clara,CA,93299,Santa Clara,(408) 746-9642,2002-08-04,2003-08-04
41-691299,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Santa Clara LLC,Steven Garcia,6920 7th Dr,Santa Clara,CA,90701,Santa Clara,(669) 780-8555,2013-02-05,2014-02-05
41-139235,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner,Maria Rodriguez,582 Sunset Rd,San Jose,CA,93682,Santa Clara,(669) 336-4272,2021-05-08,2022-05-08
41-272824,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Santa Clara Inc,Daniel Gonzalez,7303 3rd Pl,Santa Clara,CA,94099,Santa Clara,(408) 446-7442,2011-05-27,2012-05-27
41-610898,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldGrill Palo Alto Company 76,Michelle Taylor,7575 Main Ln #715,Palo Alto,CA,92217,Santa Clara,(669) 846-3892,2009-11-10,2010-11-10
41-480160,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Co,Christopher Williams,4690 Maple Ln #755,Palo Alto,CA,94160,Santa Clara,(669) 629-5116,2022-08-08,2023-08-08
41-719796,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Group,James Davis,8602 Madison Way,Santa Clara,CA,90883,Santa Clara,(408) 789-2555,2021-12-20,2022-12-20
41-647013,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Palo Alto Hills,Mark Brown,3344 State Way,Palo Alto,CA,93088,Santa Clara,(408) 702-1390,2015-10-13,2016-10-13
41-499162,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,Robert Lopez,6246 Front Rd #974,Sunnyvale,CA,93477,Santa Clara,(669) 924-6605,2017-04-16,2018-04-16
41-952829,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Santa Clara 97,David Anderson,2530 Washington Rd,Santa Clara,CA,94021,Santa Clara,(669) 817-5358,2006-05-23,2007-05-23
41-212978,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill,Michelle Gonzalez,5388 Main Ave,Sunnyvale,CA,92674,Santa Clara,(669) 577-3322,2020-07-21,2021-07-21
41-994101,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro San Jose Heights Corp,David Rodriguez,9407 Sunset Ave,San Jose,CA,91763,Santa Clara,(408) 633-7108,2000-05-25,2001-05-25
41-796862,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen San Jose Group,Steven Moore,2296 Mission Ct,San Jose,CA,90954,Santa Clara,(408) 684-9099,2010-02-20,2011-02-20
41-748115,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Santa Clara,John Rodriguez,869 Mission Way,Mountain View,CA,94330,Santa Clara,(408) 769-9671,2008-11-06,2009-11-06
41-756805,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Santa Clara Group,Maria Hernandez,760 Mission Dr,Mountain View,CA,94542,Santa Clara,(408) 740-8330,2015-11-18,2016-11-18
41-632006,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Sunnyvale Valley,Anthony Williams,1181 Jefferson Ave,Sunnyvale,CA,93701,Santa Clara,(669) 969-1586,2005-04-18,2006-04-18
41-688760,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Michelle Moore Wilson,3950 6th Ct,Mountain View,CA,92853,Santa Clara,(669) 366-3242,2013-01-11,2014-01-11
41-644153,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,William Johnson Rodriguez,1714 Ocean Rd,Palo Alto,CA,95948,Santa Clara,(408) 761-4087,2024-09-16,2025-09-16
41-643816,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewHouse Mountain View Co 86,Maria Smith,8526 1st Blvd,Mountain View,CA,94382,Santa Clara,(669) 262-1662,2009-04-13,2010-04-13
41-853759,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Inc,William Smith,2229 Ocean Ln,Mountain View,CA,90876,Santa Clara,(669) 527-5277,2022-05-02,2023-05-02
41-352232,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Palo Alto 54,James Johnson,7072 Mission Ln #741,Palo Alto,CA,94827,Santa Clara,(408) 973-2111,2015-11-15,2016-11-15
41-729042,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Company,Jennifer Williams,7917 Madison St,Santa Clara,CA,94823,Santa Clara,(669) 434-2931,2013-02-12,2014-02-12
41-974607,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Co,David Williams,4501 Market Ave,Mountain View,CA,95302,Santa Clara,(669) 579-5900,2007-05-01,2008-05-01
41-556909,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewGrill 66,Jennifer Jones,9727 Market Pl,Santa Clara,CA,95792,Santa Clara,(669) 938-7003,2017-06-22,2018-06-22
41-249237,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldKitchen 82,John Williams,489 2nd Rd #422,San Jose,CA,92195,Santa Clara,(408) 898-3902,2005-08-11,2006-08-11
41-376477,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,Maria Davis,2295 Maple Ln #291,Mountain View,CA,92995,Santa Clara,(408) 573-9710,2006-01-26,2007-01-26
41-983073,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Steven Anderson,7572 State Pl,Sunnyvale,CA,90409,Santa Clara,(408) 343-7895,2009-09-22,2010-09-22
41-391173,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Santa Clara LLC,William Smith,9103 Main St,Palo Alto,CA,93538,Santa Clara,(669) 619-1343,2011-04-24,2012-04-24
41-765640,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Santa Clara,Kenneth Moore,7384 3rd Ave,San Jose,CA,94121,Santa Clara,(408) 560-7864,2017-12-10,2018-12-10
41-959834,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Co,James Rodriguez,7503 Market Pl,San Jose,CA,92688,Santa Clara,(669) 468-6385,2006-07-16,2007-07-16
41-479170,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewBistro Inc 65,Lisa Johnson,9367 5th Ln #228,Santa Clara,CA,91927,Santa Clara,(669) 478-4432,2013-12-25,2014-12-25
41-673258,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House,William Williams,7129 Wilshire Ln,Santa Clara,CA,95547,Santa Clara,(669) 712-9236,2008-10-26,2009-10-26
41-184076,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe San Jose 15,Daniel Jones,4043 Mission Pl #703,San Jose,CA,93822,Santa Clara,(669) 246-2719,2011-11-23,2012-11-23
41-856818,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Corp 68,Maria Hernandez,5484 1st St,San Jose,CA,90631,Santa Clara,(408) 648-6582,2022-02-01,2023-02-01
41-440839,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Santa Clara 24,Lisa Jackson Johnson,8962 Market Blvd #220,Palo Alto,CA,93175,Santa Clara,(408) 556-1782,2004-07-23,2005-07-23
41-107594,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Co,Kenneth Johnson,3876 Mission Blvd #907,Santa Clara,CA,92207,Santa Clara,(669) 292-3649,2010-10-13,2011-10-13
41-772050,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Sunnyvale Group,Christopher Davis,2269 Sunset Way,Sunnyvale,CA,95758,Santa Clara,(408) 302-8890,2004-07-28,2005-07-28
41-100806,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Santa Clara,David Moore Lopez,5151 Broadway Rd,Mountain View,CA,95721,Santa Clara,(669) 461-9212,2024-05-22,2025-05-22
41-194941,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery,Maria Martin Martinez,3437 Maple Dr,Sunnyvale,CA,93420,Santa Clara,(408) 404-1909,2008-01-17,2009-01-17
41-323033,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Group,Daniel Anderson,4344 Broadway Blvd #236,Mountain View,CA,92639,Santa Clara,(408) 981-3684,2018-11-06,2019-11-06
41-992817,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewEatery Santa Clara Group 14,Kenneth Williams Hernandez,8142 Madison Ct,Palo Alto,CA,95595,Santa Clara,(669) 622-6611,2006-09-05,2007-09-05
41-872928,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Corp,Mark Smith,4200 2nd Rd,Palo Alto,CA,94631,Santa Clara,(669) 807-9364,2017-09-25,2018-09-25
41-479964,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Sunnyvale Hills Inc,Matthew Gonzalez,2980 Franklin Ave,Sunnyvale,CA,95210,Santa Clara,(408) 536-2522,2002-04-07,2003-04-07
41-248225,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery San Jose Valley,Andrew Williams,1444 Washington Ave,San Jose,CA,90857,Santa Clara,(669) 856-7234,2024-12-24,2025-12-24
41-702563,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Michelle Rodriguez,1206 Jefferson Ln,San Jose,CA,93699,Santa Clara,(669) 455-6322,2001-12-10,2002-12-10
41-980436,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery,Lisa Hernandez,2618 Main Ave,Santa Clara,CA,95445,Santa Clara,(408) 341-7143,2021-01-11,2022-01-11
41-949675,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewGrill Palo Alto 89,Maria Anderson,9198 Ocean Ln,Palo Alto,CA,93218,Santa Clara,(408) 941-2155,2002-05-12,2003-05-12
41-930875,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Christopher Gonzalez,8346 4th Ct,Sunnyvale,CA,90178,Santa Clara,(408) 307-5303,2015-03-25,2016-03-25
41-392884,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner,Mark Smith Davis,9351 Maple Way #450,Mountain View,CA,93064,Santa Clara,(408) 434-2784,2011-04-01,2012-04-01
41-758797,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldGrill 15,Maria Wilson Martinez,744 5th Ct,Santa Clara,CA,90681,Santa Clara,(408) 851-8231,2017-06-05,2018-06-05
41-485850,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Santa Clara Valley LLC,James Miller,5877 Lincoln Way,Santa Clara,CA,93644,Santa Clara,(669) 813-2446,2018-09-08,2019-09-08
41-990925,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Palo Alto Valley,Matthew Jones,4239 State Ln,Palo Alto,CA,90354,Santa Clara,(669) 612-3791,2024-06-10,2025-06-10
41-718753,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Santa Clara,Daniel Thomas,9301 Maple Dr,Palo Alto,CA,91241,Santa Clara,(408) 978-8062,2009-12-23,2010-12-23
41-548524,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Mountain View Group,Matthew Williams,5895 3rd Blvd,Mountain View,CA,91380,Santa Clara,(408) 212-2839,2014-04-09,2015-04-09
41-968953,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Santa Clara,William Brown,3904 1st Ln,Palo Alto,CA,94873,Santa Clara,(669) 381-2836,2012-01-27,2013-01-27
41-790073,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Palo Alto Co,William Williams,1865 Lincoln Way #149,Palo Alto,CA,92360,Santa Clara,(669) 231-6632,2024-01-27,2025-01-27
41-275028,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Santa Clara LLC 25,Mark Thomas,6553 Front Pl,Sunnyvale,CA,93274,Santa Clara,(669) 637-9514,2018-04-12,2019-04-12
41-223400,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Corp,Michael Moore,1455 3rd Pl #433,Santa Clara,CA,96112,Santa Clara,(669) 467-5377,2018-06-24,2019-06-24
41-309613,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Corp,William Miller Johnson,5707 Ocean Way,San Jose,CA,90443,Santa Clara,(408) 961-6924,2004-10-20,2005-10-20
41-246731,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Santa Clara 15,Andrew Jones,4728 4th Dr #258,Santa Clara,CA,90358,Santa Clara,(669) 451-2354,2007-02-06,2008-02-06
41-258065,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Company,Maria Martin Hernandez,2666 Oak Ave,Mountain View,CA,96165,Santa Clara,(669) 555-3948,2018-07-25,2019-07-25
41-611338,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Palo Alto Valley,Andrew Moore,1361 Madison Ct,Palo Alto,CA,90332,Santa Clara,(669) 821-3788,2021-04-21,2022-04-21
41-125630,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldRestaurant 12,Maria Jones,494 Washington St,Mountain View,CA,90788,Santa Clara,(408) 441-6382,2015-08-21,2016-08-21
41-627464,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Palo Alto Hills Corp,Christopher Jones,4467 Ocean Pl,Palo Alto,CA,94564,Santa Clara,(408) 526-7437,2019-02-18,2020-02-18
41-385835,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Palo Alto Heights,Christopher Moore,3866 Lincoln St #449,Palo Alto,CA,93552,Santa Clara,(408) 336-9695,2019-11-13,2020-11-13
41-926620,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldDiner Santa Clara Valley 62,Paul Smith,6538 1st Ln,Santa Clara,CA,94784,Santa Clara,(669) 358-6838,2000-09-14,2001-09-14
41-889385,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern 88,Lisa Wilson,9762 Sunset Ct,Mountain View,CA,91071,Santa Clara,(408) 353-6197,2013-12-22,2014-12-22
41-291055,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,Paul Smith,4251 Lincoln St,Mountain View,CA,93256,Santa Clara,(669) 300-1229,2008-11-12,2009-11-12
41-879031,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldKitchen Group 98,Mark Anderson,3950 Front Dr #574,Santa Clara,CA,93056,Santa Clara,(669) 896-8930,2023-03-13,2024-03-13
41-983287,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewGrill Company 61,Christopher Gonzalez,2583 Maple Ave,Mountain View,CA,96149,Santa Clara,(408) 496-4772,2021-04-26,2022-04-26
41-330806,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Santa Clara Hills Co,Maria Lopez Moore,7262 Pico St #254,Santa Clara,CA,91211,Santa Clara,(408) 822-4650,2014-09-20,2015-09-20
41-409438,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Palo Alto,Matthew Anderson,9482 1st St,Palo Alto,CA,94898,Santa Clara,(408) 205-6451,2007-11-12,2008-11-12
41-351935,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Group,Daniel Miller Brown,8247 Hollywood Ave,Sunnyvale,CA,95601,Santa Clara,(669) 692-8933,2020-01-23,2021-01-23
