license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-359896,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheSpot Group 98,Christopher Jackson,3694 Lincoln Way,Santa Cruz,CA,91423,Santa Cruz,(831) 442-6210,2022-06-19,2023-06-19
41-338564,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House,Daniel Johnson,8873 Madison Pl,Scotts Valley,CA,91930,Santa Cruz,(831) 506-2293,2016-10-22,2017-10-22
41-643377,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Scotts Valley Company,Andrew Hernandez,5431 1st Ln,Scotts Valley,CA,92153,Santa Cruz,(831) 475-8722,2015-07-07,2016-07-07
41-452207,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Corp,Andrew Garcia,7727 4th Way,Santa Cruz,CA,92814,Santa Cruz,(831) 502-3568,2017-04-03,2018-04-03
41-491029,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Santa Cruz Hills,Paul Hernandez,8282 Oak Blvd #427,Santa Cruz,CA,91278,Santa Cruz,(831) 956-9948,2009-08-10,2010-08-10
41-324411,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Santa Cruz LLC,Michelle Brown,1858 Sunset Rd #534,Santa Cruz,CA,91755,Santa Cruz,(831) 617-2848,2016-03-16,2017-03-16
41-884149,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewKitchen Watsonville Valley Group 56,Robert Johnson,2803 Front Pl #254,Watsonville,CA,94552,Santa Cruz,(831) 254-4095,2001-08-09,2002-08-09
41-276324,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill,Lisa Gonzalez,5126 3rd Blvd,Scotts Valley,CA,92664,Santa Cruz,(831) 227-1958,2004-07-11,2005-07-11
41-967661,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Watsonville,Maria Williams Martinez,3261 4th St,Watsonville,CA,90162,Santa Cruz,(831) 896-6862,2022-04-08,2023-04-08
41-945435,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldCafe Company 4,Andrew Thomas,9961 Mission Ct,Watsonville,CA,95728,Santa Cruz,(831) 577-8404,2021-04-01,2022-04-01
41-211613,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Scotts Valley Co,Maria Wilson,3477 4th Dr,Scotts Valley,CA,91670,Santa Cruz,(831) 359-8308,2015-02-16,2016-02-16
41-859490,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Inc,David Rodriguez,6291 2nd St,Santa Cruz,CA,90111,Santa Cruz,(831) 335-5068,2020-10-01,2021-10-01
41-115069,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheKitchen Scotts Valley Heights 90,Paul Hernandez,8277 Jefferson Pl,Scotts Valley,CA,92881,Santa Cruz,(831) 755-7977,2005-08-14,2006-08-14
41-908667,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Watsonville Corp,Daniel Martin Taylor,1470 Mission Ct,Watsonville,CA,94012,Santa Cruz,(831) 285-3315,2023-10-25,2024-10-25
41-900244,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Corp 76,Robert Hernandez,567 Sunset Ct,Santa Cruz,CA,92462,Santa Cruz,(831) 781-3286,2001-02-10,2002-02-10
41-699667,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Santa Cruz Inc,Maria Hernandez Rodriguez,9459 Maple Ct #886,Santa Cruz,CA,91651,Santa Cruz,(831) 822-3094,2017-05-17,2018-05-17
41-499513,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe,Steven Hernandez,8843 Jefferson Ave,Watsonville,CA,90854,Santa Cruz,(831) 830-5723,2000-01-23,2001-01-23
41-101220,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Company,Paul Taylor,9827 Main Pl,Scotts Valley,CA,92014,Santa Cruz,(831) 732-1995,2013-12-23,2014-12-23
41-963474,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Christopher Martin,1435 6th Ln,Scotts Valley,CA,95360,Santa Cruz,(831) 794-7658,2010-03-16,2011-03-16
41-622894,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Santa Cruz Corp 49,Paul Brown,5197 1st Rd,Watsonville,CA,95058,Santa Cruz,(831) 413-5099,2022-05-07,2023-05-07
41-728532,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Group,John Williams,8651 Jefferson Ct #292,Santa Cruz,CA,91481,Santa Cruz,(831) 442-5755,2019-10-16,2020-10-16
41-612960,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Company,Steven Gonzalez,3664 Madison Rd #897,Scotts Valley,CA,92974,Santa Cruz,(831) 457-6252,2023-01-23,2024-01-23
41-200491,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House,Paul Taylor Martin,285 Sunset Dr,Scotts Valley,CA,94405,Santa Cruz,(831) 322-4638,2020-06-07,2021-06-07
41-850932,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro,Michelle Thomas,9765 Main St #627,Scotts Valley,CA,95545,Santa Cruz,(831) 534-9844,2006-10-23,2007-10-23
41-228516,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Santa Cruz Co 32,James Martinez,3159 Wilshire Ct #917,Santa Cruz,CA,91574,Santa Cruz,(831) 717-6036,2009-07-06,2010-07-06
41-382428,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Scotts Valley Co,Paul Hernandez,4419 7th Way,Scotts Valley,CA,90500,Santa Cruz,(831) 920-3465,2020-05-04,2021-05-04
41-653647,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Company,John Moore Anderson,7163 5th Blvd #338,Scotts Valley,CA,90464,Santa Cruz,(831) 541-9682,2016-11-25,2017-11-25
41-377252,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewTavern Santa Cruz Hills LLC 5,Christopher Taylor,284 4th Blvd,Santa Cruz,CA,95545,Santa Cruz,(831) 432-9325,2000-01-19,2001-01-19
41-832048,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,Anthony Martin Miller,8947 Oak Blvd,Santa Cruz,CA,94265,Santa Cruz,(831) 408-6898,2017-11-20,2018-11-20
41-130518,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewPlace 60,Paul Moore Jackson,8692 Pico St #250,Scotts Valley,CA,93487,Santa Cruz,(831) 615-6432,2017-08-06,2018-08-06
41-280852,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe,Mark Davis,630 Front St,Santa Cruz,CA,92559,Santa Cruz,(831) 311-2472,2015-12-09,2016-12-09
41-432508,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldSpot 48,Maria Lopez,391 5th Way #332,Watsonville,CA,93891,Santa Cruz,(831) 625-5726,2007-08-04,2008-08-04
41-393168,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheCorner 75,Christopher Gonzalez Smith,5205 Franklin St,Santa Cruz,CA,94517,Santa Cruz,(831) 381-8505,2009-01-18,2010-01-18
41-231896,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Santa Cruz LLC,Robert Brown,814 Madison Ct,Santa Cruz,CA,92632,Santa Cruz,(831) 395-2632,2018-06-19,2019-06-19
41-980841,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Santa Cruz,Robert Davis,3775 Madison Blvd #690,Watsonville,CA,93053,Santa Cruz,(831) 279-1417,2023-03-24,2024-03-24
41-327840,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Santa Cruz Hills Group,James Rodriguez,2072 State Blvd,Santa Cruz,CA,92596,Santa Cruz,(831) 376-3252,2019-02-13,2020-02-13
41-320887,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Santa Cruz Group,James Wilson Lopez,2535 1st Pl #368,Watsonville,CA,95735,Santa Cruz,(831) 872-7439,2013-11-13,2014-11-13
41-579248,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Group 21,Anthony Wilson,8256 Madison Pl #906,Watsonville,CA,95458,Santa Cruz,(831) 623-7118,2008-08-23,2009-08-23
41-542333,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,William Williams,6674 Front Ln #961,Scotts Valley,CA,91613,Santa Cruz,(831) 238-5465,2003-06-05,2004-06-05
41-850088,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldSpot Santa Cruz Group 56,Maria Hernandez,6901 Oak Pl,Watsonville,CA,90227,Santa Cruz,(831) 468-3178,2015-11-20,2016-11-20
41-875482,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Scotts Valley Hills,Jennifer Moore Thomas,2406 Washington Rd,Scotts Valley,CA,93247,Santa Cruz,(831) 516-2199,2014-11-10,2015-11-10
41-818793,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Group,Jennifer Davis,9729 Franklin Rd,Watsonville,CA,92880,Santa Cruz,(831) 246-5296,2002-11-20,2003-11-20
41-210441,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Scotts Valley,Robert Brown,3075 Mission Ln #424,Scotts Valley,CA,96146,Santa Cruz,(831) 223-7136,2008-07-26,2009-07-26
41-797881,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen LLC,Mark Gonzalez Thomas,9697 Broadway Ave,Santa Cruz,CA,95140,Santa Cruz,(831) 630-5023,2024-05-06,2025-05-06
41-125823,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Company,Paul Miller Rodriguez,4122 6th Dr #902,Scotts Valley,CA,93477,Santa Cruz,(831) 699-2847,2019-10-17,2020-10-17
41-481484,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Watsonville LLC,Jennifer Taylor,6736 Ocean Ln #192,Watsonville,CA,93488,Santa Cruz,(831) 478-8569,2019-06-26,2020-06-26
41-732427,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Scotts Valley Company,Andrew Brown,8418 Maple Blvd #472,Scotts Valley,CA,90514,Santa Cruz,(831) 920-5615,2011-10-26,2012-10-26
41-436219,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Watsonville Company,John Smith,454 Oak Dr #378,Watsonville,CA,95322,Santa Cruz,(831) 225-7630,2006-03-12,2007-03-12
41-304819,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Group,Jennifer Gonzalez,248 1st St,Scotts Valley,CA,93113,Santa Cruz,(831) 653-9951,2023-07-05,2024-07-05
41-130961,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Inc 51,Daniel Williams Martinez,2937 Front Way,Scotts Valley,CA,90885,Santa Cruz,(831) 814-3956,2005-06-03,2006-06-03
41-231469,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Santa Cruz LLC,Maria Martin,9708 Ocean Dr,Santa Cruz,CA,90527,Santa Cruz,(831) 602-1029,2022-05-20,2023-05-20
41-729854,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewDiner Santa Cruz Group 67,Lisa Taylor,6149 Front Way,Santa Cruz,CA,90126,Santa Cruz,(831) 854-4379,2008-06-26,2009-06-26
