license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
20-268050,20,Off-Sale Beer & Wine,ACTIVE,Sierra Cafe Inc,Maria Thomas,8119 Main Ct,Sierra,CA,93801,Sierra,(760) 687-3656,2023-04-03,2024-05-11
58-333620,58,Caterer's Beer & Wine,ACTIVE,The Sierra Tavern,Andrew Jackson,8887 Main Pl,Sierra,CA,90674,Sierra,(530) 470-5636,2020-05-04,2024-02-17
58-194381,58,Caterer's Beer & Wine,ACTIVE,The Sierra Market Inc,William Lopez,4858 Broad Way,Sierra,CA,92258,Sierra,(831) 709-2097,2017-07-17,2026-03-21
21-407628,21,Off-Sale General,ACTIVE,The Sierra Bar Inc,Lisa Lopez,7148 Center Pl,Sierra,CA,91127,Sierra,(831) 320-2820,2019-03-10,2024-06-10
75-467848,75,Event Permit Holder,ACTIVE,The Sierra Tavern,Maria Miller,3917 Center Ave,Sierra,CA,90020,Sierra,(760) 453-4768,2011-03-08,2024-01-25
20-714580,20,Off-Sale Beer & Wine,ACTIVE,Sierra Market Inc,William Martin,9340 Center Dr,Sierra,CA,91173,Sierra,(530) 855-8768,2018-09-11,2026-09-25
21-680389,21,Off-Sale General,ACTIVE,The Sierra Restaurant,James Thomas,7091 Main St,Sierra,CA,90507,Sierra,(707) 772-3049,2018-03-15,2026-12-12
47-825353,47,On-Sale General - Restaurant,ACTIVE,Sierra Market,Michelle Smith,4533 Broad Dr,Sierra,CA,94010,Sierra,(559) 631-5840,2019-08-10,2024-03-27
58-563744,58,Caterer's Beer & Wine,ACTIVE,Sierra Market LLC,Anthony Lopez,6219 Main Ln,Sierra,CA,95551,Sierra,(760) 203-2694,2016-12-23,2024-09-18
48-207662,48,On-Sale General - Bar/Tavern,ACTIVE,Sierra Market LLC,Maria Martin,1639 Broad Ct,Sierra,CA,93953,Sierra,(916) 362-8510,2015-04-07,2026-09-14
75-345007,75,Event Permit Holder,ACTIVE,The Sierra Tavern Inc,Michael Smith,8238 Broad Rd,Sierra,CA,95113,Sierra,(442) 341-2242,2017-11-10,2025-12-27
41-582689,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Sierra Cafe Inc,Anthony Lopez,5585 Main Ave,Sierra,CA,92071,Sierra,(707) 727-5072,2024-11-28,2024-05-14
58-863552,58,Caterer's Beer & Wine,ACTIVE,The Sierra Market LLC,Paul Thomas,9029 Main Pl,Sierra,CA,95136,Sierra,(209) 226-9660,2020-04-03,2026-06-04
75-495556,75,Event Permit Holder,ACTIVE,Sierra Market Inc,Lisa Gonzalez,5115 Main Dr,Sierra,CA,95712,Sierra,(707) 851-2426,2021-07-27,2026-04-17
41-391884,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Sierra Restaurant LLC,Christopher Wilson,9464 Main Blvd,Sierra,CA,91633,Sierra,(760) 593-4718,2017-11-14,2026-12-12
47-394116,47,On-Sale General - Restaurant,ACTIVE,The Sierra Market,Lisa Williams,9298 Center Ave,Sierra,CA,92790,Sierra,(916) 282-5679,2021-09-25,2025-01-15
75-336038,75,Event Permit Holder,ACTIVE,Sierra Tavern Inc,Daniel Jackson,6579 Main Blvd,Sierra,CA,91992,Sierra,(916) 575-8865,2019-02-14,2024-06-12
20-262967,20,Off-Sale Beer & Wine,ACTIVE,Sierra Market Inc,Maria Williams,4162 Center Blvd,Sierra,CA,94221,Sierra,(760) 853-6406,2018-02-13,2024-01-05
75-337222,75,Event Permit Holder,ACTIVE,The Sierra Market Inc,Michael Jackson,3092 Center Way,Sierra,CA,95701,Sierra,(530) 327-8491,2011-10-25,2024-09-07
