license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-680412,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House,Paul Jones,6556 7th Ct #412,Modesto,CA,91720,Stanislaus,(209) 416-7760,2007-10-27,2008-10-27
41-817307,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place LLC,Mark Gonzalez,8677 Wilshire Blvd,Ceres,CA,91092,Stanislaus,(209) 252-7925,2003-06-22,2004-06-22
41-474664,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldCafe Turlock Heights Inc 23,Andrew Martinez,7122 6th Rd,Turlock,CA,95565,Stanislaus,(209) 353-5940,2003-05-16,2004-05-16
41-220783,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Stanislaus,Mark Miller,3810 Washington Way,Modesto,CA,90829,Stanislaus,(209) 951-5395,2006-06-21,2007-06-21
41-288538,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Turlock Valley LLC,Anthony Jackson,2958 Ocean St,Turlock,CA,95362,Stanislaus,(209) 388-9302,2017-12-08,2018-12-08
41-123189,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Modesto Heights Co,Matthew Jones Miller,5906 Market Ln,Modesto,CA,95961,Stanislaus,(209) 930-9041,2021-08-10,2022-08-10
41-326789,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern,Paul Jackson,4460 Wilshire Dr #880,Modesto,CA,92640,Stanislaus,(209) 387-4455,2018-10-04,2019-10-04
41-639671,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Ceres Hills Inc,Maria Garcia,1258 Broadway Ln,Ceres,CA,91259,Stanislaus,(209) 993-7607,2009-04-26,2010-04-26
41-204745,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewTavern Inc 83,Lisa Smith,559 Wilshire Ave,Turlock,CA,93216,Stanislaus,(209) 893-4542,2018-02-01,2019-02-01
41-575071,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldBistro Co 17,Andrew Martinez,4622 Market Pl #518,Turlock,CA,94471,Stanislaus,(209) 722-5416,2002-11-06,2003-11-06
41-433973,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldRestaurant Turlock 90,Steven Rodriguez,516 Washington Way,Turlock,CA,91872,Stanislaus,(209) 204-3594,2004-05-02,2005-05-02
41-370340,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldHouse Modesto Valley LLC 41,Maria Moore,3335 Market Way,Modesto,CA,93916,Stanislaus,(209) 697-2633,2002-06-26,2003-06-26
41-288777,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheGrill Company 1,James Thomas,156 Jefferson Way,Turlock,CA,94911,Stanislaus,(209) 888-5455,2004-01-16,2005-01-16
41-390740,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant,Robert Garcia,9903 Wilshire Way #899,Turlock,CA,92792,Stanislaus,(209) 611-1056,2018-12-25,2019-12-25
41-897164,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldPlace Ceres Corp 53,Paul Taylor,7660 Market Ln,Ceres,CA,92158,Stanislaus,(209) 645-7208,2014-06-03,2015-06-03
41-420929,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Ceres Hills Co,Paul Wilson Anderson,6065 Broadway Ave,Ceres,CA,92700,Stanislaus,(209) 532-6232,2014-12-18,2015-12-18
41-943285,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Modesto,William Moore,8795 1st Pl,Modesto,CA,91030,Stanislaus,(209) 425-3073,2014-01-10,2015-01-10
41-397457,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe,James Gonzalez,8115 3rd St,Ceres,CA,94368,Stanislaus,(209) 898-6372,2016-05-19,2017-05-19
41-509440,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Turlock,Steven Thomas,2379 Lincoln Blvd,Turlock,CA,95324,Stanislaus,(209) 472-7286,2001-04-15,2002-04-15
41-789295,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Group,Paul Brown,1017 4th St,Ceres,CA,92439,Stanislaus,(209) 452-9886,2003-02-25,2004-02-25
41-380361,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House 15,Jennifer Hernandez Davis,3772 Broadway St,Turlock,CA,92813,Stanislaus,(209) 467-7638,2009-08-20,2010-08-20
41-726687,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Group,Jennifer Jones Thomas,4889 Oak Ave,Modesto,CA,93616,Stanislaus,(209) 457-6588,2024-02-03,2025-02-03
41-212044,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Inc,William Brown,7495 Wilshire Pl,Ceres,CA,90274,Stanislaus,(209) 787-4909,2010-07-24,2011-07-24
41-125751,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldEatery Stanislaus 57,Kenneth Gonzalez,6391 Front Dr #402,Modesto,CA,94425,Stanislaus,(209) 382-5914,2019-10-23,2020-10-23
41-331076,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Turlock Hills,William Hernandez,6940 Ocean Pl,Turlock,CA,95158,Stanislaus,(209) 228-3587,2005-04-18,2006-04-18
41-947108,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Inc,Andrew Martinez Martinez,3964 Market Ave,Ceres,CA,94872,Stanislaus,(209) 715-4715,2005-03-14,2006-03-14
41-689432,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Eatery Co,Matthew Williams,1037 5th St,Turlock,CA,90622,Stanislaus,(209) 606-8305,2019-10-12,2020-10-12
41-302655,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Stanislaus Group,William Smith,6951 Broadway Way,Modesto,CA,94141,Stanislaus,(209) 648-5632,2022-01-22,2023-01-22
41-275663,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,Paul Davis,2849 Sunset Pl,Modesto,CA,91115,Stanislaus,(209) 674-9396,2019-12-26,2020-12-26
