license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-868650,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Sutter Cafe LLC,Michael Smith,4292 Broad Pl,Sutter,CA,92698,Sutter,(559) 495-2837,2010-06-21,2024-09-26
75-577239,75,Event Permit Holder,ACTIVE,The Sutter Market,Robert Johnson,2643 Center Ln,Sutter,CA,92397,Sutter,(442) 335-8084,2012-10-10,2025-08-06
75-469622,75,Event Permit Holder,ACTIVE,The Sutter Cafe LLC,William Martinez,6653 Main Dr,Sutter,CA,92236,Sutter,(831) 715-6027,2022-01-12,2026-11-09
58-114159,58,Caterer's Beer & Wine,ACTIVE,Sutter Tavern Inc,Matthew Wilson,6182 Center Way,Sutter,CA,94523,Sutter,(559) 947-2215,2014-04-13,2024-12-02
41-115527,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Sutter Tavern,Matthew Martin,5513 Center Blvd,Sutter,CA,94702,Sutter,(831) 540-1966,2016-06-27,2024-01-19
41-825400,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Sutter Cafe LLC,Steven Davis,3008 Center Way,Sutter,CA,95670,Sutter,(916) 368-1575,2023-06-14,2024-05-05
48-543363,48,On-Sale General - Bar/Tavern,ACTIVE,Sutter Bar,Andrew Anderson,1488 Main Blvd,Sutter,CA,91684,Sutter,(707) 204-8630,2021-09-22,2024-05-17
58-573482,58,Caterer's Beer & Wine,ACTIVE,The Sutter Cafe,Daniel Anderson,8580 Center Ct,Sutter,CA,92416,Sutter,(442) 309-8975,2015-08-17,2024-03-27
58-883746,58,Caterer's Beer & Wine,ACTIVE,Sutter Market,Kenneth Martin,1514 Center Dr,Sutter,CA,91698,Sutter,(209) 608-9659,2013-05-01,2024-06-13
48-929823,48,On-Sale General - Bar/Tavern,ACTIVE,Sutter Market Inc,Daniel Gonzalez,2025 Broad Ln,Sutter,CA,90529,Sutter,(559) 711-6652,2019-03-25,2024-10-09
20-334123,20,Off-Sale Beer & Wine,ACTIVE,The Sutter Cafe Inc,John Moore,3537 Center Rd,Sutter,CA,93795,Sutter,(530) 723-3777,2024-11-27,2024-01-05
58-312401,58,Caterer's Beer & Wine,ACTIVE,The Sutter Cafe,Anthony Lopez,252 Main Dr,Sutter,CA,93162,Sutter,(831) 704-4199,2021-02-18,2026-02-21
48-630307,48,On-Sale General - Bar/Tavern,ACTIVE,The Sutter Cafe,Lisa Gonzalez,143 Main Ct,Sutter,CA,92909,Sutter,(831) 218-9857,2019-11-27,2026-05-17
41-198338,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Sutter Tavern,David Davis,7018 Broad Way,Sutter,CA,91594,Sutter,(530) 691-3655,2018-03-04,2024-07-08
41-895713,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Sutter Bar,William Johnson,2404 Center Pl,Sutter,CA,93443,Sutter,(707) 448-8390,2023-01-23,2026-07-23
21-207799,21,Off-Sale General,ACTIVE,The Sutter Bar LLC,Robert Lopez,6727 Center St,Sutter,CA,93337,Sutter,(442) 732-6790,2012-09-01,2026-11-12
58-358997,58,Caterer's Beer & Wine,ACTIVE,Sutter Tavern LLC,James Martin,5816 Broad St,Sutter,CA,94640,Sutter,(707) 684-8405,2021-07-25,2026-05-08
47-713724,47,On-Sale General - Restaurant,ACTIVE,Sutter Restaurant,Robert Lopez,1473 Center Pl,Sutter,CA,91873,Sutter,(916) 436-6457,2017-07-01,2026-06-10
48-364014,48,On-Sale General - Bar/Tavern,ACTIVE,The Sutter Market Inc,Maria Miller,3317 Broad Ln,Sutter,CA,95657,Sutter,(559) 525-2485,2010-06-21,2024-11-05
41-874347,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Sutter Restaurant Inc,Maria Anderson,2259 Main Pl,Sutter,CA,94761,Sutter,(916) 601-4929,2024-05-14,2026-03-03
41-267763,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Sutter Tavern,Anthony Miller,4198 Broad Ct,Sutter,CA,95488,Sutter,(831) 476-3326,2023-05-06,2024-03-05
58-107423,58,Caterer's Beer & Wine,ACTIVE,Sutter Market LLC,Daniel Jones,6688 Main Way,Sutter,CA,90916,Sutter,(209) 449-4714,2020-04-03,2024-12-14
75-931982,75,Event Permit Holder,ACTIVE,The Sutter Cafe,John Williams,6559 Center Ct,Sutter,CA,92022,Sutter,(916) 480-3139,2021-09-18,2024-04-11
41-148499,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Sutter Tavern,James Jackson,5590 Main Ln,Sutter,CA,94705,Sutter,(916) 463-4086,2017-09-12,2024-08-22
41-824651,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Sutter Restaurant Inc,Anthony Johnson,2861 Center Ln,Sutter,CA,94893,Sutter,(442) 577-9702,2023-05-15,2026-11-03
58-140073,58,Caterer's Beer & Wine,ACTIVE,The Sutter Market,Andrew Hernandez,4445 Center Ln,Sutter,CA,92222,Sutter,(707) 686-9007,2024-03-22,2025-05-07
20-926659,20,Off-Sale Beer & Wine,ACTIVE,Sutter Bar,Andrew Anderson,1549 Main Pl,Sutter,CA,90812,Sutter,(442) 376-4042,2010-11-07,2024-06-18
75-356946,75,Event Permit Holder,ACTIVE,Sutter Tavern Inc,Anthony Gonzalez,3753 Broad Rd,Sutter,CA,92604,Sutter,(916) 979-8569,2010-10-18,2026-01-20
58-649919,58,Caterer's Beer & Wine,ACTIVE,Sutter Cafe,Daniel Rodriguez,7572 Main Way,Sutter,CA,93682,Sutter,(916) 388-5604,2016-07-03,2025-05-12
58-995580,58,Caterer's Beer & Wine,ACTIVE,The Sutter Market Inc,William Thomas,2152 Center Ave,Sutter,CA,92421,Sutter,(831) 797-8720,2013-03-03,2024-02-24
41-584431,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Sutter Restaurant Inc,Daniel Rodriguez,5137 Main St,Sutter,CA,92357,Sutter,(916) 569-9964,2015-10-03,2024-05-11
