license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-458994,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Tehama Bar,William Thomas,8575 Center Way,Tehama,CA,90414,Tehama,(831) 712-5577,2024-06-24,2025-10-06
75-126705,75,Event Permit Holder,ACTIVE,Tehama Tavern Inc,Robert Gonzalez,6122 Main Pl,Tehama,CA,91860,Tehama,(916) 940-1662,2020-09-04,2024-01-03
41-165865,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tehama Bar LLC,John Johnson,9973 Main Pl,Tehama,CA,93011,Tehama,(760) 296-7234,2017-08-12,2025-02-25
21-577019,21,Off-Sale General,ACTIVE,The Tehama Market LLC,Michael Brown,4172 Main St,Tehama,CA,92925,Tehama,(559) 279-8662,2010-11-13,2025-03-09
21-915632,21,Off-Sale General,ACTIVE,Tehama Bar,Anthony Smith,2306 Main Way,Tehama,CA,93486,Tehama,(831) 771-8906,2014-02-22,2025-09-03
41-300271,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tehama Bar LLC,James Jones,7835 Broad Pl,Tehama,CA,95877,Tehama,(442) 626-6224,2013-04-26,2024-06-10
20-526150,20,Off-Sale Beer & Wine,ACTIVE,Tehama Cafe LLC,Robert Gonzalez,3781 Center Ct,Tehama,CA,91109,Tehama,(530) 806-6360,2024-03-26,2024-10-07
41-281889,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Tehama Bar,Kenneth Jones,9605 Main Ave,Tehama,CA,95875,Tehama,(442) 469-6479,2011-11-22,2024-04-28
58-939971,58,Caterer's Beer & Wine,ACTIVE,The Tehama Market Inc,Robert Gonzalez,7850 Broad Pl,Tehama,CA,91792,Tehama,(559) 272-5843,2022-02-02,2025-03-18
21-632023,21,Off-Sale General,ACTIVE,Tehama Restaurant,Paul Lopez,322 Main Way,Tehama,CA,92329,Tehama,(707) 572-2921,2023-01-14,2024-10-06
47-637738,47,On-Sale General - Restaurant,ACTIVE,Tehama Tavern Inc,Andrew Wilson,1841 Broad St,Tehama,CA,92737,Tehama,(760) 721-2561,2014-09-10,2025-01-03
21-837916,21,Off-Sale General,ACTIVE,Tehama Tavern LLC,Christopher Johnson,5894 Broad Ct,Tehama,CA,93368,Tehama,(831) 366-4236,2010-06-13,2026-05-03
