license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
20-238006,20,Off-Sale Beer & Wine,ACTIVE,The Trinity Tavern,Andrew Thomas,2314 Main Ave,Trinity,CA,94779,Trinity,(916) 523-4670,2020-07-06,2024-05-18
47-481925,47,On-Sale General - Restaurant,ACTIVE,Trinity Tavern,John Jackson,4840 Broad Blvd,Trinity,CA,95873,Trinity,(559) 675-8749,2024-10-06,2024-04-07
41-994018,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Trinity Market,John Wilson,6493 Center Way,Trinity,CA,91459,Trinity,(831) 455-8630,2012-01-25,2025-06-16
48-267216,48,On-Sale General - Bar/Tavern,ACTIVE,Trinity Tavern,Matthew Miller,5831 Broad St,Trinity,CA,91062,Trinity,(559) 566-7650,2022-02-06,2024-06-08
75-640067,75,Event Permit Holder,ACTIVE,Trinity Restaurant Inc,Anthony Thomas,3278 Center Ln,Trinity,CA,95134,Trinity,(559) 311-6315,2023-07-04,2026-01-28
21-723395,21,Off-Sale General,ACTIVE,Trinity Market LLC,Andrew Martin,5227 Main St,Trinity,CA,94210,Trinity,(559) 424-2771,2016-04-14,2025-06-04
47-765110,47,On-Sale General - Restaurant,ACTIVE,Trinity Bar LLC,John Johnson,3775 Main Ct,Trinity,CA,94480,Trinity,(559) 488-3683,2019-09-19,2025-02-21
75-360325,75,Event Permit Holder,ACTIVE,The Trinity Tavern Inc,Maria Martin,4062 Broad Ave,Trinity,CA,93049,Trinity,(530) 676-8904,2016-01-18,2025-09-17
48-245473,48,On-Sale General - Bar/Tavern,ACTIVE,Trinity Market Inc,James Johnson,871 Center Way,Trinity,CA,92693,Trinity,(831) 846-1579,2021-05-03,2025-07-07
21-196925,21,Off-Sale General,ACTIVE,Trinity Cafe Inc,Anthony Martin,1617 Main Pl,Trinity,CA,95809,Trinity,(760) 781-9026,2024-12-17,2025-09-19
48-927381,48,On-Sale General - Bar/Tavern,ACTIVE,Trinity Cafe LLC,Michelle Gonzalez,6635 Broad Pl,Trinity,CA,91794,Trinity,(916) 524-8944,2013-06-23,2026-05-20
20-139244,20,Off-Sale Beer & Wine,ACTIVE,Trinity Market,David Hernandez,7305 Broad Pl,Trinity,CA,92420,Trinity,(559) 385-2772,2018-05-18,2025-07-06
20-538580,20,Off-Sale Beer & Wine,ACTIVE,The Trinity Cafe LLC,Mark Martinez,9102 Broad Ln,Trinity,CA,95423,Trinity,(916) 690-5182,2020-04-17,2026-01-03
48-547093,48,On-Sale General - Bar/Tavern,ACTIVE,Trinity Restaurant LLC,Jennifer Moore,3800 Main Pl,Trinity,CA,90127,Trinity,(760) 945-9471,2018-12-02,2025-08-22
21-635214,21,Off-Sale General,ACTIVE,Trinity Market,Matthew Jones,9337 Center Ave,Trinity,CA,96116,Trinity,(916) 847-8430,2012-09-12,2024-02-08
75-653085,75,Event Permit Holder,ACTIVE,Trinity Bar,John Wilson,3567 Center Ave,Trinity,CA,92527,Trinity,(760) 399-2981,2019-09-27,2024-03-01
47-463332,47,On-Sale General - Restaurant,ACTIVE,Trinity Market Inc,Kenneth Rodriguez,712 Broad Ave,Trinity,CA,91085,Trinity,(707) 349-6150,2024-10-01,2024-03-24
41-381450,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Trinity Market LLC,Steven Rodriguez,7724 Center Dr,Trinity,CA,90206,Trinity,(530) 555-9026,2022-03-10,2025-05-04
47-703366,47,On-Sale General - Restaurant,ACTIVE,Trinity Bar,Paul Rodriguez,5400 Center Dr,Trinity,CA,91316,Trinity,(831) 725-8617,2019-12-23,2026-10-17
