license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
21-262685,21,Off-Sale General,ACTIVE,Tuolumne Tavern Inc,Michelle Garcia,4843 Center Way,Tuolumne,CA,91212,Tuolumne,(831) 753-9588,2013-08-08,2024-11-03
48-757803,48,On-Sale General - Bar/Tavern,ACTIVE,Tuolumne Tavern Inc,Jennifer Brown,3974 Center St,Tuolumne,CA,90116,Tuolumne,(209) 550-2213,2018-01-05,2024-10-06
20-703266,20,Off-Sale Beer & Wine,ACTIVE,The Tuolumne Market LLC,Matthew Davis,8139 Broad Blvd,Tuolumne,CA,94053,Tuolumne,(916) 620-7919,2012-11-16,2025-01-11
58-922577,58,Caterer's Beer & Wine,ACTIVE,Tuolumne Cafe,Robert Lopez,6331 Main Ln,Tuolumne,CA,91526,Tuolumne,(707) 227-2416,2016-03-21,2025-07-07
20-918729,20,Off-Sale Beer & Wine,ACTIVE,Tuolumne Market Inc,Daniel Rodriguez,1771 Center Ave,Tuolumne,CA,94793,Tuolumne,(209) 974-7567,2013-04-19,2026-03-08
48-998309,48,On-Sale General - Bar/Tavern,ACTIVE,Tuolumne Bar Inc,Maria Williams,8921 Main Rd,Tuolumne,CA,95840,Tuolumne,(760) 603-6016,2014-11-23,2024-06-13
41-670376,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tuolumne Restaurant Inc,Anthony Smith,2275 Main Rd,Tuolumne,CA,94506,Tuolumne,(760) 313-5605,2013-03-07,2025-08-17
47-219230,47,On-Sale General - Restaurant,ACTIVE,Tuolumne Cafe Inc,Lisa Jones,5992 Main Blvd,Tuolumne,CA,90052,Tuolumne,(760) 343-2781,2023-04-19,2025-08-24
41-595979,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Tuolumne Bar LLC,Steven Brown,2211 Broad Blvd,Tuolumne,CA,94759,Tuolumne,(209) 302-1541,2013-06-06,2025-10-25
41-841005,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Tuolumne Restaurant,Kenneth Jones,9203 Broad Blvd,Tuolumne,CA,91100,Tuolumne,(559) 860-3830,2015-05-17,2024-08-17
48-300294,48,On-Sale General - Bar/Tavern,ACTIVE,Tuolumne Cafe Inc,Lisa Moore,4789 Main St,Tuolumne,CA,93453,Tuolumne,(209) 858-9267,2015-09-17,2025-02-25
47-475548,47,On-Sale General - Restaurant,ACTIVE,Tuolumne Market Inc,Anthony Williams,9457 Broad Rd,Tuolumne,CA,92860,Tuolumne,(530) 756-3081,2012-11-01,2024-09-27
20-267793,20,Off-Sale Beer & Wine,ACTIVE,The Tuolumne Bar LLC,Anthony Lopez,2771 Center Dr,Tuolumne,CA,93275,Tuolumne,(559) 626-1820,2015-10-18,2024-02-14
41-101712,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Tuolumne Bar LLC,Kenneth Hernandez,4375 Broad Ct,Tuolumne,CA,96046,Tuolumne,(442) 909-7272,2018-03-12,2024-06-05
21-439534,21,Off-Sale General,ACTIVE,The Tuolumne Cafe,Matthew Davis,746 Main Rd,Tuolumne,CA,92960,Tuolumne,(559) 249-4436,2021-11-07,2025-04-08
21-259124,21,Off-Sale General,ACTIVE,Tuolumne Market LLC,Matthew Anderson,7650 Main Way,Tuolumne,CA,93237,Tuolumne,(530) 391-6581,2017-03-24,2024-01-13
20-764807,20,Off-Sale Beer & Wine,ACTIVE,Tuolumne Bar Inc,Daniel Rodriguez,1667 Broad Rd,Tuolumne,CA,93760,Tuolumne,(707) 885-1157,2018-09-24,2024-09-07
20-427559,20,Off-Sale Beer & Wine,ACTIVE,Tuolumne Market LLC,John Rodriguez,9677 Broad Way,Tuolumne,CA,90338,Tuolumne,(442) 791-5086,2011-04-15,2026-03-27
58-658321,58,Caterer's Beer & Wine,ACTIVE,Tuolumne Bar LLC,Anthony Taylor,7715 Center Dr,Tuolumne,CA,92685,Tuolumne,(760) 916-2415,2013-03-20,2026-05-21
47-958136,47,On-Sale General - Restaurant,ACTIVE,Tuolumne Cafe,John Hernandez,7941 Broad Way,Tuolumne,CA,90055,Tuolumne,(760) 589-9984,2018-02-09,2024-06-07
48-382351,48,On-Sale General - Bar/Tavern,ACTIVE,Tuolumne Tavern LLC,David Jackson,4263 Main Dr,Tuolumne,CA,91678,Tuolumne,(209) 835-5724,2024-06-22,2026-11-04
20-658445,20,Off-Sale Beer & Wine,ACTIVE,Tuolumne Market,Michelle Rodriguez,6767 Center Pl,Tuolumne,CA,94218,Tuolumne,(559) 838-9410,2012-09-18,2024-02-11
20-319488,20,Off-Sale Beer & Wine,ACTIVE,Tuolumne Tavern,Anthony Garcia,2646 Broad Ave,Tuolumne,CA,93059,Tuolumne,(530) 426-6708,2010-01-19,2025-07-11
21-242151,21,Off-Sale General,ACTIVE,Tuolumne Cafe,Maria Thomas,2907 Broad Blvd,Tuolumne,CA,95642,Tuolumne,(530) 669-5498,2015-08-18,2024-06-28
75-495950,75,Event Permit Holder,ACTIVE,Tuolumne Cafe LLC,Andrew Hernandez,7571 Main Ct,Tuolumne,CA,90940,Tuolumne,(209) 919-2080,2020-03-06,2025-11-06
48-472396,48,On-Sale General - Bar/Tavern,ACTIVE,The Tuolumne Restaurant LLC,Paul Taylor,9731 Center Ct,Tuolumne,CA,92117,Tuolumne,(760) 950-8792,2020-08-25,2026-09-23
41-826483,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Tuolumne Cafe LLC,James Williams,6509 Broad Ln,Tuolumne,CA,92496,Tuolumne,(530) 798-6506,2022-05-08,2025-05-07
58-782259,58,Caterer's Beer & Wine,ACTIVE,The Tuolumne Restaurant,Lisa Martin,1144 Main Blvd,Tuolumne,CA,91687,Tuolumne,(530) 640-6932,2022-10-23,2026-06-21
47-756165,47,On-Sale General - Restaurant,ACTIVE,Tuolumne Restaurant,Lisa Williams,6063 Broad Ave,Tuolumne,CA,93981,Tuolumne,(530) 569-1828,2017-03-13,2026-12-16
21-470318,21,Off-Sale General,ACTIVE,The Tuolumne Cafe,Maria Lopez,2865 Center Ct,Tuolumne,CA,92189,Tuolumne,(530) 488-5146,2016-08-15,2026-02-04
20-178979,20,Off-Sale Beer & Wine,ACTIVE,The Tuolumne Restaurant,Michael Gonzalez,2941 Broad Ct,Tuolumne,CA,90313,Tuolumne,(707) 501-2786,2021-11-27,2024-06-22
41-558553,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tuolumne Market Inc,Michael Rodriguez,2889 Broad Dr,Tuolumne,CA,90139,Tuolumne,(707) 717-5100,2014-09-20,2025-04-14
47-388370,47,On-Sale General - Restaurant,ACTIVE,Tuolumne Market Inc,Daniel Jackson,247 Center Ln,Tuolumne,CA,91306,Tuolumne,(831) 371-6924,2017-12-24,2026-11-12
75-337643,75,Event Permit Holder,ACTIVE,Tuolumne Restaurant Inc,Maria Davis,6863 Main Dr,Tuolumne,CA,91872,Tuolumne,(916) 636-5935,2012-04-01,2024-02-18
21-729623,21,Off-Sale General,ACTIVE,Tuolumne Restaurant,William Davis,1546 Main Rd,Tuolumne,CA,91164,Tuolumne,(760) 839-4421,2019-01-11,2024-10-01
