license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
47-292839,47,On-Sale General - Restaurant,ACTIVE,Chophouse Company,Paul Gonzalez,3241 Washington St,Sunnyvale,CA,90661,Santa Clara,(408) 423-5059,2000-07-07,2001-07-07
47-495533,47,On-Sale General - Restaurant,ACTIVE,Brasserie Pasadena Inc,Anthony Garcia,1682 Franklin Way,Pasadena,CA,96198,Los Angeles,(310) 449-7912,2003-06-22,2004-06-22
47-485554,47,On-Sale General - Restaurant,ACTIVE,NewSteakhouse 59,Paul Thomas,737 6th St,Anaheim,CA,92037,Orange,(657) 874-8950,2001-05-08,2002-05-08
47-992990,47,On-Sale General - Restaurant,ACTIVE,TheChophouse Long Beach LLC 96,Maria Thomas,7861 Oak Pl #497,Long Beach,CA,93591,Los Angeles,(626) 932-1600,2024-11-22,2025-11-22
47-795272,47,On-Sale General - Restaurant,ACTIVE,Sports Bar,Christopher Martin,7865 Madison Blvd,Glendale,CA,92868,Los Angeles,(424) 220-6904,2020-10-28,2021-10-28
47-114306,47,On-Sale General - Restaurant,ACTIVE,Pub Glendale Hills Inc,William Smith,217 Maple Ct #699,Glendale,CA,96122,Los Angeles,(213) 758-5735,2016-03-21,2017-03-21
47-807629,47,On-Sale General - Restaurant,ACTIVE,Bar Corp,David Hernandez,8225 Ocean Ct,Palo Alto,CA,90378,Santa Clara,(408) 599-9198,2011-07-19,2012-07-19
47-699381,47,On-Sale General - Restaurant,ACTIVE,Lounge Hayward Co,Mark Jones,4575 Wilshire Dr,Hayward,CA,93014,Alameda,(510) 474-3048,2006-02-02,2007-02-02
47-716748,47,On-Sale General - Restaurant,ACTIVE,Pub Salinas,Lisa Williams,6183 Madison St,Salinas,CA,92401,Monterey,(831) 474-2640,2011-12-21,2012-12-21
47-336225,47,On-Sale General - Restaurant,ACTIVE,Chophouse Livermore Co,Lisa Martin,979 Maple Blvd,Livermore,CA,90559,Alameda,(925) 390-9170,2023-08-27,2024-08-27
47-535582,47,On-Sale General - Restaurant,ACTIVE,Bar San Diego Inc,Michael Johnson Williams,9490 2nd Ave #164,Carlsbad,CA,92702,San Diego,(760) 657-9398,2010-04-06,2011-04-06
47-852684,47,On-Sale General - Restaurant,ACTIVE,Brasserie Richmond,Michael Williams,989 Oak Ln #774,Richmond,CA,95010,Contra Costa,(925) 898-3317,2002-09-03,2003-09-03
47-472568,47,On-Sale General - Restaurant,ACTIVE,Lounge Pasadena Hills,Michael Martin,1680 4th Pl,Pasadena,CA,92085,Los Angeles,(818) 791-4808,2005-01-26,2006-01-26
47-711452,47,On-Sale General - Restaurant,ACTIVE,Pub Anaheim Valley Corp,Steven Jones Johnson,191 Lincoln Pl #935,Anaheim,CA,94453,Orange,(657) 663-7782,2009-10-15,2010-10-15
47-423674,47,On-Sale General - Restaurant,ACTIVE,Tavern Corp,Lisa Taylor,7855 Pico Way,Simi Valley,CA,92863,Ventura,(805) 903-5847,2016-01-03,2017-01-03
47-648239,47,On-Sale General - Restaurant,ACTIVE,Bar & Grill Burbank Inc,Andrew Williams,4163 Madison Way,Burbank,CA,94592,Los Angeles,(310) 386-8918,2021-07-16,2022-07-16
47-426862,47,On-Sale General - Restaurant,ACTIVE,Sports Bar,Michelle Williams,4779 7th Ln,Mountain View,CA,94539,Santa Clara,(669) 820-1576,2022-05-02,2023-05-02
47-215757,47,On-Sale General - Restaurant,ACTIVE,Tavern,Steven Smith,6920 Hollywood Rd,Chula Vista,CA,91573,San Diego,(760) 947-9182,2003-11-17,2004-11-17
47-618753,47,On-Sale General - Restaurant,ACTIVE,Chophouse Santa Monica Valley Group,Michael Johnson,102 State Blvd #741,Santa Monica,CA,94861,Los Angeles,(310) 722-2069,2007-07-13,2008-07-13
47-287749,47,On-Sale General - Restaurant,ACTIVE,OldPub 57,Michael Thomas,9184 Washington Rd,Rancho Cucamonga,CA,93381,San Bernardino,(909) 352-6763,2005-12-03,2006-12-03
47-874376,47,On-Sale General - Restaurant,ACTIVE,NewChophouse Escondido Valley 9,Mark Anderson,1688 Washington St,Escondido,CA,91926,San Diego,(760) 852-4437,2023-11-05,2024-11-05
47-569437,47,On-Sale General - Restaurant,ACTIVE,Bar,Mark Martin,9796 Front Dr #110,Los Angeles,CA,95633,Los Angeles,(213) 343-6981,2018-07-24,2019-07-24
47-276276,47,On-Sale General - Restaurant,ACTIVE,TheChophouse Santa Rosa Valley Co 60,Christopher Miller,7436 5th St,Santa Rosa,CA,90338,Sonoma,(707) 416-2959,2009-10-12,2010-10-12
47-143412,47,On-Sale General - Restaurant,ACTIVE,Pub Fresno Company,Maria Jones Johnson,5925 Madison Rd,Fresno,CA,92149,Fresno,(559) 214-5702,2013-02-04,2014-02-04
47-521013,47,On-Sale General - Restaurant,ACTIVE,Brasserie Bakersfield,Maria Lopez,5129 1st Ct,Bakersfield,CA,91285,Kern,(805) 476-6882,2014-03-01,2015-03-01
47-880244,47,On-Sale General - Restaurant,ACTIVE,Bar & Grill Inc,Michelle Martin,7285 Oak Rd,Palm Springs,CA,94638,Riverside,(951) 922-8909,2005-04-04,2006-04-04
