license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
41-741390,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Thousand Oaks LLC,Maria Rodriguez,1853 Maple Ct,Thousand Oaks,CA,92308,Ventura,(805) 934-6617,2008-01-03,2009-01-03
41-338533,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen,James Smith,4594 Broadway St,Thousand Oaks,CA,95713,Ventura,(805) 853-9042,2015-08-15,2016-08-15
41-175576,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewEatery 74,Michelle Garcia Martin,7133 Lincoln Way #527,Thousand Oaks,CA,92371,Ventura,(805) 614-1341,2014-12-12,2015-12-12
41-633030,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Corp,Anthony Brown,989 Wilshire Pl,Thousand Oaks,CA,95077,Ventura,(820) 933-6952,2021-04-01,2022-04-01
41-327114,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldTavern 75,Maria Gonzalez,3079 Washington Ct,Oxnard,CA,95932,Ventura,(820) 664-2127,2003-01-07,2004-01-07
41-287316,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Inc,Maria Martin,6466 Madison Pl,Ventura,CA,95745,Ventura,(820) 250-7002,2000-04-21,2001-04-21
41-447195,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe LLC,Lisa Hernandez,4759 Washington Ct,Thousand Oaks,CA,93730,Ventura,(820) 236-2525,2012-02-25,2013-02-25
41-957525,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe,Kenneth Moore,3420 3rd Rd #855,Oxnard,CA,95557,Ventura,(820) 532-2979,2006-01-19,2007-01-19
41-711893,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheBistro LLC 43,John Williams,525 State Ave,Ventura,CA,94836,Ventura,(805) 531-3519,2022-11-16,2023-11-16
41-630354,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheRestaurant Ventura 89,James Brown,3583 4th Pl,Ventura,CA,91284,Ventura,(820) 321-7694,2009-01-17,2010-01-17
41-594932,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldSpot 61,Maria Wilson,3929 6th Ct #839,Oxnard,CA,93779,Ventura,(820) 287-6129,2022-07-07,2023-07-07
41-128142,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Company,William Hernandez Wilson,3918 State Ct,Simi Valley,CA,90470,Ventura,(820) 730-1180,2012-03-04,2013-03-04
41-347789,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Corp,Maria Rodriguez Thomas,3336 Wilshire Way,Ventura,CA,92039,Ventura,(820) 492-8344,2002-06-13,2003-06-13
41-858386,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Company,Christopher Martin,5231 5th St,Simi Valley,CA,95705,Ventura,(820) 705-2989,2007-01-27,2008-01-27
41-174861,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Ventura,William Lopez,6002 Front Way #483,Simi Valley,CA,93855,Ventura,(820) 836-1510,2004-10-01,2005-10-01
41-883714,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldCorner 36,Lisa Rodriguez,2400 Lincoln Rd,Ventura,CA,91542,Ventura,(820) 404-3901,2008-02-16,2009-02-16
41-187669,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Company 77,Robert Hernandez Rodriguez,772 Madison Ct #293,Ventura,CA,91723,Ventura,(820) 244-1232,2005-06-15,2006-06-15
41-548497,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Ventura LLC,David Hernandez,1564 6th Blvd,Oxnard,CA,90585,Ventura,(820) 938-9957,2021-05-28,2022-05-28
41-715641,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Group,Steven Johnson,1774 Market Ave #565,Thousand Oaks,CA,94310,Ventura,(820) 938-3027,2006-04-19,2007-04-19
41-628376,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Group,Andrew Williams Hernandez,517 Broadway Ave,Simi Valley,CA,90458,Ventura,(820) 282-5801,2001-08-14,2002-08-14
41-444930,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewCorner Group 93,John Johnson Brown,9034 6th Blvd,Thousand Oaks,CA,91879,Ventura,(820) 435-6006,2016-02-23,2017-02-23
41-389184,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Thousand Oaks Hills Corp,Robert Martin,9297 Sunset Blvd,Thousand Oaks,CA,94860,Ventura,(820) 712-7883,2023-04-19,2024-04-19
41-192915,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner,John Martinez,9938 Pico St,Thousand Oaks,CA,92056,Ventura,(805) 306-7561,2022-10-22,2023-10-22
41-855018,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Ventura,John Taylor,8998 Pico Dr #317,Oxnard,CA,93464,Ventura,(820) 891-7242,2022-09-20,2023-09-20
41-107678,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheCorner 16,James Martinez,8533 3rd Ave #526,Thousand Oaks,CA,92244,Ventura,(805) 827-5669,2006-10-18,2007-10-18
41-759748,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheEatery Oxnard Hills Group 86,John Williams Jones,6413 Pico Rd,Oxnard,CA,91808,Ventura,(805) 937-2385,2014-09-19,2015-09-19
41-182485,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Oxnard Inc,Lisa Martinez,5314 6th Dr #558,Oxnard,CA,92266,Ventura,(820) 636-2253,2013-02-17,2014-02-17
41-994136,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewPlace Simi Valley Co 93,John Miller,7496 Hollywood Ave,Simi Valley,CA,93927,Ventura,(805) 600-8471,2013-03-12,2014-03-12
41-162174,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Corner Company,Michelle Anderson,356 Mission Ct,Simi Valley,CA,90112,Ventura,(805) 448-3572,2022-05-22,2023-05-22
41-208824,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Group,Christopher Davis,9642 State St,Thousand Oaks,CA,94968,Ventura,(805) 529-7640,2008-11-08,2009-11-08
41-580211,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Simi Valley Group,Kenneth Wilson,2883 Sunset Pl,Simi Valley,CA,95198,Ventura,(805) 836-5485,2005-04-26,2006-04-26
41-461629,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldRestaurant Ventura Group 59,Paul Moore,7670 Oak Ave,Ventura,CA,94474,Ventura,(805) 749-5333,2002-10-22,2003-10-22
41-577413,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Co 60,Andrew Martinez,705 Hollywood St,Thousand Oaks,CA,93416,Ventura,(820) 746-2111,2012-06-19,2013-06-19
41-591425,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place Co,Lisa Smith,7998 Jefferson Blvd #829,Simi Valley,CA,90799,Ventura,(805) 877-2007,2016-05-08,2017-05-08
41-771835,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Oxnard,Mark Moore,2847 Madison Dr,Oxnard,CA,93061,Ventura,(820) 854-4863,2007-02-21,2008-02-21
41-482287,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Cafe Ventura,Lisa Martin,483 Main Ln #708,Oxnard,CA,90394,Ventura,(820) 642-6001,2024-06-22,2025-06-22
41-922695,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Corp 11,Lisa Williams,589 Wilshire Way #447,Simi Valley,CA,91863,Ventura,(820) 699-7170,2004-12-23,2005-12-23
41-916790,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Group,Steven Davis Davis,799 Front Dr,Oxnard,CA,93547,Ventura,(820) 424-1245,2017-09-10,2018-09-10
41-103230,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Tavern Ventura LLC,Michael Williams Gonzalez,5080 Broadway Blvd,Simi Valley,CA,93007,Ventura,(820) 385-6881,2011-08-12,2012-08-12
41-756006,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Bistro Oxnard Co,James Davis,813 5th Way,Oxnard,CA,94380,Ventura,(820) 730-5884,2007-02-06,2008-02-06
41-927556,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheRestaurant Company 51,Robert Miller,9411 2nd Ave,Ventura,CA,92750,Ventura,(820) 479-6754,2018-05-03,2019-05-03
41-461255,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Thousand Oaks,Michael Davis,6507 Mission Way,Thousand Oaks,CA,95783,Ventura,(805) 754-5454,2014-03-28,2015-03-28
41-593626,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Ventura Valley,Kenneth Anderson,6389 Lincoln Ave,Ventura,CA,94427,Ventura,(805) 287-2474,2018-06-04,2019-06-04
41-395292,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place,Kenneth Hernandez,2554 Maple Blvd,Oxnard,CA,94648,Ventura,(820) 463-3213,2012-02-14,2013-02-14
41-535186,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Restaurant Corp,Mark Wilson,5239 Madison Rd,Thousand Oaks,CA,95192,Ventura,(820) 425-9153,2019-10-12,2020-10-12
41-162128,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Corp,Christopher Rodriguez,4365 4th Dr,Thousand Oaks,CA,92681,Ventura,(805) 368-7853,2001-06-28,2002-06-28
41-827953,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Spot Inc,Kenneth Moore,2511 Pico St #348,Oxnard,CA,93044,Ventura,(805) 427-4675,2011-02-04,2012-02-04
41-211186,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill,Andrew Hernandez,106 Ocean Rd,Oxnard,CA,94001,Ventura,(805) 888-1760,2004-11-15,2005-11-15
41-669872,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheCorner 13,Jennifer Williams,3798 Lincoln Ave #305,Oxnard,CA,94305,Ventura,(820) 263-8180,2005-01-04,2006-01-04
41-867382,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Grill Ventura,Steven Hernandez,7990 1st Way,Ventura,CA,95008,Ventura,(820) 584-7356,2005-05-04,2006-05-04
41-593528,41,On-Sale Beer & Wine - Eating Place,ACTIVE,House Ventura,Christopher Davis,3528 Hollywood Way,Thousand Oaks,CA,94352,Ventura,(820) 525-2856,2002-05-03,2003-05-03
41-764634,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldCafe Simi Valley 31,Matthew Wilson Martinez,9107 Oak Pl #974,Simi Valley,CA,94229,Ventura,(805) 700-5086,2018-08-02,2019-08-02
41-693422,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Diner Co,Anthony Davis,2978 3rd Pl,Ventura,CA,93312,Ventura,(820) 659-1855,2017-06-09,2018-06-09
41-135594,41,On-Sale Beer & Wine - Eating Place,ACTIVE,TheCorner LLC 11,Andrew Davis Johnson,8088 Oak Ln #623,Simi Valley,CA,95199,Ventura,(820) 393-7807,2011-09-09,2012-09-09
41-864842,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Kitchen Thousand Oaks Valley Inc,Matthew Wilson Jones,2747 4th Pl #802,Thousand Oaks,CA,90047,Ventura,(805) 298-1890,2010-03-15,2011-03-15
41-273925,41,On-Sale Beer & Wine - Eating Place,ACTIVE,OldRestaurant Ventura Hills 58,Jennifer Thomas Davis,7406 Hollywood Way,Ventura,CA,90060,Ventura,(805) 435-9484,2015-01-11,2016-01-11
41-727857,41,On-Sale Beer & Wine - Eating Place,ACTIVE,NewBistro Simi Valley Valley Group 20,Mark Gonzalez Williams,8754 Sunset Dr #682,Simi Valley,CA,94102,Ventura,(820) 745-9236,2017-12-26,2018-12-26
41-263968,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Place 69,Maria Gonzalez,7060 3rd Pl,Oxnard,CA,93140,Ventura,(820) 608-9218,2024-03-02,2025-03-02
