license_number,license_type,license_type_name,status,business_name,owner_name,address,city,state,zip,county,phone,issue_date,expiration_date
48-768452,48,On-Sale General - Bar/Tavern,ACTIVE,Yuba Market Inc,Michael Hernandez,8317 Broad Way,Yuba,CA,90989,Yuba,(831) 408-7419,2020-05-03,2024-01-12
48-792898,48,On-Sale General - Bar/Tavern,ACTIVE,The Yuba Tavern LLC,Mark Miller,7276 Main Ln,Yuba,CA,95063,Yuba,(442) 686-1063,2012-02-26,2026-05-17
20-372733,20,Off-Sale Beer & Wine,ACTIVE,Yuba Restaurant LLC,Paul Williams,8761 Center Rd,Yuba,CA,93581,Yuba,(831) 371-8276,2015-04-03,2025-03-16
21-476568,21,Off-Sale General,ACTIVE,Yuba Restaurant,John Wilson,4256 Main Ct,Yuba,CA,95602,Yuba,(916) 699-9211,2011-10-06,2024-08-13
20-778526,20,Off-Sale Beer & Wine,ACTIVE,Yuba Bar LLC,Michelle Jones,7459 Center Ln,Yuba,CA,90350,Yuba,(916) 759-2115,2022-09-12,2026-08-19
20-594236,20,Off-Sale Beer & Wine,ACTIVE,The Yuba Market LLC,William Jones,2518 Center Way,Yuba,CA,92504,Yuba,(707) 519-1036,2022-02-26,2025-09-03
47-835309,47,On-Sale General - Restaurant,ACTIVE,Yuba Tavern,Daniel Hernandez,6298 Main St,Yuba,CA,94272,Yuba,(442) 869-1845,2019-02-17,2025-02-27
20-902376,20,Off-Sale Beer & Wine,ACTIVE,Yuba Market,Maria Anderson,2048 Center Ct,Yuba,CA,94813,Yuba,(707) 703-4375,2010-09-11,2024-08-08
48-354676,48,On-Sale General - Bar/Tavern,ACTIVE,Yuba Restaurant,Steven Jackson,2065 Center Ct,Yuba,CA,96165,Yuba,(707) 562-1501,2013-06-20,2025-04-25
21-530392,21,Off-Sale General,ACTIVE,The Yuba Restaurant LLC,James Taylor,8262 Broad Ln,Yuba,CA,91016,Yuba,(831) 498-8008,2010-01-09,2025-07-02
58-814095,58,Caterer's Beer & Wine,ACTIVE,Yuba Restaurant Inc,William Rodriguez,5603 Center Ln,Yuba,CA,90293,Yuba,(209) 273-9833,2023-03-21,2026-12-11
47-859888,47,On-Sale General - Restaurant,ACTIVE,Yuba Tavern LLC,Lisa Wilson,7452 Center Ct,Yuba,CA,94014,Yuba,(707) 859-1241,2012-11-18,2025-06-08
58-685861,58,Caterer's Beer & Wine,ACTIVE,The Yuba Cafe,Matthew Thomas,7862 Main Ln,Yuba,CA,91196,Yuba,(760) 336-4336,2010-11-18,2026-12-23
21-671482,21,Off-Sale General,ACTIVE,Yuba Market,Matthew Wilson,2577 Center Ct,Yuba,CA,96156,Yuba,(530) 935-7037,2017-10-02,2024-06-26
47-774990,47,On-Sale General - Restaurant,ACTIVE,Yuba Restaurant LLC,James Anderson,3542 Center Pl,Yuba,CA,95964,Yuba,(707) 617-7777,2020-07-01,2024-07-15
41-990430,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Yuba Bar,Maria Martinez,2420 Main Pl,Yuba,CA,95014,Yuba,(559) 867-7374,2010-09-15,2025-07-14
58-286146,58,Caterer's Beer & Wine,ACTIVE,Yuba Market LLC,Maria Thomas,1707 Main Rd,Yuba,CA,90121,Yuba,(442) 349-2748,2019-08-17,2024-06-15
20-162147,20,Off-Sale Beer & Wine,ACTIVE,The Yuba Cafe,Jennifer Davis,9603 Main Pl,Yuba,CA,91941,Yuba,(760) 581-9471,2014-05-01,2024-04-15
75-719737,75,Event Permit Holder,ACTIVE,Yuba Tavern Inc,Andrew Jackson,5692 Broad Ln,Yuba,CA,95392,Yuba,(707) 915-8212,2016-08-12,2025-09-16
48-365653,48,On-Sale General - Bar/Tavern,ACTIVE,The Yuba Restaurant,Steven Thomas,4750 Center Ct,Yuba,CA,94658,Yuba,(442) 917-8119,2011-04-08,2026-02-08
20-852883,20,Off-Sale Beer & Wine,ACTIVE,Yuba Market LLC,Daniel Hernandez,8917 Main Blvd,Yuba,CA,92269,Yuba,(530) 231-9032,2019-02-28,2025-01-11
21-607911,21,Off-Sale General,ACTIVE,Yuba Market,Andrew Wilson,5374 Center Dr,Yuba,CA,93887,Yuba,(209) 446-8099,2010-01-05,2026-09-04
41-950068,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Yuba Market LLC,Maria Thomas,3683 Broad Ave,Yuba,CA,91177,Yuba,(916) 279-6110,2021-04-06,2024-07-05
21-175629,21,Off-Sale General,ACTIVE,The Yuba Bar LLC,Christopher Jackson,5200 Center Ave,Yuba,CA,91764,Yuba,(530) 430-8062,2014-01-26,2025-04-01
47-757981,47,On-Sale General - Restaurant,ACTIVE,Yuba Cafe Inc,Michelle Jones,3828 Broad Ln,Yuba,CA,90140,Yuba,(831) 208-9834,2019-07-20,2024-10-11
41-601106,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Yuba Restaurant Inc,Robert Brown,8262 Center Way,Yuba,CA,95683,Yuba,(559) 480-3125,2022-10-06,2025-10-02
20-601750,20,Off-Sale Beer & Wine,ACTIVE,Yuba Cafe Inc,Robert Garcia,9817 Broad Pl,Yuba,CA,93293,Yuba,(442) 717-2857,2023-05-21,2025-12-23
58-925979,58,Caterer's Beer & Wine,ACTIVE,The Yuba Cafe LLC,Michelle Jones,4940 Broad Blvd,Yuba,CA,95279,Yuba,(530) 803-6576,2012-03-06,2026-05-05
75-960261,75,Event Permit Holder,ACTIVE,Yuba Restaurant,Matthew Jones,9260 Main Rd,Yuba,CA,94715,Yuba,(209) 224-2738,2019-07-11,2026-04-16
20-410498,20,Off-Sale Beer & Wine,ACTIVE,Yuba Bar LLC,Steven Gonzalez,8136 Center Dr,Yuba,CA,92329,Yuba,(831) 609-8138,2010-09-09,2026-11-03
75-854776,75,Event Permit Holder,ACTIVE,Yuba Cafe LLC,Lisa Rodriguez,5141 Center Pl,Yuba,CA,94497,Yuba,(559) 885-7938,2019-06-07,2024-01-15
58-120109,58,Caterer's Beer & Wine,ACTIVE,Yuba Restaurant Inc,Steven Brown,4542 Broad Way,Yuba,CA,94841,Yuba,(760) 811-1124,2017-12-02,2026-02-06
48-937108,48,On-Sale General - Bar/Tavern,ACTIVE,Yuba Bar,Lisa Wilson,9636 Center Ave,Yuba,CA,91541,Yuba,(916) 785-4567,2013-06-27,2024-09-05
41-233793,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Yuba Restaurant Inc,Anthony Smith,4073 Broad St,Yuba,CA,94753,Yuba,(707) 663-3965,2018-09-18,2024-11-01
21-473100,21,Off-Sale General,ACTIVE,The Yuba Bar Inc,Christopher Miller,4431 Main Blvd,Yuba,CA,95992,Yuba,(760) 593-1046,2024-02-16,2026-10-18
48-528402,48,On-Sale General - Bar/Tavern,ACTIVE,The Yuba Restaurant Inc,Robert Wilson,2732 Main Ave,Yuba,CA,92285,Yuba,(530) 355-3658,2016-03-14,2025-08-10
21-203545,21,Off-Sale General,ACTIVE,Yuba Bar Inc,Lisa Gonzalez,3823 Main Dr,Yuba,CA,91889,Yuba,(559) 588-8283,2022-05-01,2024-08-16
58-453606,58,Caterer's Beer & Wine,ACTIVE,The Yuba Tavern LLC,Robert Martinez,7427 Center Way,Yuba,CA,90906,Yuba,(760) 205-7053,2024-01-05,2024-04-26
58-848249,58,Caterer's Beer & Wine,ACTIVE,Yuba Restaurant,John Wilson,1807 Broad Ave,Yuba,CA,91909,Yuba,(707) 727-3010,2013-06-12,2025-03-17
58-291094,58,Caterer's Beer & Wine,ACTIVE,The Yuba Market,Daniel Williams,2955 Broad Way,Yuba,CA,90119,Yuba,(530) 859-8657,2011-02-14,2026-10-14
75-232996,75,Event Permit Holder,ACTIVE,Yuba Tavern LLC,Kenneth Smith,3163 Broad St,Yuba,CA,91252,Yuba,(831) 929-7907,2020-09-25,2024-05-22
47-773418,47,On-Sale General - Restaurant,ACTIVE,Yuba Restaurant,Mark Thomas,245 Main St,Yuba,CA,94385,Yuba,(530) 729-6434,2015-05-18,2025-06-06
41-879709,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Yuba Restaurant LLC,Matthew Brown,8817 Main Way,Yuba,CA,91997,Yuba,(530) 552-7704,2021-11-20,2024-05-05
58-954102,58,Caterer's Beer & Wine,ACTIVE,Yuba Cafe LLC,Kenneth Taylor,5381 Broad Way,Yuba,CA,90030,Yuba,(442) 649-6129,2020-02-21,2024-08-17
47-383105,47,On-Sale General - Restaurant,ACTIVE,The Yuba Cafe Inc,Mark Garcia,6944 Center Ln,Yuba,CA,90087,Yuba,(559) 882-3253,2013-07-01,2025-12-08
20-421485,20,Off-Sale Beer & Wine,ACTIVE,Yuba Market LLC,Andrew Williams,388 Main Dr,Yuba,CA,91389,Yuba,(831) 676-4241,2018-12-17,2024-11-14
48-601210,48,On-Sale General - Bar/Tavern,ACTIVE,Yuba Market LLC,David Taylor,7195 Main Way,Yuba,CA,91227,Yuba,(760) 587-7878,2010-07-07,2024-10-06
41-168444,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Yuba Cafe,Kenneth Hernandez,4791 Main Ln,Yuba,CA,92293,Yuba,(559) 963-9341,2012-02-24,2026-11-09
21-512711,21,Off-Sale General,ACTIVE,The Yuba Tavern,Michelle Davis,2090 Center Ave,Yuba,CA,95585,Yuba,(559) 426-7166,2019-09-01,2025-08-08
41-513314,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Yuba Market Inc,Steven Johnson,1727 Main Blvd,Yuba,CA,94419,Yuba,(559) 354-7649,2021-10-13,2025-07-05
75-432262,75,Event Permit Holder,ACTIVE,The Yuba Cafe LLC,Michael Jones,5778 Center Ave,Yuba,CA,93928,Yuba,(559) 418-2476,2019-08-16,2024-10-26
20-854844,20,Off-Sale Beer & Wine,ACTIVE,Yuba Bar LLC,John Jones,9802 Broad Dr,Yuba,CA,93718,Yuba,(760) 207-3433,2024-09-16,2026-01-11
20-651448,20,Off-Sale Beer & Wine,ACTIVE,Yuba Tavern LLC,Michael Martin,7428 Center Blvd,Yuba,CA,92585,Yuba,(442) 969-8302,2011-08-18,2025-09-10
75-178148,75,Event Permit Holder,ACTIVE,Yuba Market Inc,William Rodriguez,2305 Main Ave,Yuba,CA,95618,Yuba,(831) 242-6664,2017-02-07,2026-11-09
75-495851,75,Event Permit Holder,ACTIVE,Yuba Bar LLC,Anthony Rodriguez,7689 Center St,Yuba,CA,90529,Yuba,(209) 425-9093,2020-05-05,2024-11-09
21-745615,21,Off-Sale General,ACTIVE,Yuba Market LLC,Jennifer Jones,5514 Broad Dr,Yuba,CA,94940,Yuba,(530) 494-4930,2016-02-12,2025-05-13
21-294831,21,Off-Sale General,ACTIVE,Yuba Bar,James Hernandez,6231 Center St,Yuba,CA,93176,Yuba,(831) 501-1444,2021-05-05,2025-04-26
58-435798,58,Caterer's Beer & Wine,ACTIVE,Yuba Market Inc,Mark Thomas,5000 Broad Way,Yuba,CA,93075,Yuba,(760) 498-9374,2024-07-14,2026-10-27
58-172963,58,Caterer's Beer & Wine,ACTIVE,Yuba Bar,Lisa Garcia,5623 Main Rd,Yuba,CA,90959,Yuba,(760) 216-1142,2017-11-26,2025-02-27
75-594040,75,Event Permit Holder,ACTIVE,Yuba Cafe LLC,James Johnson,7063 Main Ct,Yuba,CA,95300,Yuba,(530) 975-9193,2022-02-08,2025-07-09
48-885808,48,On-Sale General - Bar/Tavern,ACTIVE,The Yuba Market,Paul Lopez,9920 Center Way,Yuba,CA,96016,Yuba,(530) 548-9155,2023-04-12,2026-11-04
20-497254,20,Off-Sale Beer & Wine,ACTIVE,Yuba Restaurant LLC,John Smith,8024 Center Way,Yuba,CA,93535,Yuba,(530) 772-7726,2017-08-14,2026-10-04
20-167187,20,Off-Sale Beer & Wine,ACTIVE,The Yuba Market LLC,Lisa Anderson,985 Main St,Yuba,CA,94126,Yuba,(760) 774-7830,2010-12-23,2024-10-24
20-209924,20,Off-Sale Beer & Wine,ACTIVE,Yuba Tavern Inc,Christopher Martinez,1388 Broad Dr,Yuba,CA,91766,Yuba,(530) 383-8860,2012-03-06,2025-08-16
58-799022,58,Caterer's Beer & Wine,ACTIVE,The Yuba Market LLC,Maria Smith,9828 Main Rd,Yuba,CA,94693,Yuba,(916) 289-7445,2019-03-12,2024-02-13
58-818162,58,Caterer's Beer & Wine,ACTIVE,The Yuba Cafe LLC,John Smith,7156 Main Dr,Yuba,CA,93744,Yuba,(916) 601-8729,2023-06-09,2026-07-18
75-839830,75,Event Permit Holder,ACTIVE,Yuba Restaurant Inc,Steven Jones,3771 Broad Ave,Yuba,CA,95240,Yuba,(530) 493-3273,2014-05-19,2025-04-12
41-218827,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Yuba Cafe LLC,Anthony Jones,4748 Main Dr,Yuba,CA,93792,Yuba,(442) 927-5733,2014-09-26,2024-07-02
47-615101,47,On-Sale General - Restaurant,ACTIVE,The Yuba Tavern LLC,Steven Garcia,8200 Main Rd,Yuba,CA,93555,Yuba,(209) 301-4504,2010-02-26,2024-10-01
20-382086,20,Off-Sale Beer & Wine,ACTIVE,Yuba Tavern Inc,Michelle Williams,1346 Main Pl,Yuba,CA,94265,Yuba,(559) 986-6365,2010-08-01,2026-04-01
58-391814,58,Caterer's Beer & Wine,ACTIVE,Yuba Market,David Hernandez,7161 Broad Ln,Yuba,CA,90164,Yuba,(209) 702-1816,2022-10-13,2024-07-05
47-315706,47,On-Sale General - Restaurant,ACTIVE,The Yuba Restaurant,Mark Lopez,8965 Main Rd,Yuba,CA,94276,Yuba,(442) 493-7258,2019-04-09,2024-03-16
20-429518,20,Off-Sale Beer & Wine,ACTIVE,Yuba Tavern,James Smith,7120 Broad Dr,Yuba,CA,94482,Yuba,(831) 972-4208,2022-01-03,2024-06-10
58-613148,58,Caterer's Beer & Wine,ACTIVE,Yuba Restaurant Inc,Kenneth Miller,5507 Center Dr,Yuba,CA,91125,Yuba,(530) 552-5138,2014-05-20,2024-11-01
75-792619,75,Event Permit Holder,ACTIVE,Yuba Cafe,Matthew Thomas,1420 Broad Blvd,Yuba,CA,91023,Yuba,(559) 327-9297,2023-03-02,2025-06-13
47-181235,47,On-Sale General - Restaurant,ACTIVE,The Yuba Market Inc,James Jackson,9465 Main Blvd,Yuba,CA,93208,Yuba,(760) 391-4015,2018-04-02,2025-07-11
58-252233,58,Caterer's Beer & Wine,ACTIVE,Yuba Bar,Jennifer Thomas,1490 Broad Ln,Yuba,CA,92216,Yuba,(916) 455-9219,2016-08-02,2024-06-20
41-553717,41,On-Sale Beer & Wine - Eating Place,ACTIVE,The Yuba Market LLC,Kenneth Lopez,5940 Center Ave,Yuba,CA,93926,Yuba,(831) 684-6229,2016-05-15,2025-10-03
47-973520,47,On-Sale General - Restaurant,ACTIVE,Yuba Bar LLC,Michael Miller,1193 Broad Rd,Yuba,CA,92805,Yuba,(209) 981-7047,2012-10-24,2024-03-28
48-587238,48,On-Sale General - Bar/Tavern,ACTIVE,Yuba Restaurant,Christopher Davis,1842 Main Ct,Yuba,CA,91721,Yuba,(442) 867-1599,2016-05-13,2026-09-11
21-626951,21,Off-Sale General,ACTIVE,Yuba Restaurant Inc,Maria Martinez,9652 Broad Ct,Yuba,CA,95352,Yuba,(209) 952-4410,2020-01-18,2025-01-04
47-321135,47,On-Sale General - Restaurant,ACTIVE,Yuba Tavern Inc,Andrew Taylor,482 Main St,Yuba,CA,92902,Yuba,(760) 537-4362,2012-09-01,2026-11-07
41-950792,41,On-Sale Beer & Wine - Eating Place,ACTIVE,Yuba Restaurant Inc,Lisa Martinez,2871 Broad Ln,Yuba,CA,94022,Yuba,(442) 923-4620,2012-08-10,2026-12-11
58-681245,58,Caterer's Beer & Wine,ACTIVE,Yuba Cafe,Michelle Martinez,3950 Main Rd,Yuba,CA,93440,Yuba,(831) 834-6121,2014-04-18,2026-08-09
20-596939,20,Off-Sale Beer & Wine,ACTIVE,Yuba Bar,Daniel Garcia,5630 Main Dr,Yuba,CA,92401,Yuba,(442) 416-7832,2013-02-20,2026-05-17
20-417384,20,Off-Sale Beer & Wine,ACTIVE,Yuba Cafe LLC,Matthew Davis,4148 Main Pl,Yuba,CA,92301,Yuba,(831) 418-5111,2024-10-19,2025-09-09
48-788417,48,On-Sale General - Bar/Tavern,ACTIVE,Yuba Restaurant,Jennifer Brown,4345 Main Way,Yuba,CA,94935,Yuba,(530) 915-4196,2020-09-07,2025-06-17
21-147120,21,Off-Sale General,ACTIVE,Yuba Restaurant Inc,Paul Hernandez,5446 Center Ave,Yuba,CA,90501,Yuba,(707) 979-4715,2020-05-23,2024-04-04
75-164116,75,Event Permit Holder,ACTIVE,The Yuba Cafe,Steven Taylor,6389 Center Ct,Yuba,CA,96161,Yuba,(559) 725-6465,2014-09-01,2025-05-09
21-100539,21,Off-Sale General,ACTIVE,Yuba Restaurant LLC,David Jones,816 Broad Ln,Yuba,CA,95486,Yuba,(831) 712-5422,2012-10-23,2025-11-11
47-342172,47,On-Sale General - Restaurant,ACTIVE,The Yuba Tavern LLC,Anthony Wilson,7739 Main Blvd,Yuba,CA,91580,Yuba,(707) 315-2633,2022-12-25,2025-07-01
47-268717,47,On-Sale General - Restaurant,ACTIVE,Yuba Restaurant Inc,Lisa Lopez,8022 Center Way,Yuba,CA,93990,Yuba,(831) 766-8457,2014-06-04,2026-01-14
21-664560,21,Off-Sale General,ACTIVE,Yuba Bar Inc,John Williams,6975 Main Blvd,Yuba,CA,94531,Yuba,(760) 386-3679,2016-03-07,2026-06-22
48-811569,48,On-Sale General - Bar/Tavern,ACTIVE,The Yuba Cafe LLC,Maria Brown,8038 Broad Rd,Yuba,CA,93470,Yuba,(707) 202-9165,2018-10-13,2025-05-25
48-805082,48,On-Sale General - Bar/Tavern,ACTIVE,Yuba Cafe LLC,Lisa Jackson,4832 Center Pl,Yuba,CA,92245,Yuba,(916) 410-7475,2013-06-19,2025-09-28
20-777891,20,Off-Sale Beer & Wine,ACTIVE,Yuba Tavern Inc,Michael Lopez,2512 Broad Ave,Yuba,CA,91582,Yuba,(760) 603-7409,2014-08-10,2024-01-18
21-788799,21,Off-Sale General,ACTIVE,Yuba Bar Inc,Michelle Smith,8368 Main Dr,Yuba,CA,92134,Yuba,(559) 670-6962,2021-05-21,2026-03-13
75-432006,75,Event Permit Holder,ACTIVE,The Yuba Restaurant LLC,Robert Hernandez,4761 Main Pl,Yuba,CA,96171,Yuba,(442) 368-5820,2021-09-28,2024-05-06
75-474660,75,Event Permit Holder,ACTIVE,Yuba Market,Maria Gonzalez,1711 Main Ln,Yuba,CA,92340,Yuba,(209) 277-8130,2019-09-14,2024-10-10
