id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
IL-65428,Chicago Diner House,Michael Williams,General Manager,info@chicagodinerhouse.com,(224) 391-3436,3149 Oak St,Chicago,IL,Illinois,56431,Diner,A,2716000,Revel,70,False,True,8,500K-1M,MIDWEST_IL_Scraper,"Restaurant,IL,Chicago,Midwest",2026-05-07T20:52:46.312579
IL-41849,Rockford Eatery,Michael Martinez,Manager,info@rockfordeatery.com,(872) 860-1006,1731 Main St,Rockford,IL,Illinois,36668,Kitchen,B,149000,Toast,60,True,True,33,3M-5M,MIDWEST_IL_Scraper,"Restaurant,IL,Rockford,Midwest",2026-05-07T20:52:46.312614
IL-41268,Cafe Co.,Robert Thompson,Operations Manager,info@cafeco..com,(872) 221-3437,9924 Elm St,Naperville,IL,Illinois,17580,Cafe,B,149000,Unknown,40,True,True,24,<500K,MIDWEST_IL_Scraper,"Restaurant,IL,Naperville,Midwest",2026-05-07T20:52:46.312636
IL-73900,Springfield Pub,Elizabeth White,General Manager,info@springfieldpub.com,(618) 729-1354,3695 Pine St,Springfield,IL,Illinois,14440,Kitchen,B,117000,Square,85,True,True,3,500K-1M,MIDWEST_IL_Scraper,"Restaurant,IL,Springfield,Midwest",2026-05-07T20:52:46.312651
IL-83750,Fresh Tavern on Main,Michael Hernandez,Manager,info@freshtavernonmain.com,(309) 355-5401,966 Chestnut St,Chicago,IL,Illinois,34443,Tavern,A,2716000,Toast,60,True,True,32,<500K,MIDWEST_IL_Scraper,"Restaurant,IL,Chicago,Midwest",2026-05-07T20:52:46.312667
IL-91381,Springfield Kitchen House,Thomas Garcia,Manager,info@springfieldkitchenho.com,(224) 370-4136,527 River Rd,Springfield,IL,Illinois,80717,Kitchen,B,117000,ShopKeep,70,False,True,12,500K-1M,MIDWEST_IL_Scraper,"Restaurant,IL,Springfield,Midwest",2026-05-07T20:52:46.312678
IL-81941,Chicago Restaurant,Linda Anderson,General Manager,info@chicagorestaurant.com,(847) 206-2742,839 Oak St,Chicago,IL,Illinois,41388,Restaurant,A,2716000,Lightspeed,60,True,True,20,1M-3M,MIDWEST_IL_Scraper,"Restaurant,IL,Chicago,Midwest",2026-05-07T20:52:46.312688
IL-18260,Anderson's Tavern,John Anderson,Operations Manager,info@andersonstavern.com,(630) 416-1685,3555 Market St,Naperville,IL,Illinois,12484,Tavern,B,149000,Cake POS,75,True,True,10,1M-3M,MIDWEST_IL_Scraper,"Restaurant,IL,Naperville,Midwest",2026-05-07T20:52:46.312697
IL-31704,Springfield Savory Bar,Barbara Miller,Operations Manager,info@springfieldsavorybar.com,(872) 250-5450,7228 Pine St,Springfield,IL,Illinois,18386,Bar,B,117000,TouchBistro,65,True,True,10,>5M,MIDWEST_IL_Scraper,"Restaurant,IL,Springfield,Midwest",2026-05-07T20:52:46.312706
IL-74366,Naperville Eatery,Elizabeth Brown,General Manager,info@napervilleeatery.com,(309) 930-6468,3915 Market St,Naperville,IL,Illinois,32292,Grill,B,149000,Revel,70,True,True,26,1M-3M,MIDWEST_IL_Scraper,"Restaurant,IL,Naperville,Midwest",2026-05-07T20:52:46.312715
IL-57960,Rockford Bar,Joseph Jackson,Owner,info@rockfordbar.com,(815) 569-1577,9535 Broadway,Rockford,IL,Illinois,37001,Bar,B,149000,Unknown,40,True,False,5,3M-5M,MIDWEST_IL_Scraper,"Restaurant,IL,Rockford,Midwest",2026-05-07T20:52:46.312723
IL-34378,Uptown Diner,David Taylor,Operations Manager,info@uptowndiner.com,(872) 628-7035,8362 Washington St,Chicago,IL,Illinois,54403,Diner,A,2716000,Square,85,True,False,9,<500K,MIDWEST_IL_Scraper,"Restaurant,IL,Chicago,Midwest",2026-05-07T20:52:46.312737
