id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
MI-86151,Grand Rapids Pub,Thomas Smith,Manager,info@grandrapidspub.com,(947) 275-7559,9285 Washington St,Grand Rapids,MI,Michigan,32592,Pub,B,201000,Lightspeed,60,True,True,17,<500K,MIDWEST_MI_Scraper,"Restaurant,MI,Grand Rapids,Midwest",2026-05-07T20:52:44.199752
MI-37659,Kitchen of Grand Rapids,Susan Johnson,Manager,info@kitchenofgrandrapids.com,(269) 494-5477,7085 Chestnut St,Grand Rapids,MI,Michigan,99708,Kitchen,B,201000,TouchBistro,65,True,True,16,500K-1M,MIDWEST_MI_Scraper,"Restaurant,MI,Grand Rapids,Midwest",2026-05-07T20:52:44.199782
MI-72497,Ann Arbor Bar House,Joseph Lopez,Operations Manager,info@annarborbarhouse.com,(989) 538-9903,1912 Chestnut St,Ann Arbor,MI,Michigan,50126,Bar,B,121900,Unknown,40,True,True,21,>5M,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.199798
MI-73213,Bistro of Ann Arbor,David Jackson,Manager,info@bistroofannarbor.com,(810) 472-2074,9956 Washington St,Ann Arbor,MI,Michigan,60033,Bistro,B,121900,Aloha,80,True,True,30,<500K,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.199809
MI-14734,West Detroit Bistro,John Lopez,Manager,info@westdetroitbistro.com,(586) 398-8895,9151 Main St,Detroit,MI,Michigan,41173,Bistro,A,632500,Unknown,40,True,False,34,500K-1M,MIDWEST_MI_Scraper,"Restaurant,MI,Detroit,Midwest",2026-05-07T20:52:44.199818
MI-18601,Lopez's Diner,William Lopez,Owner,info@lopezsdiner.com,(313) 441-2707,4044 Main St,Ann Arbor,MI,Michigan,46473,Diner,B,121900,ShopKeep,70,True,True,23,>5M,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.199828
MI-92794,West Detroit Eatery,Michael Wilson,General Manager,info@westdetroiteatery.com,(586) 297-4906,3546 Elm St,Detroit,MI,Michigan,71371,Eatery,A,632500,TouchBistro,65,True,True,5,<500K,MIDWEST_MI_Scraper,"Restaurant,MI,Detroit,Midwest",2026-05-07T20:52:44.199837
MI-69179,Ann Arbor Bistro,Mary Moore,Manager,info@annarborbistro.com,(248) 771-1581,3478 Pine St,Ann Arbor,MI,Michigan,25049,Bar,B,121900,ShopKeep,70,True,True,18,1M-3M,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.199845
MI-53138,The Artisan Tavern,Sarah Martinez,Operations Manager,info@theartisantavern.com,(616) 789-4516,1994 Washington St,Ann Arbor,MI,Michigan,58499,Tavern,B,121900,Unknown,40,True,True,4,1M-3M,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.199853
MI-71458,Cafe Co.,Christopher Garcia,General Manager,info@cafeco..com,(313) 565-2927,7051 Main St,Lansing,MI,Michigan,31758,Cafe,B,118200,TouchBistro,65,True,False,7,>5M,MIDWEST_MI_Scraper,"Restaurant,MI,Lansing,Midwest",2026-05-07T20:52:44.199861
MI-61068,Detroit Bar,David Wilson,Owner,info@detroitbar.com,(810) 437-7324,7420 Pine St,Detroit,MI,Michigan,83267,Bar,A,632500,TouchBistro,65,False,True,4,1M-3M,MIDWEST_MI_Scraper,"Restaurant,MI,Detroit,Midwest",2026-05-07T20:52:44.199872
MI-23880,Grand Rapids Bistro,David Lee,Operations Manager,info@grandrapidsbistro.com,(231) 988-2461,1700 Lake St,Grand Rapids,MI,Michigan,14363,Bar,B,201000,Clover,75,True,True,5,500K-1M,MIDWEST_MI_Scraper,"Restaurant,MI,Grand Rapids,Midwest",2026-05-07T20:52:44.199890
MI-59389,Artisan Grill on Main,Richard Johnson,Operations Manager,info@artisangrillonmain.com,(616) 474-3897,7226 River Rd,Ann Arbor,MI,Michigan,60215,Grill,B,121900,Clover,75,True,True,16,>5M,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.199903
MI-26339,Johnson's Restaurant,Richard Johnson,General Manager,info@johnsonsrestaurant.com,(313) 290-6860,2413 Market St,Detroit,MI,Michigan,94074,Restaurant,A,632500,Unknown,40,True,True,19,<500K,MIDWEST_MI_Scraper,"Restaurant,MI,Detroit,Midwest",2026-05-07T20:52:44.199919
MI-33084,The Urban Kitchen,Joseph White,Operations Manager,info@theurbankitchen.com,(616) 891-7827,1055 Main St,Detroit,MI,Michigan,81490,Kitchen,A,632500,Aloha,80,True,True,4,<500K,MIDWEST_MI_Scraper,"Restaurant,MI,Detroit,Midwest",2026-05-07T20:52:44.199931
MI-24360,Grand Rapids Eatery,Charles Jones,Manager,info@grandrapidseatery.com,(313) 627-1334,638 Oak St,Grand Rapids,MI,Michigan,62669,Tavern,B,201000,Aloha,80,False,True,9,500K-1M,MIDWEST_MI_Scraper,"Restaurant,MI,Grand Rapids,Midwest",2026-05-07T20:52:44.199943
MI-82791,Ann Arbor Bistro,Elizabeth Lopez,General Manager,info@annarborbistro.com,(313) 251-7285,1080 Lake St,Ann Arbor,MI,Michigan,85096,Cafe,B,121900,Toast,60,True,True,1,<500K,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.199955
MI-36798,Ann Arbor Bistro,Jennifer Garcia,Owner,info@annarborbistro.com,(586) 370-8324,8785 Chestnut St,Ann Arbor,MI,Michigan,26859,Kitchen,B,121900,Cake POS,75,True,True,34,>5M,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.199966
MI-42092,Uptown Cafe,David Lee,Manager,info@uptowncafe.com,(906) 457-2132,5808 Market St,Ann Arbor,MI,Michigan,48864,Cafe,B,121900,Clover,75,True,False,27,>5M,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.199987
MI-10296,The Golden Cafe,Elizabeth Taylor,Operations Manager,info@thegoldencafe.com,(616) 537-5208,1662 Washington St,Grand Rapids,MI,Michigan,30495,Cafe,B,201000,Toast,60,True,True,6,3M-5M,MIDWEST_MI_Scraper,"Restaurant,MI,Grand Rapids,Midwest",2026-05-07T20:52:44.199996
MI-97378,Detroit Eatery,Christopher Miller,Owner,info@detroiteatery.com,(734) 373-9579,5371 Lake St,Detroit,MI,Michigan,56572,Cafe,A,632500,Unknown,40,True,True,6,>5M,MIDWEST_MI_Scraper,"Restaurant,MI,Detroit,Midwest",2026-05-07T20:52:44.200008
MI-15844,Corner Pub on Main,Charles Smith,Manager,info@cornerpubonmain.com,(810) 466-8742,3637 Pine St,Lansing,MI,Michigan,19562,Pub,B,118200,Toast,60,True,True,34,1M-3M,MIDWEST_MI_Scraper,"Restaurant,MI,Lansing,Midwest",2026-05-07T20:52:44.200017
MI-11170,Ann Arbor Kitchen,Charles Rodriguez,Operations Manager,info@annarborkitchen.com,(269) 338-3698,6543 Lake St,Ann Arbor,MI,Michigan,99545,Diner,B,121900,Cake POS,75,True,True,21,3M-5M,MIDWEST_MI_Scraper,"Restaurant,MI,Ann Arbor,Midwest",2026-05-07T20:52:44.200024
MI-37444,Anderson's Diner,David Anderson,Owner,info@andersonsdiner.com,(810) 330-3604,9269 Elm St,Lansing,MI,Michigan,36398,Diner,B,118200,Aloha,80,True,False,9,>5M,MIDWEST_MI_Scraper,"Restaurant,MI,Lansing,Midwest",2026-05-07T20:52:44.200033
MI-87737,Grand Rapids Pub,Joseph White,Operations Manager,info@grandrapidspub.com,(947) 711-2248,9956 Pine St,Grand Rapids,MI,Michigan,67810,Tavern,B,201000,Clover,75,True,True,34,3M-5M,MIDWEST_MI_Scraper,"Restaurant,MI,Grand Rapids,Midwest",2026-05-07T20:52:44.200040
