id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
MN-67697,Duluth Artisan Bar,Charles Martin,Owner,info@duluthartisanbar.com,(320) 824-7344,9190 Market St,Duluth,MN,Minnesota,99868,Bar,C,86000,Aloha,80,True,True,7,1M-3M,MIDWEST_MN_Scraper,"Restaurant,MN,Duluth,Midwest",2026-05-07T20:52:43.154499
MN-51233,Rochester Bistro,Mary Hernandez,Manager,info@rochesterbistro.com,(320) 880-1633,7507 Lake St,Rochester,MN,Minnesota,54757,Bistro,B,121400,Lightspeed,60,True,True,31,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,Rochester,Midwest",2026-05-07T20:52:43.154530
MN-62496,West Rochester Grill,Patricia Smith,Operations Manager,info@westrochestergrill.com,(763) 611-2870,5723 Lake St,Rochester,MN,Minnesota,89972,Grill,B,121400,Square,85,True,True,17,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,Rochester,Midwest",2026-05-07T20:52:43.154546
MN-93397,West St. Paul Restaurant,Susan Taylor,Owner,info@westst.paulrestauran.com,(651) 822-5885,5359 Washington St,St. Paul,MN,Minnesota,37648,Restaurant,A,307700,Micros,75,True,False,18,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,St. Paul,Midwest",2026-05-07T20:52:43.154559
MN-68838,Classic Diner on Main,Elizabeth Jones,Owner,info@classicdineronmain.com,(218) 697-4848,8325 Maple Ave,Rochester,MN,Minnesota,74227,Diner,B,121400,Cake POS,75,True,True,8,<500K,MIDWEST_MN_Scraper,"Restaurant,MN,Rochester,Midwest",2026-05-07T20:52:43.154573
MN-40948,Uptown Kitchen,William Williams,Owner,info@uptownkitchen.com,(320) 631-6217,9193 Lake St,Minneapolis,MN,Minnesota,11249,Kitchen,A,429000,Toast,60,True,False,21,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,Minneapolis,Midwest",2026-05-07T20:52:43.154585
MN-56240,Minneapolis Pub,William Anderson,Owner,info@minneapolispub.com,(218) 895-6648,8630 Broadway,Minneapolis,MN,Minnesota,81896,Grill,A,429000,Revel,70,True,True,9,1M-3M,MIDWEST_MN_Scraper,"Restaurant,MN,Minneapolis,Midwest",2026-05-07T20:52:43.154597
MN-23757,Bar Co.,Thomas Thompson,General Manager,info@barco..com,(763) 826-3715,1695 Elm St,Rochester,MN,Minnesota,55666,Bar,B,121400,Clover,75,False,True,32,1M-3M,MIDWEST_MN_Scraper,"Restaurant,MN,Rochester,Midwest",2026-05-07T20:52:43.154608
MN-91431,Jackson's Tavern,Richard Jackson,Manager,info@jacksonstavern.com,(763) 827-9492,8557 Market St,Minneapolis,MN,Minnesota,12777,Tavern,A,429000,Unknown,40,True,True,24,3M-5M,MIDWEST_MN_Scraper,"Restaurant,MN,Minneapolis,Midwest",2026-05-07T20:52:43.154620
MN-77462,Jones's Cafe,Barbara Jones,Manager,info@jonesscafe.com,(651) 824-5961,328 Chestnut St,St. Paul,MN,Minnesota,60899,Cafe,A,307700,Square,85,True,True,3,3M-5M,MIDWEST_MN_Scraper,"Restaurant,MN,St. Paul,Midwest",2026-05-07T20:52:43.154632
MN-41914,St. Paul Bistro,Michael Johnson,Manager,info@st.paulbistro.com,(763) 766-8915,5582 Oak St,St. Paul,MN,Minnesota,51736,Pub,A,307700,Revel,70,True,True,2,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,St. Paul,Midwest",2026-05-07T20:52:43.154643
MN-35332,Rochester Pub House,Mary Thompson,Operations Manager,info@rochesterpubhouse.com,(218) 606-5680,9654 Pine St,Rochester,MN,Minnesota,26746,Pub,B,121400,TouchBistro,65,True,True,24,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,Rochester,Midwest",2026-05-07T20:52:43.154659
MN-12053,Johnson's Cafe,Sarah Johnson,Manager,info@johnsonscafe.com,(763) 766-6574,7314 Broadway,Duluth,MN,Minnesota,63528,Cafe,C,86000,Revel,70,True,True,34,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,Duluth,Midwest",2026-05-07T20:52:43.154670
MN-88355,Minneapolis Eatery,John Martinez,Owner,info@minneapoliseatery.com,(320) 755-6371,9579 Broadway,Minneapolis,MN,Minnesota,32359,Grill,A,429000,Lightspeed,60,True,True,16,>5M,MIDWEST_MN_Scraper,"Restaurant,MN,Minneapolis,Midwest",2026-05-07T20:52:43.154685
MN-42322,Grill & Grill,David Wilson,Operations Manager,info@grillandgrill.com,(612) 508-5346,6591 Park Ave,Rochester,MN,Minnesota,19289,Grill,B,121400,Micros,75,True,True,35,>5M,MIDWEST_MN_Scraper,"Restaurant,MN,Rochester,Midwest",2026-05-07T20:52:43.154698
MN-28775,West Minneapolis Pub,Joseph Miller,Owner,info@westminneapolispub.com,(651) 843-7660,1886 Oak St,Minneapolis,MN,Minnesota,83625,Pub,A,429000,Unknown,40,True,True,11,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,Minneapolis,Midwest",2026-05-07T20:52:43.154709
MN-76162,St. Paul Tavern,Christopher Davis,General Manager,info@st.paultavern.com,(507) 271-9371,3283 Broadway,St. Paul,MN,Minnesota,14348,Tavern,A,307700,Lightspeed,60,True,False,15,1M-3M,MIDWEST_MN_Scraper,"Restaurant,MN,St. Paul,Midwest",2026-05-07T20:52:43.154720
MN-37852,Minneapolis Kitchen,Linda Jones,Manager,info@minneapoliskitchen.com,(218) 824-5088,2079 Lake St,Minneapolis,MN,Minnesota,79358,Diner,A,429000,Revel,70,True,False,32,<500K,MIDWEST_MN_Scraper,"Restaurant,MN,Minneapolis,Midwest",2026-05-07T20:52:43.154732
MN-53312,Lopez's Diner,Jessica Lopez,Operations Manager,info@lopezsdiner.com,(952) 828-5445,4316 River Rd,Minneapolis,MN,Minnesota,15650,Diner,A,429000,Clover,75,True,False,14,1M-3M,MIDWEST_MN_Scraper,"Restaurant,MN,Minneapolis,Midwest",2026-05-07T20:52:43.154744
MN-23077,Minneapolis Bistro,Jessica Thompson,General Manager,info@minneapolisbistro.com,(952) 931-3211,254 Elm St,Minneapolis,MN,Minnesota,95272,Restaurant,A,429000,Clover,75,True,True,6,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,Minneapolis,Midwest",2026-05-07T20:52:43.154755
MN-45122,St. Paul Bistro,Linda Lopez,Operations Manager,info@st.paulbistro.com,(763) 498-6265,4702 River Rd,St. Paul,MN,Minnesota,79302,Cafe,A,307700,ShopKeep,70,False,True,30,<500K,MIDWEST_MN_Scraper,"Restaurant,MN,St. Paul,Midwest",2026-05-07T20:52:43.154774
MN-79355,The Friendly Grill,Linda Rodriguez,Manager,info@thefriendlygrill.com,(218) 899-4902,8641 Oak St,Rochester,MN,Minnesota,32020,Grill,B,121400,Revel,70,True,True,12,1M-3M,MIDWEST_MN_Scraper,"Restaurant,MN,Rochester,Midwest",2026-05-07T20:52:43.154785
MN-19518,Rochester Bistro,Richard Garcia,Operations Manager,info@rochesterbistro.com,(320) 224-9049,9261 Pine St,Rochester,MN,Minnesota,93403,Bistro,B,121400,Unknown,40,False,True,11,3M-5M,MIDWEST_MN_Scraper,"Restaurant,MN,Rochester,Midwest",2026-05-07T20:52:43.154796
MN-55418,Eatery Co.,Mary Garcia,Manager,info@eateryco..com,(651) 311-3909,2244 Maple Ave,Rochester,MN,Minnesota,67041,Eatery,B,121400,TouchBistro,65,True,False,19,500K-1M,MIDWEST_MN_Scraper,"Restaurant,MN,Rochester,Midwest",2026-05-07T20:52:43.154807
MN-75243,Uptown Pub,Linda Martin,Operations Manager,info@uptownpub.com,(507) 795-9999,7822 Oak St,Duluth,MN,Minnesota,18512,Pub,C,86000,Cake POS,75,True,False,22,>5M,MIDWEST_MN_Scraper,"Restaurant,MN,Duluth,Midwest",2026-05-07T20:52:43.154818
