id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
OH-51052,Diner & Grill,Karen Hernandez,Manager,info@dinerandgrill.com,(937) 947-4467,9706 Maple Ave,Cleveland,OH,Ohio,73346,Diner,A,383800,Micros,75,True,True,27,3M-5M,MIDWEST_OH_Scraper,"Restaurant,OH,Cleveland,Midwest",2026-05-07T20:52:44.750766
OH-31278,Tavern of Cleveland,Linda Martin,Owner,info@tavernofcleveland.com,(380) 849-8698,7500 Market St,Cleveland,OH,Ohio,48825,Tavern,A,383800,Unknown,40,True,True,30,<500K,MIDWEST_OH_Scraper,"Restaurant,OH,Cleveland,Midwest",2026-05-07T20:52:44.750790
OH-80927,West Columbus Restaurant,Linda Garcia,Owner,info@westcolumbusrestaura.com,(513) 402-1436,5518 Broadway,Columbus,OH,Ohio,65352,Restaurant,A,906500,TouchBistro,65,False,True,1,500K-1M,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.750802
OH-76351,Cleveland Kitchen,Joseph Davis,Owner,info@clevelandkitchen.com,(216) 951-1573,4985 Park Ave,Cleveland,OH,Ohio,51032,Bar,A,383800,ShopKeep,70,True,True,14,500K-1M,MIDWEST_OH_Scraper,"Restaurant,OH,Cleveland,Midwest",2026-05-07T20:52:44.750813
OH-65382,Toledo Savory Bar,Richard Martin,General Manager,info@toledosavorybar.com,(513) 559-5468,1911 Chestnut St,Toledo,OH,Ohio,81622,Bar,B,270900,Lightspeed,60,True,True,25,1M-3M,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.750823
OH-91040,Restaurant & Grill,Michael Davis,Operations Manager,info@restaurantandgrill.com,(330) 290-1640,463 Lake St,Cleveland,OH,Ohio,75203,Restaurant,A,383800,Square,85,True,True,21,500K-1M,MIDWEST_OH_Scraper,"Restaurant,OH,Cleveland,Midwest",2026-05-07T20:52:44.750832
OH-44911,White's Diner,William White,Manager,info@whitesdiner.com,(513) 220-7576,9923 Elm St,Toledo,OH,Ohio,21921,Diner,B,270900,Clover,75,True,True,4,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.750841
OH-85421,Miller's Diner,Thomas Miller,General Manager,info@millersdiner.com,(419) 743-3218,4828 Chestnut St,Cincinnati,OH,Ohio,45937,Diner,A,309300,Unknown,40,True,False,29,3M-5M,MIDWEST_OH_Scraper,"Restaurant,OH,Cincinnati,Midwest",2026-05-07T20:52:44.750849
OH-22657,West Toledo Grill,Robert Jackson,Operations Manager,info@westtoledogrill.com,(380) 705-1000,5698 Chestnut St,Toledo,OH,Ohio,53806,Grill,B,270900,ShopKeep,70,True,False,28,500K-1M,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.750858
OH-82429,Columbus Bistro,Richard Smith,Owner,info@columbusbistro.com,(419) 665-4225,405 Market St,Columbus,OH,Ohio,97073,Pub,A,906500,Toast,60,True,True,4,1M-3M,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.750866
OH-50891,Cleveland Diner,Jessica Johnson,Owner,info@clevelanddiner.com,(937) 732-6555,4461 Market St,Cleveland,OH,Ohio,59823,Diner,A,383800,Unknown,40,True,True,13,1M-3M,MIDWEST_OH_Scraper,"Restaurant,OH,Cleveland,Midwest",2026-05-07T20:52:44.750877
OH-57548,Columbus Eatery House,Barbara Wilson,Manager,info@columbuseateryhouse.com,(614) 255-7459,9151 Lake St,Columbus,OH,Ohio,10585,Eatery,A,906500,Revel,70,False,False,14,500K-1M,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.750886
OH-97484,Columbus Eatery,Linda Brown,Manager,info@columbuseatery.com,(937) 292-9906,9447 Main St,Columbus,OH,Ohio,55818,Cafe,A,906500,Cake POS,75,True,True,13,<500K,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.750894
OH-79834,Columbus Grill House,Barbara Williams,Operations Manager,info@columbusgrillhouse.com,(220) 730-9901,1920 Lake St,Columbus,OH,Ohio,45224,Grill,A,906500,Square,85,True,False,26,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.750905
OH-53206,Toledo Bistro House,Barbara Lee,Owner,info@toledobistrohouse.com,(937) 887-7943,5132 Park Ave,Toledo,OH,Ohio,73791,Bistro,B,270900,Toast,60,True,False,11,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.750914
OH-77269,Tavern Co.,Linda Brown,Manager,info@tavernco..com,(380) 971-8806,2644 Oak St,Cincinnati,OH,Ohio,13383,Tavern,A,309300,Unknown,40,True,True,8,<500K,MIDWEST_OH_Scraper,"Restaurant,OH,Cincinnati,Midwest",2026-05-07T20:52:44.750922
OH-22195,Bistro & Grill,Richard Brown,Owner,info@bistroandgrill.com,(216) 974-9366,5337 River Rd,Toledo,OH,Ohio,23334,Bistro,B,270900,Clover,75,False,True,11,<500K,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.750930
OH-90555,West Columbus Cafe,Jennifer Wilson,General Manager,info@westcolumbuscafe.com,(440) 208-3777,5331 Elm St,Columbus,OH,Ohio,33723,Cafe,A,906500,Cake POS,75,True,True,31,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.750939
OH-99217,Toledo Restaurant House,Joseph Jackson,General Manager,info@toledorestauranthous.com,(419) 866-1049,471 Market St,Toledo,OH,Ohio,23940,Restaurant,B,270900,Toast,60,True,False,17,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.750947
OH-87160,Grill Co.,Barbara Thompson,Operations Manager,info@grillco..com,(330) 459-7120,8050 Elm St,Cincinnati,OH,Ohio,87230,Grill,A,309300,TouchBistro,65,False,True,32,3M-5M,MIDWEST_OH_Scraper,"Restaurant,OH,Cincinnati,Midwest",2026-05-07T20:52:44.750956
OH-41627,Toledo Savory Restaurant,Elizabeth Brown,Owner,info@toledosavoryrestaura.com,(614) 369-2064,6449 Main St,Toledo,OH,Ohio,73480,Restaurant,B,270900,Revel,70,True,False,34,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.750967
OH-40186,Toledo Pub House,David Wilson,Owner,info@toledopubhouse.com,(513) 499-9400,5668 River Rd,Toledo,OH,Ohio,19225,Pub,B,270900,Unknown,40,False,True,21,3M-5M,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.750991
OH-30590,Bistro Co.,Robert Anderson,General Manager,info@bistroco..com,(216) 602-6289,2083 Washington St,Toledo,OH,Ohio,64824,Bistro,B,270900,Lightspeed,60,True,False,28,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.751004
OH-25389,Bar of Columbus,Mary Miller,Owner,info@barofcolumbus.com,(220) 407-9092,7551 Pine St,Columbus,OH,Ohio,82725,Bar,A,906500,Lightspeed,60,False,True,5,1M-3M,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.751016
OH-62239,Tavern Co.,David Thompson,Operations Manager,info@tavernco..com,(220) 573-3058,2692 Oak St,Toledo,OH,Ohio,11821,Tavern,B,270900,Lightspeed,60,False,True,2,1M-3M,MIDWEST_OH_Scraper,"Restaurant,OH,Toledo,Midwest",2026-05-07T20:52:44.751027
OH-82080,Grill & Grill,Christopher Garcia,Manager,info@grillandgrill.com,(380) 263-6213,5873 Park Ave,Cleveland,OH,Ohio,88719,Grill,A,383800,Unknown,40,True,True,34,1M-3M,MIDWEST_OH_Scraper,"Restaurant,OH,Cleveland,Midwest",2026-05-07T20:52:44.751046
OH-11604,Downtown Eatery,Joseph Johnson,General Manager,info@downtowneatery.com,(614) 963-6183,2160 Park Ave,Cleveland,OH,Ohio,14532,Eatery,A,383800,Unknown,40,True,True,15,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Cleveland,Midwest",2026-05-07T20:52:44.751058
OH-89318,West Cleveland Restaurant,Jennifer Smith,Owner,info@westclevelandrestaur.com,(234) 337-9049,6812 Broadway,Cleveland,OH,Ohio,16369,Restaurant,A,383800,Square,85,False,True,34,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Cleveland,Midwest",2026-05-07T20:52:44.751070
OH-39734,The Silver Cafe,Karen Anderson,General Manager,info@thesilvercafe.com,(216) 323-5302,5124 Maple Ave,Columbus,OH,Ohio,64071,Cafe,A,906500,TouchBistro,65,True,False,8,<500K,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.751082
OH-31425,Columbus Pub,David Moore,Operations Manager,info@columbuspub.com,(937) 758-8685,3108 Park Ave,Columbus,OH,Ohio,29337,Grill,A,906500,Toast,60,True,True,14,500K-1M,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.751097
OH-88264,Hernandez's Bistro,Robert Hernandez,Operations Manager,info@hernandezsbistro.com,(380) 590-3632,9011 Pine St,Columbus,OH,Ohio,96102,Bistro,A,906500,Revel,70,True,False,17,>5M,MIDWEST_OH_Scraper,"Restaurant,OH,Columbus,Midwest",2026-05-07T20:52:44.751109
OH-81299,Cincinnati Pub,Robert Jackson,General Manager,info@cincinnatipub.com,(234) 972-1927,9849 Lake St,Cincinnati,OH,Ohio,19151,Tavern,A,309300,TouchBistro,65,True,False,31,<500K,MIDWEST_OH_Scraper,"Restaurant,OH,Cincinnati,Midwest",2026-05-07T20:52:44.751121
