id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
WI-45627,Appleton Green Diner,Patricia Brown,Owner,info@appletongreendiner.com,(608) 289-1940,778 Lake St,Appleton,WI,Wisconsin,46832,Diner,C,75000,Aloha,80,True,True,4,>5M,MIDWEST_WI_Scraper,"Restaurant,WI,Appleton,Midwest",2026-05-07T20:52:42.536703
WI-31348,Eatery Co.,Karen Miller,General Manager,info@eateryco..com,(715) 202-8844,4367 Broadway,Milwaukee,WI,Wisconsin,97148,Eatery,A,592000,Aloha,80,True,True,30,>5M,MIDWEST_WI_Scraper,"Restaurant,WI,Milwaukee,Midwest",2026-05-07T20:52:42.536725
WI-28790,Appleton Pub,Thomas Smith,Manager,info@appletonpub.com,(715) 334-7194,5362 Washington St,Appleton,WI,Wisconsin,78209,Pub,C,75000,Micros,75,True,True,25,<500K,MIDWEST_WI_Scraper,"Restaurant,WI,Appleton,Midwest",2026-05-07T20:52:42.536737
WI-77706,West Green Bay Diner,Linda Jackson,Owner,info@westgreenbaydiner.com,(608) 625-6148,9826 Pine St,Green Bay,WI,Wisconsin,62525,Diner,B,107700,Square,85,True,True,1,3M-5M,MIDWEST_WI_Scraper,"Restaurant,WI,Green Bay,Midwest",2026-05-07T20:52:42.536748
WI-12616,Milwaukee Pub,Michael Jackson,General Manager,info@milwaukeepub.com,(715) 291-6706,3212 Market St,Milwaukee,WI,Wisconsin,60357,Grill,A,592000,Unknown,40,True,True,28,500K-1M,MIDWEST_WI_Scraper,"Restaurant,WI,Milwaukee,Midwest",2026-05-07T20:52:42.536757
WI-77816,Jones's Cafe,William Jones,Operations Manager,info@jonesscafe.com,(920) 545-5738,5839 Lake St,Milwaukee,WI,Wisconsin,70392,Cafe,A,592000,Unknown,40,False,True,35,3M-5M,MIDWEST_WI_Scraper,"Restaurant,WI,Milwaukee,Midwest",2026-05-07T20:52:42.536767
WI-74835,Madison Grill,John Garcia,Owner,info@madisongrill.com,(715) 730-2333,3985 Lake St,Madison,WI,Wisconsin,41348,Grill,B,269800,Unknown,40,True,True,26,>5M,MIDWEST_WI_Scraper,"Restaurant,WI,Madison,Midwest",2026-05-07T20:52:42.536775
WI-84364,Bar of Milwaukee,James Jones,Operations Manager,info@barofmilwaukee.com,(715) 762-7661,521 Oak St,Milwaukee,WI,Wisconsin,46633,Bar,A,592000,Cake POS,75,True,False,7,<500K,MIDWEST_WI_Scraper,"Restaurant,WI,Milwaukee,Midwest",2026-05-07T20:52:42.536784
WI-51766,Madison Cafe,Linda Moore,Manager,info@madisoncafe.com,(262) 200-4409,7275 River Rd,Madison,WI,Wisconsin,44122,Cafe,B,269800,Square,85,False,True,21,>5M,MIDWEST_WI_Scraper,"Restaurant,WI,Madison,Midwest",2026-05-07T20:52:42.536792
WI-34334,Green Bay Eatery,John Miller,Operations Manager,info@greenbayeatery.com,(414) 650-5503,3577 Chestnut St,Green Bay,WI,Wisconsin,72571,Restaurant,B,107700,ShopKeep,70,False,True,29,500K-1M,MIDWEST_WI_Scraper,"Restaurant,WI,Green Bay,Midwest",2026-05-07T20:52:42.536800
WI-50351,Appleton Golden Restaurant,Christopher Brown,Manager,info@appletongoldenrestau.com,(715) 545-5329,1431 Maple Ave,Appleton,WI,Wisconsin,84539,Restaurant,C,75000,TouchBistro,65,True,False,8,>5M,MIDWEST_WI_Scraper,"Restaurant,WI,Appleton,Midwest",2026-05-07T20:52:42.536812
WI-44746,Madison Eatery,Susan White,General Manager,info@madisoneatery.com,(534) 287-8332,9039 Lake St,Madison,WI,Wisconsin,92402,Kitchen,B,269800,TouchBistro,65,False,True,21,3M-5M,MIDWEST_WI_Scraper,"Restaurant,WI,Madison,Midwest",2026-05-07T20:52:42.536820
WI-14990,Appleton Pub,Thomas Moore,Owner,info@appletonpub.com,(414) 319-1740,1180 Market St,Appleton,WI,Wisconsin,46411,Diner,C,75000,Micros,75,True,True,33,500K-1M,MIDWEST_WI_Scraper,"Restaurant,WI,Appleton,Midwest",2026-05-07T20:52:42.536828
WI-78359,Uptown Restaurant,Karen Brown,Owner,info@uptownrestaurant.com,(534) 463-3436,4275 Oak St,Green Bay,WI,Wisconsin,28686,Restaurant,B,107700,Square,85,False,True,17,1M-3M,MIDWEST_WI_Scraper,"Restaurant,WI,Green Bay,Midwest",2026-05-07T20:52:42.536836
WI-24099,Milwaukee Kitchen,David Miller,Operations Manager,info@milwaukeekitchen.com,(608) 407-6587,9218 Maple Ave,Milwaukee,WI,Wisconsin,41712,Diner,A,592000,ShopKeep,70,True,False,5,3M-5M,MIDWEST_WI_Scraper,"Restaurant,WI,Milwaukee,Midwest",2026-05-07T20:52:42.536848
WI-90941,Pub Co.,Mary Jackson,Operations Manager,info@pubco..com,(715) 204-8506,5187 Market St,Green Bay,WI,Wisconsin,64738,Pub,B,107700,ShopKeep,70,True,True,19,3M-5M,MIDWEST_WI_Scraper,"Restaurant,WI,Green Bay,Midwest",2026-05-07T20:52:42.536856
WI-25548,Pub & Grill,Joseph Thompson,Owner,info@pubandgrill.com,(262) 786-5840,2821 Park Ave,Milwaukee,WI,Wisconsin,48345,Pub,A,592000,Unknown,40,True,True,32,<500K,MIDWEST_WI_Scraper,"Restaurant,WI,Milwaukee,Midwest",2026-05-07T20:52:42.536864
WI-93283,Milwaukee Kitchen,Barbara Moore,Owner,info@milwaukeekitchen.com,(262) 347-2469,8381 Chestnut St,Milwaukee,WI,Wisconsin,65336,Bistro,A,592000,ShopKeep,70,True,True,29,>5M,MIDWEST_WI_Scraper,"Restaurant,WI,Milwaukee,Midwest",2026-05-07T20:52:42.536872
WI-58674,Kitchen Co.,Michael Anderson,General Manager,info@kitchenco..com,(920) 886-8073,1196 Washington St,Green Bay,WI,Wisconsin,32228,Kitchen,B,107700,Clover,75,True,True,32,<500K,MIDWEST_WI_Scraper,"Restaurant,WI,Green Bay,Midwest",2026-05-07T20:52:42.536880
WI-45489,West Milwaukee Bar,John Thompson,Operations Manager,info@westmilwaukeebar.com,(608) 556-2308,326 River Rd,Milwaukee,WI,Wisconsin,14700,Bar,A,592000,Unknown,40,True,True,3,<500K,MIDWEST_WI_Scraper,"Restaurant,WI,Milwaukee,Midwest",2026-05-07T20:52:42.536888
WI-68659,Downtown Kitchen,Joseph Lee,Owner,info@downtownkitchen.com,(608) 481-4119,319 Washington St,Milwaukee,WI,Wisconsin,69836,Kitchen,A,592000,Micros,75,True,True,8,500K-1M,MIDWEST_WI_Scraper,"Restaurant,WI,Milwaukee,Midwest",2026-05-07T20:52:42.536902
WI-46141,Downtown Bar,Mary Anderson,Operations Manager,info@downtownbar.com,(608) 250-1416,1826 Broadway,Madison,WI,Wisconsin,32977,Bar,B,269800,Revel,70,True,True,1,500K-1M,MIDWEST_WI_Scraper,"Restaurant,WI,Madison,Midwest",2026-05-07T20:52:42.536912
