First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Thomas,Jackson,thomas.jackson@baystateassociatesma.com,+1 (617) 878-3504,Bay State Associates,Boston,MA,US,02109,"Priority_A, ABC_License, MA_Business",License Type: All-Alcoholic Beverages,MA_ABCC
Michael,Johnson,michael.johnson@harvardtechma.com,+1 (351) 997-7220,Harvard Tech,Boston,MA,US,02114,"Priority_B, MA_Business",Industry: Finance,MA_Sec_Commonwealth
James,Thomas,james.thomas@bostonservicesma.com,+1 (774) 879-1368,Boston Services,Boston,MA,US,02129,"Priority_B, MA_Business",Industry: Education,Boston_Business_Portal
Richard,Miller,richard.miller@commonwealthservicesma.com,+1 (351) 502-1570,Commonwealth Services,Boston,MA,US,02116,"Priority_B, MA_Business",Industry: Education,MA_SBA
James,Taylor,james.taylor@harvardventuresma.com,+1 (508) 951-2609,Harvard Ventures,Boston,MA,US,02129,"Priority_B, MA_Business",Industry: Tech,Boston_Business_Portal
Nancy,Wilson,nancy.wilson@oldcolonyassociatesma.com,+1 (781) 733-6596,Old Colony Associates,Boston,MA,US,02110,"Priority_B, MA_Business",Industry: Finance,MA_SBA
Susan,Smith,susan.smith@berkshiresolutionsma.com,+1 (339) 240-6018,Berkshire Solutions,Boston,MA,US,02110,"Priority_A, ABC_License, MA_Business",License Type: All-Alcoholic Beverages,MA_ABCC
Robert,Jones,robert.jones@oldcolonytechma.com,+1 (339) 894-9506,Old Colony Tech,Boston,MA,US,02113,"Priority_B, MA_Business",Industry: Tech,MA_SBA
Patricia,Moore,patricia.moore@charlesrivergroupma.com,+1 (617) 942-4226,Charles River Group,Boston,MA,US,02122,"Priority_B, MA_Business",Industry: Tech,MA_ABCC
Thomas,Anderson,thomas.anderson@baystateassociatesma.com,+1 (413) 506-9568,Bay State Associates,Boston,MA,US,02109,"Priority_B, MA_Business",Industry: Finance,Boston_Business_Portal
Jennifer,Jones,jennifer.jones@oldcolonysolutionsma.com,+1 (508) 886-2812,Old Colony Solutions,Boston,MA,US,02130,"Priority_B, MA_Business",Industry: Finance,MA_SBA
Thomas,Jackson,thomas.jackson@baystatepartnersma.com,+1 (351) 751-7195,Bay State Partners,Boston,MA,US,02130,"Priority_B, MA_Business",Industry: Finance,MA_SBA
David,Thomas,david.thomas@commonwealthcorpma.com,+1 (339) 368-5117,Commonwealth Corp,Boston,MA,US,02122,"Priority_B, MA_Business",Industry: Finance,MA_Sec_Commonwealth
Karen,Williams,karen.williams@capecodsolutionsma.com,+1 (617) 938-8724,Cape Cod Solutions,Boston,MA,US,02110,"Priority_A, ABC_License, MA_Business",License Type: Malt Wine,MA_ABCC
Sarah,Jackson,sarah.jackson@capecodenterprisesma.com,+1 (339) 511-1933,Cape Cod Enterprises,Boston,MA,US,02127,"Priority_B, MA_Business",Industry: Education,Boston_Business_Portal
Charles,Jones,charles.jones@charlesriverholdingsma.com,+1 (351) 906-2647,Charles River Holdings,Boston,MA,US,02130,"Priority_B, MA_Business",Industry: Healthcare,MA_ABCC
Linda,Wilson,linda.wilson@berkshirepartnersma.com,+1 (617) 309-9296,Berkshire Partners,Boston,MA,US,02135,"Priority_B, MA_Business",Industry: Finance,MA_Sec_Commonwealth
Karen,White,karen.white@berkshiretechma.com,+1 (351) 659-7849,Berkshire Tech,Boston,MA,US,02135,"Priority_A, ABC_License, MA_Business",License Type: Farmer-Winery,MA_ABCC
Michael,Johnson,michael.johnson@harvardcorpma.com,+1 (857) 893-3394,Harvard Corp,Boston,MA,US,02130,"Priority_B, MA_Business",Industry: Education,MA_SBA
Patricia,Johnson,patricia.johnson@charlesriverenterprisesma.com,+1 (774) 772-8145,Charles River Enterprises,Boston,MA,US,02116,"Priority_B, MA_Business",Industry: Education,MA_Sec_Commonwealth
Susan,White,susan.white@baystateenterprisesma.com,+1 (617) 895-8000,Bay State Enterprises,Boston,MA,US,02128,"Priority_B, MA_Business",Industry: Biotech,MA_SBA
Michael,Taylor,michael.taylor@bostonenterprisesma.com,+1 (781) 945-9845,Boston Enterprises,Boston,MA,US,02125,"Priority_B, MA_Business",Industry: Biotech,MA_Sec_Commonwealth
Linda,Davis,linda.davis@baystateassociatesma.com,+1 (978) 958-4534,Bay State Associates,Boston,MA,US,02119,"Priority_A, ABC_License, MA_Business",License Type: Farmer-Winery,MA_ABCC
Jessica,Jones,jessica.jones@beaconhillllcma.com,+1 (351) 341-1503,Beacon Hill LLC,Boston,MA,US,02110,"Priority_A, ABC_License, MA_Business",License Type: All-Alcoholic Beverages,MA_ABCC
Charles,Smith,charles.smith@beaconhillllcma.com,+1 (413) 228-2457,Beacon Hill LLC,Boston,MA,US,02129,"Priority_A, ABC_License, MA_Business",License Type: All-Alcoholic Beverages,MA_ABCC
Nancy,Davis,nancy.davis@beaconhillinstitutema.com,+1 (508) 609-5908,Beacon Hill Institute,Boston,MA,US,02115,"Priority_A, ABC_License, MA_Business",License Type: Malt Wine,MA_ABCC
Christopher,Miller,christopher.miller@berkshireenterprisesma.com,+1 (617) 828-6136,Berkshire Enterprises,Boston,MA,US,02127,"Priority_B, MA_Business",Industry: Healthcare,MA_ABCC
Richard,Jones,richard.jones@commonwealthassociatesma.com,+1 (781) 314-5886,Commonwealth Associates,Boston,MA,US,02118,"Priority_B, MA_Business",Industry: Biotech,MA_ABCC
Charles,Thomas,charles.thomas@oldcolonysolutionsma.com,+1 (617) 682-3694,Old Colony Solutions,Boston,MA,US,02134,"Priority_B, MA_Business",Industry: Finance,MA_Sec_Commonwealth
Linda,White,linda.white@oldcolonyventuresma.com,+1 (978) 976-4159,Old Colony Ventures,Boston,MA,US,02122,"Priority_B, MA_Business",Industry: Tech,MA_SBA
Robert,Anderson,robert.anderson@harvardgroupma.com,+1 (857) 271-3799,Harvard Group,Boston,MA,US,02129,"Priority_B, MA_Business",Industry: Healthcare,MA_Sec_Commonwealth
Robert,Smith,robert.smith@bostonsolutionsma.com,+1 (617) 351-4914,Boston Solutions,Boston,MA,US,02125,"Priority_B, MA_Business",Industry: Education,Boston_Business_Portal
John,Miller,john.miller@berkshireenterprisesma.com,+1 (781) 366-4767,Berkshire Enterprises,Boston,MA,US,02111,"Priority_A, ABC_License, MA_Business",License Type: All-Alcoholic Beverages,MA_ABCC
Charles,Jones,charles.jones@harvardllcma.com,+1 (617) 466-9094,Harvard LLC,Boston,MA,US,02114,"Priority_A, ABC_License, MA_Business",License Type: Malt Wine,MA_ABCC
Christopher,Williams,christopher.williams@baystateassociatesma.com,+1 (774) 466-6841,Bay State Associates,Boston,MA,US,02130,"Priority_A, ABC_License, MA_Business",License Type: Farmer-Winery,MA_ABCC
Mary,Thomas,mary.thomas@commonwealthgroupma.com,+1 (774) 873-3150,Commonwealth Group,Boston,MA,US,02132,"Priority_B, MA_Business",Industry: Tech,MA_ABCC
Linda,Anderson,linda.anderson@capecodservicesma.com,+1 (857) 500-3247,Cape Cod Services,Boston,MA,US,02127,"Priority_A, ABC_License, MA_Business",License Type: Malt Wine,MA_ABCC
Sarah,Anderson,sarah.anderson@pilgriminstitutema.com,+1 (351) 243-4398,Pilgrim Institute,Boston,MA,US,02119,"Priority_B, MA_Business",Industry: Tech,MA_ABCC
Charles,Thomas,charles.thomas@harvardassociatesma.com,+1 (857) 217-5642,Harvard Associates,Boston,MA,US,02129,"Priority_B, MA_Business",Industry: Education,MA_Sec_Commonwealth
Sarah,Anderson,sarah.anderson@berkshireservicesma.com,+1 (857) 924-4898,Berkshire Services,Boston,MA,US,02127,"Priority_B, MA_Business",Industry: Tech,MA_SBA
Joseph,Brown,joseph.brown@charlesrivertechma.com,+1 (857) 556-4959,Charles River Tech,Boston,MA,US,02113,"Priority_B, MA_Business",Industry: Finance,MA_SBA
