First Name,Last Name,Email,Phone,Company,City,State,Country,Postal Code,Tags,Notes,Source
Michael,White,michael.white@rockvillesystemsmd.com,+1 (443) 310-6731,Rockville Systems,Baltimore,MD,US,21205,"Priority_B, MD_Business",Industry: Cybersecurity,MD_ATC
Patricia,Wilson,patricia.wilson@rockvillecorpmd.com,+1 (443) 531-2316,Rockville Corp,Baltimore,MD,US,21206,"Priority_A, ABC_License, MD_Business",License Class: Class D,MD_ATC
Susan,Williams,susan.williams@montgomerycorpmd.com,+1 (240) 579-1038,Montgomery Corp,Baltimore,MD,US,21211,"Priority_B, MD_Business",Industry: Biotech,MD_ATC
Mary,White,mary.white@marylandenterprisesmd.com,+1 (240) 252-7364,Maryland Enterprises,Baltimore,MD,US,21213,"Priority_B, MD_Business",Industry: Healthcare,MD_SBA
David,White,david.white@baltimorecorpmd.com,+1 (410) 711-5654,Baltimore Corp,Baltimore,MD,US,21216,"Priority_A, ABC_License, MD_Business",License Class: Class A,MD_ATC
James,Taylor,james.taylor@freestatepartnersmd.com,+1 (301) 247-6757,Free State Partners,Baltimore,MD,US,21209,"Priority_B, MD_Business",Industry: Cybersecurity,MD_SDAT
Susan,Taylor,susan.taylor@montgomerycorpmd.com,+1 (410) 822-5159,Montgomery Corp,Baltimore,MD,US,21218,"Priority_B, MD_Business",Industry: Federal Contracting,MD_SDAT
Susan,Jackson,susan.jackson@pimlicogroupmd.com,+1 (443) 688-3838,Pimlico Group,Baltimore,MD,US,21205,"Priority_B, MD_Business",Industry: Federal Contracting,MD_SDAT
David,Thomas,david.thomas@montgomeryassociatesmd.com,+1 (667) 488-1535,Montgomery Associates,Baltimore,MD,US,21202,"Priority_B, MD_Business",Industry: Federal Contracting,MD_SDAT
Joseph,Moore,joseph.moore@chesapeakellpmd.com,+1 (443) 861-1773,Chesapeake LLP,Baltimore,MD,US,21212,"Priority_B, MD_Business",Industry: Healthcare,MD_Business_Express
David,White,david.white@baltimoreservicesmd.com,+1 (240) 557-2398,Baltimore Services,Baltimore,MD,US,21209,"Priority_B, MD_Business",Industry: Port/Logistics,MD_Business_Express
Mary,Thomas,mary.thomas@annapolisservicesmd.com,+1 (667) 516-2921,Annapolis Services,Baltimore,MD,US,21205,"Priority_B, MD_Business",Industry: Federal Contracting,MD_SDAT
Jessica,Taylor,jessica.taylor@annapolissolutionsmd.com,+1 (667) 429-2475,Annapolis Solutions,Baltimore,MD,US,21201,"Priority_A, ABC_License, MD_Business",License Class: Class A,MD_ATC
Barbara,Miller,barbara.miller@chesapeakesystemsmd.com,+1 (410) 746-5319,Chesapeake Systems,Baltimore,MD,US,21209,"Priority_B, MD_Business",Industry: Cybersecurity,MD_Business_Express
Richard,Brown,richard.brown@chesapeakesolutionsmd.com,+1 (410) 993-5692,Chesapeake Solutions,Baltimore,MD,US,21216,"Priority_B, MD_Business",Industry: Healthcare,MD_SBA
David,Thomas,david.thomas@oldlineassociatesmd.com,+1 (410) 525-5765,Old Line Associates,Baltimore,MD,US,21215,"Priority_B, MD_Business",Industry: Cybersecurity,MD_ATC
Michael,Jackson,michael.jackson@baltimoregroupmd.com,+1 (240) 555-6518,Baltimore Group,Baltimore,MD,US,21211,"Priority_B, MD_Business",Industry: Healthcare,MD_Business_Express
Robert,Williams,robert.williams@chesapeakesolutionsmd.com,+1 (301) 808-3069,Chesapeake Solutions,Baltimore,MD,US,21216,"Priority_B, MD_Business",Industry: Biotech,MD_ATC
Thomas,White,thomas.white@freestateservicesmd.com,+1 (667) 430-9232,Free State Services,Baltimore,MD,US,21205,"Priority_A, ABC_License, MD_Business",License Class: Class A,MD_ATC
Karen,Moore,karen.moore@pimlicoenterprisesmd.com,+1 (240) 888-4781,Pimlico Enterprises,Baltimore,MD,US,21211,"Priority_A, ABC_License, MD_Business",License Class: Class BD7,MD_ATC
Sarah,Williams,sarah.williams@pimlicoholdingsmd.com,+1 (443) 431-3967,Pimlico Holdings,Baltimore,MD,US,21209,"Priority_B, MD_Business",Industry: Federal Contracting,MD_SBA
Richard,Brown,richard.brown@oldlinegroupmd.com,+1 (443) 651-8904,Old Line Group,Baltimore,MD,US,21231,"Priority_B, MD_Business",Industry: Biotech,MD_ATC
Barbara,Johnson,barbara.johnson@freestateservicesmd.com,+1 (410) 313-8088,Free State Services,Baltimore,MD,US,21213,"Priority_B, MD_Business",Industry: Cybersecurity,MD_SDAT
Linda,Brown,linda.brown@chesapeakesolutionsmd.com,+1 (301) 915-3631,Chesapeake Solutions,Baltimore,MD,US,21218,"Priority_A, ABC_License, MD_Business",License Class: Class A,MD_ATC
Jessica,Smith,jessica.smith@marylandllcmd.com,+1 (443) 326-3294,Maryland LLC,Baltimore,MD,US,21206,"Priority_B, MD_Business",Industry: Healthcare,MD_SBA
Susan,Miller,susan.miller@montgomeryenterprisesmd.com,+1 (240) 220-5553,Montgomery Enterprises,Baltimore,MD,US,21201,"Priority_A, ABC_License, MD_Business",License Class: Class A,MD_ATC
Christopher,Davis,christopher.davis@montgomeryholdingsmd.com,+1 (667) 368-5503,Montgomery Holdings,Baltimore,MD,US,21218,"Priority_B, MD_Business",Industry: Federal Contracting,MD_SBA
Richard,Anderson,richard.anderson@chesapeakepartnersmd.com,+1 (410) 511-3337,Chesapeake Partners,Baltimore,MD,US,21223,"Priority_B, MD_Business",Industry: Cybersecurity,MD_SDAT
Michael,Williams,michael.williams@annapolisassociatesmd.com,+1 (240) 825-6568,Annapolis Associates,Baltimore,MD,US,21206,"Priority_B, MD_Business",Industry: Biotech,MD_SBA
Thomas,Jones,thomas.jones@pimlicoholdingsmd.com,+1 (443) 864-8794,Pimlico Holdings,Baltimore,MD,US,21218,"Priority_B, MD_Business",Industry: Cybersecurity,MD_ATC
Michael,Smith,michael.smith@pimlicocorpmd.com,+1 (240) 967-7969,Pimlico Corp,Baltimore,MD,US,21230,"Priority_B, MD_Business",Industry: Cybersecurity,MD_SBA
John,Thomas,john.thomas@oldlinesolutionsmd.com,+1 (240) 779-5568,Old Line Solutions,Baltimore,MD,US,21201,"Priority_B, MD_Business",Industry: Cybersecurity,MD_SBA
Jessica,Miller,jessica.miller@annapolisholdingsmd.com,+1 (443) 362-1699,Annapolis Holdings,Baltimore,MD,US,21231,"Priority_B, MD_Business",Industry: Port/Logistics,MD_SDAT
